idx,lambda_no_phase,lambda_with_10pct_2pi_over_3_phases
0,1.998401444325281e-15,0.4173291653815297
1,1.9999999999999996,1.5001698318589445
2,2.0,1.9804790048189778
3,2.000000000000003,2.5449820423882907
4,4.341640786499873,3.4091280565579973
5,4.341640786499873,3.8742451005866627
6,4.341640786499875,4.226609245315717
7,4.341640786499876,4.341640786499873
8,4.341640786499876,4.67504138313486
9,5.236067977499783,5.055351197615561
10,5.236067977499789,5.566112858105073
11,5.236067977499791,5.8253191927352415
