idx,lambda_full,lambda_mix_zehntel,lambda_mix_equalized,lambda_full_with_Morley_phases_on_W_edges
0,0.0,2.7319997392831004e-14,1.1102230246251565e-15,55.41421776456094
1,1.9994585274425911,1.8643474146175576,1.8294381190905065,55.63903418456446
2,1.9994697848335818,1.864412468881117,1.8294398026785321,55.986482057211454
3,1.9996076769661235,1.8644126178759532,1.8296146699967097,56.000102118454954
4,5.961177765738155,5.528638514949306,5.446038222191681,56.29543585267217
5,5.9623324407673,5.529633686805395,5.446762458214919,56.3116491510849
6,5.964518409137554,5.53176551758173,5.448189188987948,56.516473681517354
7,5.964771109897775,5.532273008755641,5.4481923041270575,56.52976955330596
8,5.965030991106515,5.532917321332493,5.448215832010788,56.7271140032088
9,11.767624774155454,10.824199974676347,10.705869863713211,56.75744847926385
10,11.768809322188016,10.824269806567521,10.707382756501385,56.81854286300717
11,11.771514382396768,10.825975385071064,10.709159583760503,57.18176774069868
12,11.773917636497394,10.8297467586178,10.71005148065299,57.22625277856263
13,11.885309748796997,10.89335060914301,10.828348327415181,57.85330323016448
14,11.886480063957345,10.895026080293691,10.828481840592815,57.95103848182714
15,11.894713024283098,10.90205186761959,10.833935226753047,57.995982697283395
16,19.306491097845377,17.414413462666715,17.33589957662173,58.14778325294294
17,19.31629421542209,17.423815144049467,17.34098766662485,58.19803186526403
18,19.31955187357693,17.425811306147235,17.34317959755181,58.2286609389654
19,19.339350960831744,17.44405891341563,17.35304012974133,58.431274556766425
20,19.54874271184827,17.57788081036702,17.72313574701461,58.46775726457371
21,19.57117599062039,17.60116412541269,17.73496450662526,58.473165900336205
22,19.57218497516338,17.6020604179607,17.73521967788342,58.52946880315872
23,19.577835710564965,17.60698519498669,17.73926284080851,58.53666978681755
24,19.594175051916697,17.61665735904479,17.75197783258076,58.90683608389466
