level,idx,lambda
0,0,0.0
0,1,1.9999999999999996
0,2,2.0
0,3,2.0000000000000027
0,4,4.341640786499871
0,5,4.341640786499873
0,6,4.341640786499873
0,7,4.341640786499875
0,8,4.341640786499878
0,9,5.236067977499788
0,10,5.236067977499789
0,11,5.236067977499791
1,0,0.0
1,1,1.999208524562987
1,2,1.9992085245629898
1,3,1.9992085245629967
1,4,5.47991305566905
1,5,5.479913055669061
1,6,5.479913055669062
1,7,5.479913055669065
1,8,5.479913055669074
1,9,9.516932022535483
1,10,9.516932022535487
1,11,9.51693202253549
1,12,9.516932022535492
1,13,9.53976928394297
1,14,9.53976928394298
1,15,9.539769283942997
1,16,12.773650135825966
1,17,12.773650135825969
1,18,12.773650135825969
1,19,12.773650135825973
1,20,13.15824787142235
1,21,13.158247871422354
1,22,13.158247871422358
1,23,13.158247871422358
1,24,13.15824787142236
2,0,1.6774772320473225e-14
2,1,1.9999079489327172
2,2,1.9999079489327236
2,3,1.9999079489327314
2,4,5.8644962062470904
2,5,5.864496206247174
2,6,5.864496206247182
2,7,5.864496206247186
2,8,5.864496206247225
2,9,11.32342528420351
2,10,11.323425284203536
2,11,11.323425284203541
2,12,11.32342528420358
2,13,11.342787088183407
2,14,11.342787088183428
2,15,11.342787088183455
2,16,17.94766866113368
2,17,17.947668661133722
2,18,17.947668661133733
2,19,17.94766866113376
2,20,18.086304857204116
2,21,18.086304857204162
2,22,18.086304857204183
2,23,18.086304857204198
2,24,18.086304857204208
3,0,0.0
3,1,1.9999918870295978
3,2,1.9999918870297382
3,3,1.9999918870306548
3,4,5.96585791071675
3,5,5.965857910716925
3,6,5.9658579107171645
3,7,5.965857910717342
3,8,5.965857910717686
3,9,11.826990245264128
3,10,11.82699024526454
3,11,11.826990245264929
3,12,11.826990245265119
3,13,11.833780301298445
3,14,11.833780301299074
3,15,11.833780301299681
3,16,19.47010098890726
3,17,19.47010098890737
3,18,19.470100988907543
3,19,19.470100988907596
3,20,19.508884349219993
3,21,19.508884349220455
3,22,19.50888434922054
3,23,19.508884349220576
3,24,19.508884349220835
