group_mod12,value,factorization,indices_str,len,min_index,max_index
5,5,5,1,1,1,1
7,7,7,1,1,1,1
11,11,11,1,1,1,1
1,13,13,1,1,1,1
5,17,17,2,1,2,2
7,19,19,2,1,2,2
11,23,23,2,1,2,2
5,25,5^2,1 1,2,1,1
5,29,29,3,1,3,3
7,31,31,3,1,3,3
1,37,37,2,1,2,2
5,41,41,4,1,4,4
7,43,43,4,1,4,4
11,47,47,3,1,3,3
7,49,7^2,1 1,2,1,1
5,53,53,5,1,5,5
11,59,59,4,1,4,4
1,61,61,3,1,3,3
7,67,67,5,1,5,5
11,71,71,5,1,5,5
1,73,73,4,1,4,4
7,79,79,6,1,6,6
11,83,83,6,1,6,6
5,85,5*17,1 2,2,1,2
5,89,89,6,1,6,6
1,97,97,5,1,5,5
5,101,101,7,1,7,7
7,103,103,7,1,7,7
11,107,107,7,1,7,7
1,109,109,6,1,6,6
5,113,113,8,1,8,8
11,121,11^2,1 1,2,1,1
5,125,5^3,1 1 1,3,1,1
7,127,127,8,1,8,8
11,131,131,8,1,8,8
7,133,7*19,1 2,2,1,2
5,137,137,9,1,9,9
7,139,139,9,1,9,9
5,145,5*29,1 3,2,1,3
5,149,149,10,1,10,10
7,151,151,10,1,10,10
1,157,157,7,1,7,7
7,163,163,11,1,11,11
11,167,167,9,1,9,9
1,169,13^2,1 1,2,1,1
5,173,173,11,1,11,11
11,179,179,10,1,10,10
1,181,181,8,1,8,8
11,191,191,11,1,11,11
1,193,193,9,1,9,9
5,197,197,12,1,12,12
7,199,199,12,1,12,12
5,205,5*41,1 4,2,1,4
7,211,211,13,1,13,13
7,217,7*31,1 3,2,1,3
7,223,223,14,1,14,14
11,227,227,12,1,12,12
1,229,229,10,1,10,10
5,233,233,13,1,13,13
11,239,239,13,1,13,13
1,241,241,11,1,11,11
11,251,251,14,1,14,14
11,253,11*23,1 2,2,1,2
5,257,257,14,1,14,14
11,263,263,15,1,15,15
5,265,5*53,1 5,2,1,5
5,269,269,15,1,15,15
7,271,271,15,1,15,15
1,277,277,12,1,12,12
5,281,281,16,1,16,16
7,283,283,16,1,16,16
5,289,17^2,2 2,2,2,2
5,293,293,17,1,17,17
7,301,7*43,1 4,2,1,4
7,307,307,17,1,17,17
11,311,311,16,1,16,16
1,313,313,13,1,13,13
5,317,317,18,1,18,18
7,331,331,18,1,18,18
1,337,337,14,1,14,14
7,343,7^3,1 1 1,3,1,1
11,347,347,17,1,17,17
1,349,349,15,1,15,15
5,353,353,19,1,19,19
11,359,359,18,1,18,18
7,361,19^2,2 2,2,2,2
7,367,367,19,1,19,19
1,373,373,16,1,16,16
7,379,379,20,1,20,20
11,383,383,19,1,19,19
5,389,389,20,1,20,20
1,397,397,17,1,17,17
5,401,401,21,1,21,21
1,409,409,18,1,18,18
11,419,419,20,1,20,20
1,421,421,19,1,19,19
5,425,5^2*17,1 1 2,3,1,2
11,431,431,21,1,21,21
1,433,433,20,1,20,20
7,439,439,21,1,21,21
11,443,443,22,1,22,22
5,445,5*89,1 6,2,1,6
5,449,449,22,1,22,22
1,457,457,21,1,21,21
5,461,461,23,1,23,23
7,463,463,22,1,22,22
11,467,467,23,1,23,23
7,469,7*67,1 5,2,1,5
11,479,479,24,1,24,24
1,481,13*37,1 2,2,1,2
7,487,487,23,1,23,23
11,491,491,25,1,25,25
5,493,17*29,2 3,2,2,3
7,499,499,24,1,24,24
11,503,503,26,1,26,26
