n,r1,r2,r3,r4
5005,5,7,11,1
10465,5,7,1,11
13585,5,11,1,7
14245,5,7,11,1
17017,7,11,1,5
21385,5,7,1,11
22165,5,11,1,7
23485,5,7,11,1
25025,5,7,11,1
26845,5,7,1,11
28105,5,7,11,1
28405,5,1,7,11
29029,7,11,1,5
29785,5,7,11,1
30745,5,11,1,7
32305,5,7,1,11
35035,5,7,11,1
35581,7,1,5,11
37345,5,7,11,1
37765,5,7,1,11
38665,5,11,7,1
41041,7,11,1,5
41965,5,7,11,1
46189,11,1,5,7
46345,5,1,11,7
47905,5,11,1,7
48433,7,11,5,1
48685,5,7,1,11
49105,5,7,11,1
52325,5,7,1,11
53053,7,11,1,5
55055,5,7,11,1
56485,5,11,1,7
58045,5,1,7,11
58765,5,7,11,1
59605,5,7,1,11
60445,5,7,11,1
60697,7,1,11,5
60865,5,7,1,11
63085,5,11,7,1
63745,5,11,7,1
64285,5,1,11,7
65065,5,7,11,1
67925,5,11,1,7
69685,5,7,11,1
71225,5,7,11,1
72709,7,1,5,11
72865,5,1,7,11
73255,5,7,1,11
73645,5,11,1,7
74305,5,7,11,1
75361,11,1,5,7
75985,5,7,1,11
76285,5,11,7,1
76405,5,7,1,11
78085,5,7,11,1
78793,11,1,7,5
79849,7,11,5,1
80845,5,7,11,1
81445,5,7,1,11
82621,7,11,5,1
85813,7,1,11,5
86905,5,7,1,11
87505,5,11,1,7
87685,5,1,7,11
87745,5,7,11,1
88165,5,7,11,1
89089,7,11,1,5
90805,5,11,1,7
91273,7,1,5,11
91945,5,7,1,11
92785,5,7,11,1
94705,5,1,7,11
95557,7,11,5,1
96577,1,5,7,11
99385,5,11,1,7
99715,5,7,11,1
100165,5,1,11,7
100345,5,7,11,1
101101,7,11,1,5
101269,7,5,11,1
101365,5,11,7,1
102505,5,1,7,11
103285,5,7,1,11
104005,5,11,7,1
104533,11,1,5,7
106645,5,7,11,1
106925,5,7,1,11
107485,5,7,1,11
107965,5,11,1,7
108745,5,7,1,11
109837,7,1,5,11
110825,5,11,1,7
110929,7,1,11,5
111397,11,1,7,5
113113,7,11,1,5
113905,5,11,7,1
114205,5,7,1,11
116545,5,11,1,7
116809,7,11,1,5
117425,5,7,11,1
118105,5,1,11,7
118885,5,1,7,11
119119,7,11,1,5
119665,5,7,1,11
120085,5,7,11,1
120505,5,7,11,1
124033,7,1,5,11
124465,5,11,7,1
125125,5,7,11,1
125965,5,7,11,1
126385,5,7,11,1
126973,7,11,5,1
128401,7,1,5,11
128557,11,1,5,7
129745,5,7,11,1
131365,5,1,7,11
131461,11,5,7,1
131905,5,11,7,1
132145,5,1,7,11
133285,5,7,11,1
134225,5,7,1,11
134365,5,7,11,1
136045,5,7,1,11
136213,7,11,5,1
136345,5,11,1,7
137137,7,11,1,5
138565,5,7,1,11
140525,5,7,11,1
141505,5,7,1,11
142025,5,1,7,11
142285,5,11,1,7
142681,7,11,5,1
143065,5,1,7,11
143605,5,7,11,1
144001,11,1,7,5
144265,5,11,7,1
145705,5,7,11,1
148925,5,7,11,1
149149,7,11,1,5
149435,5,11,1,7
149695,5,7,1,11
150745,5,7,11,1
