run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,924165250689177119493426007319,727781,1796730,4,3
2,462065790693761869206878558881,978,869,5,5
3,826223207080062493407792103117,40894,21275,3,3
4,546549101376037779621833935645,1969796,1970987,3,3
5,428531140600693132610632999481,234174,380155,5,5
6,429987717139446816581762777917,18389,9647,7,7
7,171769232353670438641926595031,166502,203785,5,5
8,705400530151916608146806602045,1014,1179,5,5
9,577732321897105867493183888061,5499,5998,5,5
10,468031505036319045312768132725,2929,2424,7,7
11,753931237713868044993027345017,1646,1519,3,3
12,730628997795816535516000990973,17789,3492,3,3
13,182390373816611655205787334379,1792,1639,4,4
14,803865801829446345644752708515,4777,2210,5,5
15,149163814093804143257406368287,753,845,4,4
16,486741486341295117655125418345,10198,14928,7,7
17,477565152255691540327163895771,2962,1368,3,3
18,515503689666858695016920931959,53119,22892,3,3
19,908623319559998108536006136161,7350,4062,5,5
20,774152102650737481612664625533,7483,3527,7,7
