run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,749966332436086691916385770531,2743,714,3,3
2,192422704334139925059500747935,40177,9387,5,5
3,549669458026604120640762287843,603,919,5,5
4,684307727802523811693080666745,2072969,2060180,2,2
5,930329131215620337728750952893,59441,512863,3,3
6,434207559852641889078348913321,61085,41371,3,3
7,883806030640549187386135784343,15802,11149,8,8
8,981870024281413016388207375911,92747,81338,6,6
9,146004469159883685436992206097,1097,815,6,6
10,129867099953737083796674190633,471442,2130026,2,1
11,426085587123269134237046897299,1913354,1683568,4,5
12,234922825006625404945656791663,932,835,2,2
13,821008186833065253176723202423,53157,103121,5,5
14,399503357900486589595218979457,1642178,1651658,3,3
15,562730688088014727167955327631,14171,14488,2,2
16,880859228209875640840555250987,989995,2100987,2,2
17,126115749436271800897344470981,294576,300147,3,3
18,641744935588551540539715521593,7066,2149,4,4
19,329274133206250820636808168775,3712,3837,7,7
20,773672416744182847121709966605,1624682,1619631,6,6
21,972686799434206190734524631917,6458,3035,4,4
22,735068499520383510502686856153,65189,103904,3,3
23,908050061089703655415785413997,2720,1631,5,5
24,548553002211103262815650116725,29078,38430,6,6
25,316904584597936575551019483891,240789,110337,5,5
26,987664016626643150542823076589,2737,737,2,2
27,180041494519913516868210521569,25608,18188,5,5
28,441923246729130943830432326821,2479,1084,2,2
29,430777040923247718494831409559,2647,698,1,1
30,510805255568001255998996444223,31594,15807,3,3
31,605719692660825291907561441113,2018,1051,4,4
32,441471714209900731495655015687,1773695,1748302,3,3
33,528793763502755688436693738445,1924265,736347,4,5
34,423372601376861790131166397213,3438,2933,2,2
35,964994163229987112798736662207,827,925,2,2
36,175584276212638549221024063961,144917,67956,5,5
37,812350711404753873092822288911,2727,733,3,3
38,317416090660001531250424615035,14447,19231,8,8
39,657266529856480553003712682175,2089964,2077424,3,3
40,690466710141976372198892722409,1939420,1510787,2,3
41,310559063688023504534925152253,23054,11807,5,5
42,786377073829360854663424497923,69580,13837,5,5
43,978876592259085095910640058119,3049,1623,3,3
44,892275002585990410059193812355,13542,4688,5,5
45,687904815728602781030939550745,18255,19521,6,6
46,670127171246140702361155568839,19187,16715,6,6
47,256660265945904728529091311079,1806,1129,6,6
48,214618824879244627383001587711,1142,3736,6,6
49,143129359172242061336414885685,780,948,6,6
50,812746445761208960476221564679,129658,91647,3,3
51,458526832888308537907167266345,563037,130979,7,7
52,372333279095927742921721459143,17303,5166,6,6
53,144496246224207057470703047527,951,914,2,2
54,928820280135009435961636375307,2541,926,4,4
55,724525266910772302286334343833,2190634,2136806,2,2
56,962695368110022544751504343813,3287,2632,5,5
57,414230738460873574202280151757,11357,17700,7,7
58,297072349502292851920619722191,25159,25896,5,5
59,233821979875093229247024980295,2601,677,5,5
60,472986415223974731313861255191,1462,1561,5,5
61,100718271540857677030233606615,2055707,2044985,3,3
62,696946276269693511453193407163,85539,56976,3,3
63,562316046500837394929214676021,815,1011,3,3
64,212438016438355181244212551535,1721,1006,7,7
65,561343398017367179866849247491,9557,3698,3,3
66,538629723917647853063810117863,99676,103453,3,3
67,854102468893874054906108624559,5234,11737,5,5
68,385212899752554997238203917671,3728,2238,4,4
69,800821622176971725084443133403,1960758,1970919,4,4
70,854497832775631113586248605587,1023,852,4,4
71,738008442312652265829090476543,417511,2185218,2,1
72,487257309297550848563623809347,76579,325818,2,2
73,483672157231238886147423936905,11911,76177,6,6
74,796372295329629956219920765817,746,837,2,2
75,313743587718372428507580765987,12639,19320,4,4
76,698875868046143565875758428449,948628,113968,5,5
77,562869410791399312314496152149,2795,738,2,2
78,907384933568528877799197932631,787,896,5,5
79,377235829642105915910924763737,3348,11186,8,8
80,802050309953503028154506157191,166088,51064,4,4
81,637709572907378533201161924663,2830,747,2,2
82,865380987229027444431876401995,1842334,1834934,3,3
83,508056689252119846819483263913,194683,25105,5,5
84,465872926859509786786830186133,5511,2581,4,4
85,214669383974364400163065583653,9224,4389,3,3
86,435621549993662904093188952747,2652,716,2,2
87,229015437881078937324804198217,3715,1896,2,2
88,712909162017266046796587396773,668220,809098,7,7
89,379539527706287033312372933089,1627181,140696,5,5
90,919005264608467422485643384337,3673,6297,4,4
91,426168846352600439070919558383,1813,832,7,7
92,582559380321036480641180650241,13116,11435,6,6
93,843123528474327554483792156583,25735,19390,5,5
94,354954307506547501907550699837,2022474,2102659,3,3
95,622578200787010926935508097781,104259,41677,6,6
96,529738374551509374143192722175,542,1004,9,9
97,163048299488974042161360451969,2857,986,2,2
98,487985803601337085484661211885,26606,15924,5,5
99,407746128965256981095623189581,13442,7530,5,5
100,721186054928742662439696496965,12872,9774,5,5
