run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,918972173958070365429019335035,579883,144201,4,4
2,548420130910099995231312654519,2758,733,4,4
3,408123804999749220427297773221,53772,6267,4,4
4,739890754495220232272462433153,8763,14134,5,5
5,219209773979350447125305688803,13753,7855,5,5
6,469737683845122120291541482695,253469,151690,6,6
7,983315157700958933666870490709,777,1637,7,7
8,907845009710950872665373817479,2340,1340,5,5
9,106068498789774016965258684551,561283,1019067,2,2
10,777641034571532557112979723519,3846,2099,5,5
11,106864236150684731135516152301,25730,11091,6,6
12,859045201464394971053523694605,4426,1648,6,6
13,928462672698020078073921121501,79330,65962,2,2
14,285125726148013588384980603363,1793,1028,4,4
15,831926736735295464511816699045,2134708,2126969,2,2
16,684628656874926512701872614335,47512,46223,5,5
17,251069086359308933007456340661,2888,863,2,2
18,232001482007108368265355995519,66220,36198,3,3
19,782258316435182861617520502507,1971107,1989737,5,5
20,747238131643312556218884200307,22093,32204,4,4
21,771772260894098214632290200599,2210,2101,3,3
22,530552940565738239627453658839,2889,736,3,3
23,668680100453201729538923574477,863,1128,4,4
24,565868336215037248131892737209,74178,14888,4,4
25,943974583291265954339579475847,5275,614,4,4
26,590897651882754519694719647809,2130139,2048598,3,3
27,774098416967302485028050075557,2108801,2155888,2,2
28,212014445691020734028885620257,2678,1726,5,5
29,105638512249061945617768208267,738,1084,3,3
30,517214345826429920672982805057,96352,1774624,7,6
31,618061771988639268693020985923,2243483,2207159,1,1
32,497633347076918591428937848877,18199,10070,3,3
33,548862472438768647431911653285,2162194,2154261,3,3
34,395100577013601751834925725481,4396,1730,4,4
35,571184075967456686564850996799,11428,14408,4,4
36,581687894081131209801402715057,3066,738,1,1
37,390793814434326819934152480403,57362,11212,4,4
38,538247823788943313050165441615,2889,917,4,4
39,797372569596473347274753560061,1028,1199,5,5
40,876417950957345368958775721797,2095,1493,6,6
41,540162498164767395530127032889,8154,10371,11,11
42,992345418658972213695935694131,2227873,2235317,1,1
43,245376461789383386828145204685,309319,47433,5,5
44,687830753569370355151655298931,83175,53372,5,5
45,397518164931991551990540499251,4862,3111,7,7
46,825834915512651618460454410227,20050,17726,5,5
47,182957821536273626814014197787,2214550,2211559,1,1
48,174716137949664772593517524169,433055,1810051,5,4
49,873014901833657471168479668161,1076,1521,5,5
50,159754562321686132759229502261,29775,37781,8,8
51,352924879402123366597785143395,1991218,2001556,4,4
52,282479569544193954008434440929,933,902,4,4
53,845397783639192479963023075933,7394,3418,4,4
54,240989240672655212143286251883,1821122,467892,4,4
