n,e(E),a(A),b(B),c(C),k_ABC
5005,13,5,7,11,1
10465,13,5,7,23,1
13585,13,5,19,11,1
14245,37,5,7,11,1
17017,13,17,7,11,1
21385,13,5,7,47,1
22165,13,5,31,11,1
23485,61,5,7,11,1
26845,13,5,7,59,1
28105,73,5,7,11,1
28405,13,5,19,23,1
29029,13,29,7,11,1
29785,37,5,7,23,1
30745,13,5,43,11,1
32305,13,5,7,71,1
35581,13,17,7,23,1
37345,97,5,7,11,1
37765,13,5,7,83,1
38665,37,5,19,11,1
41041,13,41,7,11,1
41965,109,5,7,11,1
46189,13,17,19,11,1
46345,13,5,31,23,1
47905,13,5,67,11,1
48433,37,17,7,11,1
48685,13,5,7,107,1
49105,61,5,7,23,1
53053,13,53,7,11,1
56485,13,5,79,11,1
58045,13,5,19,47,1
58765,73,5,7,23,1
59605,13,5,7,131,1
60445,157,5,7,11,1
60697,13,29,7,23,1
60865,37,5,7,47,1
63085,37,5,31,11,1
63745,61,5,19,11,1
64285,13,5,43,23,1
69685,181,5,7,11,1
72709,13,17,7,47,1
72865,13,5,19,59,1
73645,13,5,103,11,1
74305,193,5,7,11,1
75361,13,17,31,11,1
75985,13,5,7,167,1
76285,73,5,19,11,1
76405,37,5,7,59,1
78085,97,5,7,23,1
78793,13,29,19,11,1
79849,61,17,7,11,1
80845,37,5,19,23,1
81445,13,5,7,179,1
82621,37,29,7,11,1
85813,13,41,7,23,1
86905,13,5,7,191,1
87505,37,5,43,11,1
87685,13,5,19,71,1
87745,109,5,7,23,1
88165,229,5,7,11,1
89089,13,89,7,11,1
90805,13,5,127,11,1
91273,13,17,7,59,1
91945,37,5,7,71,1
92785,241,5,7,11,1
94705,13,5,31,47,1
95557,73,17,7,11,1
96577,13,17,19,23,1
99385,13,5,139,11,1
100165,13,5,67,23,1
100345,61,5,7,47,1
101101,13,101,7,11,1
101269,37,17,7,23,1
101365,97,5,19,11,1
102505,13,5,19,83,1
103285,13,5,7,227,1
104005,61,5,31,11,1
104533,13,17,43,11,1
106645,277,5,7,11,1
107485,37,5,7,83,1
107965,13,5,151,11,1
108745,13,5,7,239,1
109837,13,17,7,71,1
110929,13,53,7,23,1
111397,13,41,19,11,1
113113,13,113,7,11,1
113905,109,5,19,11,1
114205,13,5,7,251,1
116545,13,5,163,11,1
116809,37,41,7,11,1
118105,13,5,79,23,1
118885,13,5,31,59,1
119665,13,5,7,263,1
120085,73,5,7,47,1
120505,313,5,7,11,1
124033,13,29,7,47,1
124465,73,5,31,11,1
125965,61,5,7,59,1
126385,157,5,7,23,1
126973,97,17,7,11,1
128401,13,17,7,83,1
128557,13,29,31,11,1
129745,337,5,7,11,1
131365,13,5,43,47,1
131461,37,17,19,11,1
131905,37,5,31,23,1
132145,13,5,19,107,1
133285,61,5,19,23,1
134365,349,5,7,11,1
136213,61,29,7,11,1
136345,37,5,67,11,1
137137,13,137,7,11,1
138565,37,5,7,107,1
141505,13,5,7,311,1
142285,13,5,199,11,1
142681,109,17,7,11,1
143065,13,5,31,71,1
143605,373,5,7,11,1
144001,13,53,19,11,1
144265,61,5,43,11,1
145705,181,5,7,23,1
149149,13,149,7,11,1
150745,73,5,7,59,1
150865,13,5,211,11,1
150997,37,53,7,11,1
151585,61,5,7,71,1
152845,397,5,7,11,1
153985,13,5,103,23,1
155365,193,5,7,23,1
155701,13,29,7,59,1
157465,409,5,7,11,1
157573,13,17,31,23,1
157885,13,5,7,347,1
159445,13,5,223,11,1
159505,73,5,19,23,1
159565,97,5,7,47,1
160765,37,5,79,11,1
161785,13,5,19,131,1
162085,421,5,7,11,1
162877,13,17,67,11,1
163009,73,29,7,11,1
163345,13,5,7,359,1
164065,157,5,19,11,1
164749,13,29,19,23,1
164905,13,5,43,59,1
165205,37,5,19,47,1
165385,97,5,31,11,1
165529,13,17,7,107,1
166705,433,5,7,11,1
166957,61,17,7,23,1
167245,13,5,31,83,1
169645,37,5,7,131,1
172645,73,5,43,11,1
172753,37,29,7,23,1
173173,13,173,7,11,1
174265,13,5,7,383,1
175357,13,41,7,47,1
175945,457,5,7,11,1
177205,61,5,7,83,1
178321,13,29,43,11,1
179305,109,5,7,47,1
181405,73,5,7,71,1
181753,13,41,31,11,1
182965,37,5,43,23,1
184345,229,5,7,23,1
185845,109,5,31,11,1
186277,13,89,7,23,1
187369,13,29,7,71,1
189145,181,5,19,11,1
189865,13,5,127,23,1
190645,13,5,7,419,1
192049,13,17,79,11,1
192577,61,41,7,11,1
193765,13,5,271,11,1
194005,241,5,7,23,1
196105,13,5,7,431,1
197197,13,197,7,11,1
197353,13,17,19,47,1
198445,13,5,43,71,1
199801,73,17,7,23,1
200305,97,5,7,59,1
201565,13,5,7,443,1
201685,193,5,19,11,1
202345,13,5,283,11,1
202657,13,17,7,131,1
204685,13,5,67,47,1
205513,157,17,7,11,1
206245,13,5,19,167,1
206941,37,17,7,47,1
207385,37,5,19,59,1
207805,13,5,139,23,1
208285,541,5,7,11,1
209605,37,5,103,11,1
211393,13,101,7,23,1
211945,97,5,19,23,1
212065,73,5,7,83,1
212485,13,5,7,467,1
214489,37,17,31,11,1
215605,13,5,31,107,1
216265,37,5,7,167,1
216601,97,29,7,11,1
216733,61,17,19,11,1
217465,61,5,31,23,1
217945,13,5,7,479,1
218569,13,17,43,23,1
219037,13,29,7,83,1
219505,13,5,307,11,1
220129,13,41,7,59,1
221065,13,5,19,179,1
222145,577,5,7,11,1
222985,277,5,7,23,1
223405,13,5,7,491,1
224257,37,29,19,11,1
224785,61,5,67,11,1
225085,109,5,7,59,1
225745,13,5,151,23,1
226681,13,53,7,47,1
228445,61,5,7,107,1
228865,13,5,7,503,1
229405,97,5,43,11,1
230461,73,41,7,11,1
231385,601,5,7,11,1
231805,37,5,7,179,1
231985,13,5,43,83,1
232921,13,41,19,23,1
233233,13,233,7,11,1
234949,13,53,31,11,1
235885,13,5,19,191,1
236005,613,5,7,11,1
236509,13,113,7,23,1
236665,13,5,331,11,1
236929,181,17,7,11,1
238165,109,5,19,23,1
239305,229,5,19,11,1
241045,97,5,7,71,1
241345,13,5,79,47,1
241813,13,89,19,11,1
243397,109,29,7,11,1
243685,13,5,163,23,1
244237,37,41,7,23,1
247345,37,5,7,191,1
247741,13,17,19,59,1
248941,61,53,7,11,1
249565,37,5,19,71,1
250393,13,17,103,11,1
251845,241,5,19,11,1
251965,313,5,7,23,1
252109,13,41,43,11,1
252637,193,17,7,11,1
253561,37,89,7,11,1
254485,661,5,7,11,1
256165,13,5,7,563,1
256945,13,5,67,59,1
257257,13,257,7,11,1
257785,109,5,43,11,1
258265,157,5,7,47,1
258349,13,17,7,167,1
258445,37,5,127,11,1
259105,673,5,7,11,1
259369,73,17,19,11,1
259777,37,17,7,59,1
260245,73,5,31,23,1
262405,13,5,367,11,1
263965,13,5,31,131,1
264901,13,41,7,71,1
265045,61,5,79,11,1
265489,97,17,7,23,1
267085,13,5,7,587,1
267685,157,5,31,11,1
268801,13,29,31,23,1
269005,73,5,67,11,1
269269,13,269,7,11,1
269545,37,5,31,47,1
270865,109,5,7,71,1
270985,13,5,379,11,1
271285,337,5,7,23,1
272365,61,5,19,47,1
272545,13,5,7,599,1
272965,709,5,7,11,1
273385,73,5,7,107,1
