n,e(E),a(A),b(B),c(C),k_ABC,R,ratio_e_over_R,resid_log,K_fit,alpha,K_over_alpha
9819565,157,5,7,1787,1,47220.0915128242,0.003324855902859938,0.0008333563599454572,0.0033276278475209225,0.0072973525693,0.45600480666375776
4960045,109,5,19,479,1,32724.836846635215,0.0033308034662121603,0.0009538639905972637,0.0033276278475209225,0.0072973525693,0.45600480666375776
5149705,109,5,859,11,1,32686.72332536988,0.003334687264764755,0.002119209243894673,0.0033276278475209225,0.0072973525693,0.45600480666375776
4720681,109,269,7,23,1,32826.03781607794,0.0033205347721439794,0.002133846138892589,0.0033276278475209225,0.0072973525693,0.45600480666375776
846745,37,5,199,23,1,11153.930585135067,0.0033172162689724997,0.0031337340308618695,0.0033276278475209225,0.0072973525693,0.45600480666375776
9386245,157,5,1087,11,1,47332.964934120246,0.003316927224367169,0.0032208725155219832,0.0033276278475209225,0.0072973525693,0.45600480666375776
3629449,97,17,31,71,1,29055.728932606184,0.003338412201772268,0.0032356132217090557,0.0033276278475209225,0.0072973525693,0.45600480666375776
3983305,97,5,43,191,1,29250.26012813411,0.0033162098242914906,0.003437180447413945,0.0033276278475209225,0.0072973525693,0.45600480666375776
765049,37,29,31,23,1,11160.207270170786,0.0033153506117125893,0.0036963087753544162,0.0033276278475209225,0.0072973525693,0.45600480666375776
8308597,157,17,283,11,1,46999.5787932302,0.003340455468562927,0.003847473481639088,0.0033276278475209225,0.0072973525693,0.45600480666375776
8163529,157,29,163,11,1,47401.27125279136,0.0033121474561877834,0.0046629347151581745,0.0033276278475209225,0.0072973525693,0.45600480666375776
4783465,109,5,67,131,1,32917.169789921696,0.003311341792008276,0.004906209567215996,0.0033276278475209225,0.0072973525693,0.45600480666375776
153985,13,5,103,23,1,3886.44816534972,0.003344956486465889,0.005193992922269187,0.0033276278475209225,0.0072973525693,0.45600480666375776
1901065,61,5,271,23,1,18235.386174722596,0.003345144403059397,0.005250170428904771,0.0033276278475209225,0.0072973525693,0.45600480666375776
4478005,97,5,7,1319,1,29330.39674445378,0.0033071492637869676,0.0061731233536787555,0.0033276278475209225,0.0072973525693,0.45600480666375776
816109,37,137,7,23,1,11188.291223313243,0.003307028683960464,0.006209584370442942,0.0033276278475209225,0.0072973525693,0.45600480666375776
1853485,61,5,103,59,1,18208.959088554617,0.0033499992889951644,0.00670044155376918,0.0033276278475209225,0.0072973525693,0.45600480666375776
803677,37,29,7,107,1,11042.303563698606,0.003350750120802411,0.006924545385884026,0.0033276278475209225,0.0072973525693,0.45600480666375776
8724961,157,17,7,467,1,47539.29084588186,0.0033025313841760916,0.0075704315167153735,0.0033276278475209225,0.0072973525693,0.45600480666375776
2787505,73,5,7,1091,1,21770.825385507243,0.0033531112719592075,0.007628960682113059,0.0033276278475209225,0.0072973525693,0.45600480666375776
4082245,97,5,19,443,1,28920.998210318863,0.0033539644549817407,0.007883373502802897,0.0033276278475209225,0.0072973525693,0.45600480666375776
2098705,61,5,7,983,1,18480.241839303922,0.003300822604510766,0.008087980539952865,0.0033276278475209225,0.0072973525693,0.45600480666375776
4437265,97,5,7,1307,1,28912.63813294774,0.0033549342524182356,0.008172481293975778,0.0033276278475209225,0.0072973525693,0.45600480666375776
