alpha,beta,Familie,Mittel_V_eff,Median_V_eff
1.0,10.0,Zwillinge,-0.9978747067272099,-0.9999999437893541
1.0,10.0,Drillinge,-1.9975239746661957,-1.999999998985085
1.0,10.0,Vierlinge,-2.9962163479049972,-2.9999999999617
2.0,10.0,Zwillinge,-1.99787470672721,-1.999999943789354
2.0,10.0,Drillinge,-3.997523974666196,-3.9999999989850847
2.0,10.0,Vierlinge,-5.996216347904997,-5.9999999999617
1.0,5.0,Zwillinge,-0.998937353363605,-0.999999971894677
1.0,5.0,Drillinge,-1.998761987333098,-1.9999999994925424
1.0,5.0,Vierlinge,-2.9981081739524984,-2.99999999998085
3.0,10.0,Zwillinge,-2.9978747067272096,-2.999999943789354
3.0,10.0,Drillinge,-5.997523974666196,-5.999999998985085
3.0,10.0,Vierlinge,-8.996216347904998,-8.9999999999617
