,e,count,n_min,n_max,mean_logR_sum,share_excA,share_excB,share_excC
0,13,213,1926925,99846565,3.2472288953856823,0.3755868544600939,0.5117370892018779,0.676056338028169
1,37,48,5484325,99501325,2.22992207904435,0.2916666666666667,0.4375,0.5833333333333334
2,61,22,9041725,95842285,1.7202293635430472,0.2727272727272727,0.36363636363636365,0.5
3,73,18,10820425,99857065,1.59582222034829,0.2777777777777778,0.3333333333333333,0.5
4,97,12,14377825,92802325,1.3524277423541602,0.16666666666666666,0.3333333333333333,0.5
5,109,11,16156525,99247225,1.3058498458188164,0.18181818181818182,0.36363636363636365,0.45454545454545453
6,157,5,23271325,99432025,0.882431106755142,0.2,0.2,0.4
7,181,4,26828725,91217665,0.7399758012160055,0.25,0.25,0.25
8,193,4,28607425,97265245,0.7399758012160055,0.25,0.25,0.25
10,241,3,35722225,96960325,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
9,229,3,33943525,92132425,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
11,277,2,41058325,85849225,0.36879947156538956,0.0,0.0,0.5
12,313,2,46394425,97006525,0.36879947156538956,0.0,0.0,0.5
20,457,1,67738825,67738825,0.0,0.0,0.0,0.0
25,661,1,97976725,97976725,0.0,0.0,0.0,0.0
