bits,n,sigma,ring,use_sigma,dir_kind,dir_count,lambdas,base_samples,T,S,score,use_score,B,neighbor_safety,shadow,success_prefilter,factor_prefilter,rank_hit,tested,t_prefilter,success_pipeline,factor_pipeline,t_total,fallback_used
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.026938199996948242,True,2286523223,0.08497166633605957,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.01755380630493164,True,2293194763,0.04285287857055664,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.02553701400756836,True,2293194763,0.058371782302856445,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.015297174453735352,True,2286523223,0.034277915954589844,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.0613250732421875,True,2293194763,0.08859395980834961,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.08097267150878906,True,2293194763,0.12700390815734863,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.05989694595336914,True,2286523223,0.10931205749511719,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.021296024322509766,True,2293194763,0.2291557788848877,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.26203322410583496,True,2293194763,0.29483890533447266,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.277587890625,True,2293194763,0.30946898460388184,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.25820398330688477,True,2286523223,0.3439939022064209,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.05499625205993652,True,2286523223,0.07359099388122559,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.029920101165771484,True,2286523223,0.07637405395507812,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.025721073150634766,True,2286523223,0.053620100021362305,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.03384709358215332,True,2286523223,0.06042599678039551,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.030054807662963867,True,2293194763,0.047595977783203125,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.0653998851776123,True,2293194763,0.08542108535766602,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.05804800987243652,True,2293194763,0.09444093704223633,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.06182408332824707,True,2293194763,0.06731200218200684,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.026387929916381836,True,2286523223,0.08432698249816895,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.26811718940734863,True,2286523223,0.28640294075012207,True
64,5243443080461481149,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.2753489017486572,True,2293194763,0.27927494049072266,True
64,5243443080461481149,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.2850930690765381,True,2286523223,0.3236851692199707,True
64,5243443080461481149,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.0660860538482666,True,2286523223,0.08142304420471191,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.022908926010131836,True,2393143409,0.09016799926757812,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.03466510772705078,True,2393143409,0.24840092658996582,True
