N,Faktoren,E_Exp,A_Exp,B_Exp,C_Exp,"Parität_(A,B,C)",Triad_Index,AA_Paare,BB_Paare,CC_Paare,Typ
1,,0,0,0,0,"(0, 0, 0)",0,0,0,0,dyadisch
13,13,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
25,5^2,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
37,37,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
49,7^2,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
61,61,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
73,73,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
85,5 · 17,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
97,97,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
109,109,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
121,11^2,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
133,7 · 19,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
145,5 · 29,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
157,157,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
169,13^2,2,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
181,181,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
193,193,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
205,5 · 41,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
217,7 · 31,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
229,229,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
241,241,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
253,11 · 23,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
265,5 · 53,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
277,277,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
289,17^2,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
301,7 · 43,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
313,313,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
325,5^2 · 13,1,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
337,337,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
349,349,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
361,19^2,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
373,373,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
385,5 · 7 · 11,0,1,1,1,"(1, 1, 1)",1,0,0,0,rein triadisch
397,397,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
409,409,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
421,421,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
433,433,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
445,5 · 89,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
457,457,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
469,7 · 67,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
481,13 · 37,2,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
493,17 · 29,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
505,5 · 101,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
517,11 · 47,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
529,23^2,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
541,541,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
553,7 · 79,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
565,5 · 113,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
577,577,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
589,19 · 31,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
601,601,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
613,613,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
625,5^4,0,4,0,0,"(0, 0, 0)",0,2,0,0,dyadisch
637,7^2 · 13,1,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
649,11 · 59,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
661,661,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
673,673,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
685,5 · 137,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
697,17 · 41,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
709,709,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
721,7 · 103,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
733,733,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
745,5 · 149,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
757,757,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
769,769,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
781,11 · 71,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
793,13 · 61,2,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
805,5 · 7 · 23,0,1,1,1,"(1, 1, 1)",1,0,0,0,rein triadisch
817,19 · 43,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
829,829,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
841,29^2,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
853,853,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
865,5 · 173,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
877,877,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
889,7 · 127,0,0,2,0,"(0, 0, 0)",0,0,1,0,dyadisch
901,17 · 53,0,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
913,11 · 83,0,0,0,2,"(0, 0, 0)",0,0,0,1,dyadisch
925,5^2 · 37,1,2,0,0,"(0, 0, 0)",0,1,0,0,dyadisch
937,937,1,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
949,13 · 73,2,0,0,0,"(0, 0, 0)",0,0,0,0,rein E
