Index,Zwilling,V_Zwilling,Anzahl_admissibler_Drillinge,bestes_m,bester_Drilling,DeltaV_min,Kollaps_beguenstigt
1,"(3, 5)",-0.3476429552602168,0,,,,0
2,"(5, 7)",-0.7169660849577962,33,0,"(5, 7, 11)",-0.23951266258164672,1
3,"(11, 13)",-0.9302323319933794,32,0,"(11, 13, 17)",-0.7482404937066547,1
4,"(17, 19)",-0.9690721452358182,32,0,"(17, 19, 23)",-0.8750978870970836,1
5,"(29, 31)",-0.9888806514186946,32,1,"(29, 31, 47)",-0.5546937384618352,1
6,"(41, 43)",-0.994328922373693,32,0,"(41, 43, 47)",-0.9736344519804353,1
7,"(59, 61)",-0.9972217077093563,30,2,"(59, 61, 89)",-0.6552025652484464,1
8,"(71, 73)",-0.9980707395450522,30,1,"(71, 73, 89)",-0.9007046651282747,1
9,"(101, 103)",-0.9990387696245281,28,0,"(101, 103, 107)",-0.9952208522024534,1
10,"(107, 109)",-0.999142612174487,31,0,"(107, 109, 113)",-0.9957257045873381,1
11,"(137, 139)",-0.9994748818483193,28,2,"(137, 139, 167)",-0.9193043441416745,1
12,"(149, 151)",-0.9995555423863826,29,1,"(149, 151, 167)",-0.9745245446588467,1
13,"(179, 181)",-0.9996913516738831,29,1,"(179, 181, 197)",-0.9819978057978643,1
14,"(191, 193)",-0.9997287277330548,29,0,"(191, 193, 197)",-0.9986201636845894,1
15,"(197, 199)",-0.9997449196496786,28,2,"(197, 199, 227)",-0.9585611922518056,1
16,"(227, 229)",-0.9998076306508449,30,0,"(227, 229, 233)",-0.999017465262504,1
17,"(239, 241)",-0.9998263868794743,30,1,"(239, 241, 257)",-0.9896471303461845,1
18,"(269, 271)",-0.9998628245342875,27,3,"(269, 271, 311)",-0.9556286458029983,1
19,"(281, 283)",-0.999874250744015,27,2,"(281, 283, 311)",-0.9787466522862065,1
20,"(311, 313)",-0.9998972708283388,28,0,"(311, 313, 317)",-0.9994721799685172,1
21,"(347, 349)",-0.9999174258897356,29,0,"(347, 349, 353)",-0.9995750258027716,1
22,"(419, 421)",-0.99994331044335,28,2,"(419, 421, 449)",-0.9901114122923301,1
23,"(431, 433)",-0.9999464161323163,28,1,"(431, 433, 449)",-0.9967068427230018,1
24,"(461, 463)",-0.9999531491574656,26,0,"(461, 463, 467)",-0.9997580124465444,1
25,"(521, 523)",-0.9999633005076762,24,3,"(521, 523, 563)",-0.9873067706588179,1
26,"(569, 571)",-0.9999692212357058,25,1,"(569, 571, 587)",-0.9980907663020259,1
27,"(599, 601)",-0.9999722221707817,28,1,"(599, 601, 617)",-0.9982744016449668,1
28,"(617, 619)",-0.9999738167345977,25,2,"(617, 619, 647)",-0.9953352582201676,1
29,"(641, 643)",-0.9999757377738598,25,0,"(641, 643, 647)",-0.9998742979742703,1
30,"(659, 661)",-0.9999770431237268,27,1,"(659, 661, 677)",-0.9985702824761417,1
31,"(809, 811)",-0.9999847584054853,28,1,"(809, 811, 827)",-0.9990463179949163,1
32,"(821, 823)",-0.9999852001677314,28,0,"(821, 823, 827)",-0.9999231894780816,1
33,"(827, 829)",-0.9999854138811232,24,2,"(827, 829, 857)",-0.9973712740307864,1
34,"(857, 859)",-0.9999864160580306,28,0,"(857, 859, 863)",-0.9999294816068282,1
35,"(881, 883)",-0.9999871452628151,28,0,"(881, 883, 887)",-0.9999332563726517,1
36,"(1019, 1021)",-0.9999903883060286,25,2,"(1019, 1021, 1049)",-0.9982566006331721,1
37,"(1031, 1033)",-0.9999906105343545,25,1,"(1031, 1033, 1049)",-0.9994098693132315,1
38,"(1049, 1051)",-0.9999909296997307,24,3,"(1049, 1051, 1091)",-0.9967424173587347,1
39,"(1061, 1063)",-0.9999911335203175,24,2,"(1061, 1063, 1091)",-0.9983900005345621,1
40,"(1091, 1093)",-0.9999916139979147,23,0,"(1091, 1093, 1097)",-0.9999564103733135,1
