Index,Zwilling,V_Z,Anzahl_admissible_D,Anzahl_admissible_Q,bestes_m_D,bester_Drilling,Delta_Z_to_D_min,Z_to_D_beguenstigt,bestes_m_Q,bester_Vierling,Delta_Z_to_Q_min,Z_to_Q_beguenstigt,Delta_D_to_Q_best,D_to_Q_beguenstigt
1,"(3, 5)",-0.3476429552602168,0,0,,,,0,,,,0,,0
2,"(5, 7)",-0.7169660849577962,40,15,0,"(5, 7, 11)",-0.23951266258164672,1,0,"(5, 7, 11, 13)",-0.8684790040798457,1,-0.628966341498199,1
3,"(11, 13)",-0.9302323319933794,42,18,0,"(11, 13, 17)",-0.7482404937066547,1,0,"(11, 13, 17, 19)",-1.6044751713016707,1,-0.856234677595016,1
4,"(17, 19)",-0.9690721452358182,40,14,0,"(17, 19, 23)",-0.8750978870970836,1,3,"(17, 19, 59, 61)",1.618274520679317,0,2.4933724077764006,0
5,"(29, 31)",-0.9888806514186946,40,14,1,"(29, 31, 47)",-0.5546937384618352,1,2,"(29, 31, 59, 61)",-0.8015924984946586,1,-0.2468987600328234,1
6,"(41, 43)",-0.994328922373693,40,14,0,"(41, 43, 47)",-0.9736344519804353,1,1,"(41, 43, 59, 61)",-1.6831458916034747,1,-0.7095114396230393,1
7,"(59, 61)",-0.9972217077093563,40,15,2,"(59, 61, 89)",-0.6552025652484464,1,3,"(59, 61, 101, 103)",-1.2967516271867483,1,-0.6415490619383017,1
8,"(71, 73)",-0.9980707395450522,40,15,1,"(71, 73, 89)",-0.9007046651282747,1,2,"(71, 73, 101, 103)",-1.6971058372247247,1,-0.7964011720964499,1
9,"(101, 103)",-0.9990387696245281,38,14,0,"(101, 103, 107)",-0.9952208522024534,1,0,"(101, 103, 107, 109)",-1.9918827267019545,1,-0.9966618744995013,1
10,"(107, 109)",-0.999142612174487,40,16,0,"(107, 109, 113)",-0.9957257045873381,1,2,"(107, 109, 137, 139)",-1.8499332243459579,1,-0.8542075197586199,1
11,"(137, 139)",-0.9994748818483193,37,14,2,"(137, 139, 167)",-0.9193043441416745,1,3,"(137, 139, 179, 181)",-1.823598424938894,1,-0.9042940807972195,1
12,"(149, 151)",-0.9995555423863826,38,14,1,"(149, 151, 167)",-0.9745245446588467,1,2,"(149, 151, 179, 181)",-1.9169588391865653,1,-0.9424342945277184,1
13,"(179, 181)",-0.9996913516738831,38,14,1,"(179, 181, 197)",-0.9819978057978643,1,1,"(179, 181, 197, 199)",-1.9773154316527726,1,-0.9953176258549083,1
14,"(191, 193)",-0.9997287277330548,38,14,0,"(191, 193, 197)",-0.9986201636845894,1,0,"(191, 193, 197, 199)",-1.9976407339519753,1,-0.999020570267386,1
15,"(197, 199)",-0.9997449196496786,36,13,2,"(197, 199, 227)",-0.9585611922518056,1,2,"(197, 199, 227, 229)",-1.950271216480014,1,-0.9917100242282084,1
16,"(227, 229)",-0.9998076306508449,38,13,0,"(227, 229, 233)",-0.999017465262504,1,3,"(227, 229, 269, 271)",-1.9285582504878689,1,-0.929540785225365,1
17,"(239, 241)",-0.9998263868794743,38,13,1,"(239, 241, 257)",-0.9896471303461845,1,2,"(239, 241, 269, 271)",-1.9653350371691847,1,-0.9756879068230002,1
18,"(269, 271)",-0.9998628245342875,35,11,3,"(269, 271, 311)",-0.9556286458029983,1,3,"(269, 271, 311, 313)",-1.947756648761383,1,-0.9921280029583848,1
