B-Paar,C-Paar,count,p(joint),p(B-Paar),p(C-Paar),lift
7·19,47·47,1,0.002770083102493075,0.1440443213296399,0.00554016620498615,3.471153846153846
31·31,11·23,1,0.002770083102493075,0.00554016620498615,0.1523545706371191,3.281818181818182
7·139,11·23,1,0.002770083102493075,0.00554016620498615,0.1523545706371191,3.281818181818182
7·151,11·23,1,0.002770083102493075,0.00554016620498615,0.1523545706371191,3.281818181818182
7·163,11·23,1,0.002770083102493075,0.00554016620498615,0.1523545706371191,3.281818181818182
19·31,11·47,1,0.002770083102493075,0.013850415512465374,0.060941828254847646,3.2818181818181817
7·31,23·59,1,0.002770083102493075,0.0664819944598338,0.013850415512465374,3.0083333333333333
7·79,23·23,1,0.002770083102493075,0.01662049861495845,0.055401662049861494,3.0083333333333333
7·67,11·59,1,0.002770083102493075,0.0221606648199446,0.0443213296398892,2.8203125
7·79,11·47,1,0.002770083102493075,0.01662049861495845,0.060941828254847646,2.7348484848484844
19·19,11·71,1,0.002770083102493075,0.0332409972299169,0.0332409972299169,2.5069444444444438
7·31,11·107,1,0.002770083102493075,0.0664819944598338,0.01662049861495845,2.5069444444444438
19·127,11·11,1,0.002770083102493075,0.002770083102493075,0.4155124653739612,2.4066666666666667
31·67,11·11,1,0.002770083102493075,0.002770083102493075,0.4155124653739612,2.4066666666666667
7·271,11·11,1,0.002770083102493075,0.002770083102493075,0.4155124653739612,2.4066666666666667
7·307,11·11,1,0.002770083102493075,0.002770083102493075,0.4155124653739612,2.4066666666666667
7·331,11·11,1,0.002770083102493075,0.002770083102493075,0.4155124653739612,2.4066666666666667
7·43,11·83,1,0.002770083102493075,0.04709141274238227,0.024930747922437674,2.3594771241830066
7·19,11·179,1,0.002770083102493075,0.1440443213296399,0.008310249307479225,2.314102564102564
7·19,11·191,1,0.002770083102493075,0.1440443213296399,0.008310249307479225,2.314102564102564
7·19,23·83,1,0.002770083102493075,0.1440443213296399,0.008310249307479225,2.314102564102564
7·67,23·23,1,0.002770083102493075,0.0221606648199446,0.055401662049861494,2.25625
19·43,11·23,1,0.002770083102493075,0.008310249307479225,0.1523545706371191,2.187878787878788
7·127,11·23,1,0.002770083102493075,0.008310249307479225,0.1523545706371191,2.187878787878788
7·67,11·47,1,0.002770083102493075,0.0221606648199446,0.060941828254847646,2.0511363636363633
