features,k,auc_oos_mean,auc_oos_min,rmse_oos_mean
logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832
cos60,1,0.999832420382879,0.9996471418489767,3.465174475971418
sin60,1,0.999832420382879,0.9996471418489767,3.4651898697939307
lgp_scaled,1,0.999832420382879,0.9996471418489767,3.468881246620322
npd_scaled,1,0.999832420382879,0.9996471418489767,3.4720276608115244
"logM,cos60",2,0.999832420382879,0.9996471418489767,2.7723379943098276
"logM,sin60",2,0.999832420382879,0.9996471418489767,2.831323477740663
"logM,lgp_scaled",2,0.999832420382879,0.9996471418489767,3.179947704843995
"sin60,cos60",2,0.999832420382879,0.9996471418489767,3.465186855969302
"npd_scaled,lgp_scaled",2,0.999832420382879,0.9996471418489767,3.4683386825150313
"lgp_scaled,sin60",2,0.999832420382879,0.9996471418489767,3.4688735747782413
"lgp_scaled,cos60",2,0.999832420382879,0.9996471418489767,3.468881430539617
"npd_scaled,cos60",2,0.999832420382879,0.9996471418489767,3.4720335570987464
"npd_scaled,sin60",2,0.999832420382879,0.9996471418489767,3.47205321481999
"logM,npd_scaled",2,0.999832420382879,0.9996471418489767,5.645077315750415
"logM,sin60,cos60",3,0.999832420382879,0.9996471418489767,2.852806642268125
"logM,lgp_scaled,cos60",3,0.999832420382879,0.9996471418489767,3.1785412600946903
"logM,lgp_scaled,sin60",3,0.999832420382879,0.9996471418489767,3.2395839496122454
"npd_scaled,lgp_scaled,cos60",3,0.999832420382879,0.9996471418489767,3.4683265530505
"npd_scaled,lgp_scaled,sin60",3,0.999832420382879,0.9996471418489767,3.468332267339376
"lgp_scaled,sin60,cos60",3,0.999832420382879,0.9996471418489767,3.468873732219543
"npd_scaled,sin60,cos60",3,0.999832420382879,0.9996471418489767,3.472059164050272
"logM,npd_scaled,cos60",3,0.999832420382879,0.9996471418489767,5.698944677075502
"logM,npd_scaled,sin60",3,0.999832420382879,0.9996471418489767,5.739777965168198
"logM,npd_scaled,lgp_scaled",3,0.999832420382879,0.9996471418489767,6.067123561144239
"logM,lgp_scaled,sin60,cos60",4,0.999832420382879,0.9996471418489767,3.238365495849806
"npd_scaled,lgp_scaled,sin60,cos60",4,0.999832420382879,0.9996471418489767,3.4683200828938103
"logM,npd_scaled,sin60,cos60",4,0.999832420382879,0.9996471418489767,5.793760589568793
"logM,npd_scaled,lgp_scaled,cos60",4,0.999832420382879,0.9996471418489767,6.184198616037335
"logM,npd_scaled,lgp_scaled,sin60",4,0.999832420382879,0.9996471418489767,6.210404952246113
"omega,Omega,tau,logM",4,0.9929101483340024,0.9877398720682303,2.190320618040628e-13
"tau,sin60,cos60",3,0.9761193348719066,0.9701900344731561,3.5648767340201406
"tau,logM,sin60,cos60",4,0.9761155959725627,0.9701836967898674,6.88416527573574
tau,1,0.9761134905599073,0.9703703703703703,3.5648624893327474
"tau,sin60",2,0.9761134905599073,0.9703703703703703,3.5648715070907664
"tau,logM",2,0.9761134905599073,0.9703703703703703,6.594021839536463
"tau,logM,sin60",3,0.9761134905599073,0.9703703703703703,6.669359626892011
"tau,logM,cos60",3,0.9760874213398483,0.9701836967898674,6.808712011193667
"tau,cos60",2,0.9760869462515769,0.9701836967898674,3.5648677119599927
"tau,lgp_scaled,sin60",3,0.9758331850512907,0.9695666368987603,3.569723823902458
"tau,logM,lgp_scaled,sin60",4,0.9758329449875297,0.9695656766437165,7.192657432922426
"tau,lgp_scaled,cos60",3,0.9758329144364091,0.9695549217872267,3.5697243155637306
"tau,logM,lgp_scaled,cos60",4,0.9758311421673347,0.9695549217872267,7.325422818398623
"tau,lgp_scaled",2,0.9758307946731642,0.9695566502463054,3.5697323183843843
"tau,logM,lgp_scaled",3,0.9758306986476598,0.9695562661442879,7.144476266304043
"tau,lgp_scaled,sin60,cos60",4,0.9758302322791693,0.9695551138382354,3.5697157830541744
"tau,npd_scaled",2,0.975432368608649,0.9692063492063492,3.571853243243803
"tau,logM,npd_scaled",3,0.975432368608649,0.9692063492063492,9.46546995385531
"tau,logM,npd_scaled,sin60",4,0.9754109410955834,0.9692063492063492,9.54992157143792
"tau,npd_scaled,sin60",3,0.9754092928253477,0.9692063492063492,3.5718676543059233
"tau,npd_scaled,lgp_scaled,sin60",4,0.9753769947373137,0.9693694005127762,3.568997175497958
"tau,npd_scaled,sin60,cos60",4,0.9753749206363912,0.9691804223201682,3.571905097599734
"tau,npd_scaled,lgp_scaled",3,0.9753704049473171,0.9693715130738725,3.569015173240561
"tau,logM,npd_scaled,lgp_scaled",4,0.9753685107219904,0.9693715130738725,9.779335452234061
"tau,npd_scaled,cos60",3,0.9753680785245042,0.9691802302691596,3.571890614968871
"tau,logM,npd_scaled,cos60",4,0.9753628525535188,0.9691802302691596,9.715659398837955
"tau,npd_scaled,lgp_scaled,cos60",4,0.9753425337994965,0.969313897771248,3.5690069602486743
"tau,coprime60",2,0.9747329207716131,0.9686772486772487,3.496372100064577
"tau,sin60,coprime60",3,0.9747329207716131,0.9686772486772487,3.496381648327113
"tau,logM,coprime60",3,0.9747329207716131,0.9686772486772487,7.19102262786044
"tau,logM,sin60,coprime60",4,0.9747329207716131,0.9686772486772487,7.269693872277645
"tau,logM,cos60,coprime60",4,0.9688072754971908,0.9574737610309298,7.363977272883428
"tau,cos60,coprime60",3,0.9687982533864266,0.9574737610309298,3.4963798793232734
"tau,sin60,cos60,coprime60",4,0.9681492833658085,0.9577076791595848,3.4963894313859685
"Omega,tau",2,0.9589141827538018,0.9577114427860697,3.4323095725109747
"Omega,tau,logM",3,0.9589141827538018,0.9577114427860697,1.2524789554297924
"Omega,tau,sin60",3,0.9589141827538018,0.9577114427860697,3.432311717756015
"Omega,tau,logM,sin60",4,0.9589141827538018,0.9577114427860697,1.2873406178130629
"Omega,tau,cos60",3,0.9588467126159381,0.9577836562033226,3.432324675038024
"Omega,tau,logM,cos60",4,0.9588463222361454,0.9577836562033226,1.4049518965460623
"Omega,tau,sin60,cos60",4,0.9588225317043525,0.9578235636181203,3.4323268228939887
"Omega,sin60,cos60",3,0.9586219291369713,0.9572667300434996,3.440633832618649
"Omega,logM,sin60,cos60",4,0.9586180151261128,0.9572667300434996,1.8070755627809982
"Omega,cos60",2,0.9585045798827905,0.957313590489634,3.440632272473172
"Omega,logM,cos60",3,0.9584985345626615,0.9573254976521764,1.7681946605515366
"Omega,tau,lgp_scaled",3,0.9580629630742258,0.9570672230900501,3.4347126455272976
"Omega,tau,logM,lgp_scaled",4,0.9580502101864451,0.9570273156752525,1.460309048958084
"Omega,tau,lgp_scaled,sin60",4,0.9580437354316648,0.9570045114382252,3.434705824917139
"Omega,tau,lgp_scaled,cos60",4,0.9579972844797885,0.9568106754234937,3.434711562192065
"Omega,lgp_scaled,sin60,cos60",4,0.9573773161287501,0.9564372617367173,3.4429979952382954
"Omega,logM,lgp_scaled,cos60",4,0.9573692981674385,0.9564265068802275,1.982911944223238
"Omega,lgp_scaled,cos60",3,0.957364685402152,0.9564247784211487,3.4430051317329546
"Omega,logM,lgp_scaled",3,0.9572618375434399,0.9563523751908507,1.8315353868818223
"Omega,lgp_scaled",2,0.9572554692909223,0.9563404680283084,3.4430208986593733
"Omega,lgp_scaled,sin60",3,0.9572321162580437,0.9562943757862088,3.4430138034915356
"Omega,logM,lgp_scaled,sin60",4,0.9572267945291542,0.956299561163445,1.8582832012217523
"Omega,sin60",2,0.9570300381549364,0.9551322751322752,3.440633439060693
"Omega,logM,sin60",3,0.9570229118308655,0.9551322751322752,1.6411642174823098
Omega,1,0.9567961533045386,0.9551322751322752,3.4406318799428575
"Omega,logM",2,0.9567961533045386,0.9551322751322752,1.602789081430672
"Omega,logM,npd_scaled,lgp_scaled",4,0.9542045931437464,0.953088276246171,3.268913375817536
"Omega,npd_scaled,lgp_scaled,cos60",4,0.9541969180259695,0.9530777134406898,3.4426312663703422
"Omega,npd_scaled,lgp_scaled",3,0.9541917204483762,0.9530884682971797,3.442650975690478
"Omega,npd_scaled,lgp_scaled,sin60",4,0.9541443082913714,0.9529882176706134,3.4426367036732506
"Omega,tau,npd_scaled",3,0.9540319741691661,0.9534391534391534,3.4367817439256414
"Omega,tau,logM,npd_scaled",4,0.9540319741691661,0.9534391534391534,2.6605274633202067
"Omega,tau,npd_scaled,cos60",4,0.9540106392681351,0.9532511355015892,3.4368166465611676
"Omega,tau,npd_scaled,lgp_scaled",4,0.95396111971452,0.9532845523771115,3.4350279966584747
"Omega,tau,npd_scaled,sin60",4,0.9539289940680652,0.9532046591574722,3.43678973279476
"Omega,npd_scaled,cos60",3,0.9537508444860109,0.9523448467913077,3.444495909583023
"Omega,logM,npd_scaled,cos60",4,0.9537455715355397,0.9523448467913077,3.25495900119992
"Omega,npd_scaled,sin60,cos60",4,0.953699276727043,0.9522219341457091,3.444502660027544
"Omega,logM,npd_scaled",3,0.9536236336949253,0.9521693121693122,3.0653006067174577
"Omega,npd_scaled",2,0.9536230264374701,0.9521693121693122,3.444481988489369
"Omega,logM,npd_scaled,sin60",4,0.9536045016071776,0.9522378743794353,3.1094224712787426
"Omega,npd_scaled,sin60",3,0.9536018536571074,0.9522378743794353,3.4444887103822865
"Omega,coprime60",2,0.9442534326872334,0.9402985074626866,3.4217311114248714
"Omega,logM,coprime60",3,0.9442534326872334,0.9402985074626866,2.4194746211229687
"Omega,tau,coprime60",3,0.9442534326872334,0.9402985074626866,3.4217810789879453
"Omega,tau,logM,coprime60",4,0.9442534326872334,0.9402985074626866,2.4475991816883687
"Omega,sin60,coprime60",3,0.9441979280910986,0.940224393692348,3.4217332358059256
"Omega,logM,sin60,coprime60",4,0.9441898515904847,0.9401920876898928,2.4652778075733477
"Omega,tau,sin60,coprime60",4,0.9440922479606302,0.9401122728602975,3.421784329331908
"Omega,sin60,cos60,coprime60",4,0.943787940907668,0.9393939393939394,3.421733331981062
"Omega,logM,cos60,coprime60",4,0.9437288742079977,0.9393654340976554,2.570056017766678
"Omega,cos60,coprime60",3,0.9437281152784021,0.9393654340976554,3.4217312066635523
"Omega,tau,cos60,coprime60",4,0.9436862669734906,0.9393806369223402,3.4217956250752666
"tau,lgp_scaled,sin60,coprime60",4,0.9380712666285875,0.9324474020299791,3.500638457436004
"tau,logM,lgp_scaled,coprime60",4,0.9375484976002091,0.9324472099789703,7.650515322285882
"tau,lgp_scaled,coprime60",3,0.937469112676183,0.9324472099789703,3.5006481956522926
"tau,lgp_scaled,cos60,coprime60",4,0.9373451332270943,0.9314856105781696,3.500645444087128
"Omega,logM,lgp_scaled,coprime60",4,0.9310405443527803,0.9282717903927706,2.6467318319008353
"Omega,lgp_scaled,coprime60",3,0.9309904358810059,0.9280219473254474,3.4240729121613027
"Omega,lgp_scaled,sin60,coprime60",4,0.9308591524036394,0.9278147857821252,3.4240644815015706
"Omega,lgp_scaled,cos60,coprime60",4,0.9308281931641118,0.9279921049590726,3.424059057133376
"Omega,tau,lgp_scaled,coprime60",4,0.930761596451622,0.9274306520661154,3.424323230534757
"omega,tau",2,0.9269810099149564,0.9148148148148149,3.5193109566642318
"omega,tau,logM",3,0.9269810099149564,0.9148148148148149,3.139923267601297
"omega,tau,sin60",3,0.9269810099149564,0.9148148148148149,3.5193115996771382
"omega,tau,logM,sin60",4,0.9269810099149564,0.9148148148148149,3.153008655185503
"omega,tau,logM,cos60",4,0.9240653741408997,0.9083254112292224,3.1351407722781413
"omega,tau,sin60,cos60",4,0.9240227359263051,0.9083559473396133,3.51931334485517
"omega,tau,cos60",3,0.9239949651533217,0.9082603059372569,3.5193127017703363
"tau,logM,npd_scaled,coprime60",4,0.9223792412114253,0.9182010582010582,9.25100825622941
"tau,npd_scaled,lgp_scaled,coprime60",4,0.9220169251926809,0.9179058758006127,3.5005085332047354
"tau,npd_scaled,coprime60",3,0.9219063253309898,0.9182010582010582,3.5020262794069197
"tau,npd_scaled,sin60,coprime60",4,0.9211749953203516,0.9168386483450004,3.5020415875456634
"tau,npd_scaled,cos60,coprime60",4,0.9206092937210516,0.9167802648383411,3.502061027117721
"Omega,tau,npd_scaled,coprime60",4,0.9186518887001466,0.914508039915206,3.4259119601280767
"omega,Omega,lgp_scaled,cos60",4,0.917973761686103,0.9060974733666047,3.4894941828865385
"omega,Omega,lgp_scaled,sin60",4,0.9179004805655804,0.9059195882426372,3.4895000305964574
"omega,Omega,logM,lgp_scaled",4,0.9178787015102168,0.9059155551714535,2.210640568623903
"omega,Omega,lgp_scaled",3,0.9178781126360386,0.9059155551714535,3.489501917271266
"Omega,logM,npd_scaled,coprime60",4,0.9177045708859721,0.9145807373077119,3.6694575864631886
"Omega,npd_scaled,coprime60",3,0.9174388957492785,0.9135180367609373,3.4251601193427135
"Omega,npd_scaled,cos60,coprime60",4,0.9172200865070124,0.912239326062206,3.425172602864916
"omega,Omega,coprime60",3,0.9171501846365813,0.904973544973545,3.4810588566364573
"omega,Omega,logM,coprime60",4,0.9171501846365813,0.904973544973545,2.3145605400695666
"omega,Omega,sin60,coprime60",4,0.9171501846365813,0.904973544973545,3.4810586854740873
"Omega,npd_scaled,sin60,coprime60",4,0.9171040535094133,0.9123293736677205,3.4251674980165845
"omega,Omega,cos60,coprime60",4,0.9170769570453108,0.9048707976838648,3.4810550145184767
"omega,Omega,sin60,cos60",4,0.9169826009710772,0.904728299223712,3.4883964185065546
"omega,Omega",2,0.9169824274689472,0.904728299223712,3.488400260483745
"omega,Omega,logM",3,0.9169824274689472,0.904728299223712,2.084184448445987
"omega,Omega,cos60",3,0.9169824274689472,0.904728299223712,3.488396402468906
"omega,Omega,sin60",3,0.9169824274689472,0.904728299223712,3.4884002768588016
"omega,Omega,logM,sin60",4,0.9169824274689472,0.904728299223712,2.0967905794087596
"omega,Omega,logM,cos60",4,0.9169824274689472,0.904728299223712,2.136660761967856
"Omega,npd_scaled,lgp_scaled,coprime60",4,0.9161675595442942,0.9108402048851955,3.4238458775121794
"omega,Omega,lgp_scaled,coprime60",4,0.9161655021367249,0.9038324198462636,3.4821768991957516
"omega,Omega,npd_scaled,lgp_scaled",4,0.9156028538841781,0.9024231001652305,3.489219465811765
"omega,Omega,npd_scaled",3,0.9154082024514526,0.9022582921665491,3.489593906563579
"omega,Omega,npd_scaled,sin60",4,0.9154049926620461,0.9022582921665491,3.4895943112361745
"omega,Omega,logM,npd_scaled",4,0.9153989634630256,0.9022582921665491,2.6120191105875423
"omega,Omega,npd_scaled,cos60",4,0.9153016707602092,0.9022582921665491,3.4895940488055945
"omega,tau,lgp_scaled,sin60",4,0.912519865953117,0.8961572513659628,3.5205814849121873
"omega,tau,logM,lgp_scaled",4,0.9124935957045376,0.8959446508992789,3.3066227417544587
"omega,tau,lgp_scaled",3,0.912449889626155,0.8959446508992789,3.5205830640269946
"omega,tau,lgp_scaled,cos60",4,0.9122506117627426,0.8957241763412362,3.5205879616846847
"omega,tau,logM,npd_scaled",4,0.9101858251704504,0.8931216931216931,3.7469666671560566
"omega,tau,npd_scaled",3,0.9098521805742957,0.8931216931216931,3.5207654049351147
"omega,tau,npd_scaled,sin60",4,0.9097134608301827,0.8931216931216931,3.5207662320140067
"omega,tau,npd_scaled,cos60",4,0.9096863313974999,0.8928530137604548,3.5207714030634643
"omega,Omega,npd_scaled,coprime60",4,0.9093867961349553,0.8961904761904762,3.4822035480226035
"omega,tau,npd_scaled,lgp_scaled",4,0.909337273354351,0.8926069964182487,3.520441506588673
"lgp_scaled,cos60,coprime60",3,0.904920808338785,0.8980783629598379,3.40432812881191
"logM,lgp_scaled,cos60,coprime60",4,0.9049203467601417,0.8980783629598379,5.188870725787247
"lgp_scaled,sin60,cos60,coprime60",4,0.9049200735169332,0.8980726619005811,3.404319733987352
"logM,lgp_scaled,coprime60",3,0.904917968521416,0.8980783629598379,5.18743030119333
"lgp_scaled,coprime60",2,0.9049140647234891,0.8980783629598379,3.4043285584468874
"lgp_scaled,sin60,coprime60",3,0.9049120984784035,0.8980726619005811,3.404320193733051
"logM,lgp_scaled,sin60,coprime60",4,0.9049120984784035,0.8980726619005811,5.254348429584975
coprime60,1,0.9047845581906053,0.8980099502487562,3.4012456315965096
"cos60,coprime60",2,0.9047845581906053,0.8980099502487562,3.4012424720062935
"sin60,coprime60",2,0.9047845581906053,0.8980099502487562,3.4012587523676108
"logM,coprime60",2,0.9047845581906053,0.8980099502487562,4.8497556086943066
"sin60,cos60,coprime60",3,0.9047845581906053,0.8980099502487562,3.401255591443727
"logM,cos60,coprime60",3,0.9047845581906053,0.8980099502487562,4.8697285575826
"logM,sin60,coprime60",3,0.9047845581906053,0.8980099502487562,4.934943645207059
"logM,sin60,cos60,coprime60",4,0.9047845581906053,0.8980099502487562,4.954984193642868
"npd_scaled,coprime60",2,0.9045452200989184,0.8980099502487562,3.405555555769861
"logM,npd_scaled,coprime60",3,0.9045452200989184,0.8980099502487562,6.524390086324983
"npd_scaled,cos60,coprime60",3,0.9045123848207997,0.8979191542534568,3.4055593321116717
"logM,npd_scaled,cos60,coprime60",4,0.9045117341878117,0.8979165517215055,6.563080870571268
"npd_scaled,sin60,coprime60",3,0.9044713062666239,0.8978503205895655,3.4055785973603756
"logM,npd_scaled,sin60,coprime60",4,0.904467980648724,0.8978370181179663,6.616655048439864
"npd_scaled,sin60,cos60,coprime60",4,0.9044635949651358,0.8978389184710519,3.4055824120535627
"npd_scaled,lgp_scaled,coprime60",3,0.9044421125258253,0.8977954472347056,3.403975429858053
"logM,npd_scaled,lgp_scaled,coprime60",4,0.9044412016396424,0.8977918036899739,6.691757090641096
"npd_scaled,lgp_scaled,cos60,coprime60",4,0.9044387432120737,0.8978119299370638,3.4039672967217474
"npd_scaled,lgp_scaled,sin60,coprime60",4,0.9044205658734511,0.89774339659568,3.4039662534944424
omega,1,0.8930138694604709,0.8747353563867325,3.511505497425129
"omega,logM",2,0.8930138694604709,0.8747353563867325,2.7364241949461157
"omega,cos60",2,0.8930138694604709,0.8747353563867325,3.5115048937206432
"omega,sin60",2,0.8930138694604709,0.8747353563867325,3.5115057308349504
"omega,logM,cos60",3,0.8930138694604709,0.8747353563867325,2.705606399354205
"omega,logM,sin60",3,0.8930138694604709,0.8747353563867325,2.745606130595973
"omega,sin60,cos60",3,0.8930138694604709,0.8747353563867325,3.511505126958901
"omega,logM,sin60,cos60",4,0.8930138694604709,0.8747353563867325,2.714787192427489
"omega,lgp_scaled",2,0.8929183410400271,0.8749107290007141,3.512412284009995
"omega,lgp_scaled,sin60",3,0.8929154508374664,0.8749170677698942,3.51241110111437
"omega,logM,lgp_scaled,sin60",4,0.8929104924396137,0.8749086160776541,2.868564534257971
"omega,logM,lgp_scaled",3,0.892896831870389,0.8749107290007141,2.8644578702904573
"omega,logM,lgp_scaled,cos60",4,0.8928349742037079,0.8749339711543744,2.828348976171264
"omega,lgp_scaled,cos60",3,0.8928348421845403,0.8749339711543744,3.512417201289283
"omega,lgp_scaled,sin60,cos60",4,0.8928338459090621,0.8749212936160143,3.5124160266151385
"omega,npd_scaled",2,0.89202533957333,0.874029640084686,3.5124186656451943
"omega,logM,npd_scaled",3,0.8920135848040167,0.874029640084686,3.1752883944230947
"omega,npd_scaled,sin60",3,0.8919135070988762,0.8736683302414225,3.5124189543687585
"omega,logM,npd_scaled,sin60",4,0.8919132804895014,0.8736683302414225,3.186892027822757
"omega,npd_scaled,cos60",3,0.8919108715216911,0.8737359437793433,3.5124187578579305
"omega,logM,npd_scaled,cos60",4,0.8918970673330024,0.8736577656261224,3.1485430789295883
"omega,npd_scaled,sin60,cos60",4,0.8918931828072699,0.873613394241862,3.5124190479527293
"omega,logM,npd_scaled,lgp_scaled",4,0.891888422510124,0.873710588702623,3.18740407717498
"omega,npd_scaled,lgp_scaled",3,0.8918834264068147,0.873710588702623,3.5122090798280854
"omega,npd_scaled,lgp_scaled,sin60",4,0.8918743911536461,0.8736091683957421,3.5122049621210856
"omega,npd_scaled,lgp_scaled,cos60",4,0.8918624190745189,0.8736450880877623,3.512211237596975
"omega,tau,lgp_scaled,coprime60",4,0.8296948213524113,0.8185907648358893,3.5010539977526194
"omega,tau,sin60,coprime60",4,0.828247924573405,0.8092063492063493,3.4996886488840646
"omega,tau,npd_scaled,coprime60",4,0.8262122734538284,0.8118518518518518,3.5010328302599483
"omega,tau,cos60,coprime60",4,0.8244958324947962,0.8052223006351447,3.49968932962622
"omega,tau,logM,coprime60",4,0.8202787043617178,0.8052223006351447,3.6360388048116077
"omega,tau,coprime60",3,0.8195941021626293,0.8052223006351447,3.4996880603336304
"omega,sin60,cos60,coprime60",4,0.6763343883941632,0.6688014232649733,3.4917589623161307
"omega,logM,cos60,coprime60",4,0.6762616542528408,0.6687295838809325,3.153794489659228
"omega,cos60,coprime60",3,0.6762465999380306,0.6687295838809325,3.491758892532035
"omega,logM,sin60,coprime60",4,0.6757709541077348,0.6686873254197322,3.1968640065850376
"omega,sin60,coprime60",3,0.6757248705454089,0.6686873254197322,3.49175997910441
"omega,coprime60",2,0.6753336452345593,0.6679604798870854,3.4917599089912095
"omega,logM,coprime60",3,0.6753336452345593,0.6679604798870854,3.180816956241917
"omega,lgp_scaled,coprime60",3,0.6656944276568084,0.6579304341211719,3.492737139283933
"omega,lgp_scaled,sin60,coprime60",4,0.6654962239886524,0.6575944793546288,3.492734045768991
"omega,logM,lgp_scaled,coprime60",4,0.6654757915141833,0.6574846073555078,3.3142102968462512
"omega,lgp_scaled,cos60,coprime60",4,0.6644489377453286,0.6570831519741039,3.4927412909412894
"omega,logM,npd_scaled,coprime60",4,0.6532838406944328,0.6423280423280423,3.5381877026925412
"omega,npd_scaled,coprime60",3,0.6531207200855575,0.6423280423280423,3.4925513658153866
"omega,npd_scaled,sin60,coprime60",4,0.6528839967032783,0.6424830274921018,3.492551806776178
"omega,npd_scaled,lgp_scaled,coprime60",4,0.652678323290103,0.6426303306158115,3.492588111038247
"omega,npd_scaled,cos60,coprime60",4,0.6524774617248014,0.6416681550619844,3.4925511809612426
"omega,Omega,tau,npd_scaled",4,0.5879020782779668,0.5152636763921551,3.4508130390426626
"omega,Omega,tau,lgp_scaled",4,0.5369739138419335,0.49843854985864544,3.4508135269106965
"omega,Omega,tau,cos60",4,0.460196829077104,0.41919434601830247,3.4508139922363688
"omega,Omega,tau,coprime60",4,0.4496253877950981,0.3827855932454075,3.4508142198347516
"omega,Omega,tau,sin60",4,0.4487486835491479,0.3871699085949484,3.4508139950347845
"omega,Omega,tau",3,0.44046991084220005,0.3540456137830197,3.45081399657213
