shell,count,logR_sum_min,logR_sum_max,mean_R_A,mean_R_B,mean_R_C,share_excA,share_excB,share_excC
S1,40,0.0,0.7375989431307791,1.0,1.0,1.3545454545454545,0.0,0.0,0.325
S2,33,0.9985288301111273,1.4751978862615585,1.6545454545454545,1.5714285714285716,2.3072877535687453,0.2727272727272727,0.3333333333333333,0.3939393939393939
S3,39,1.488077055429833,1.9613743747528947,1.9846153846153847,2.5824175824175826,2.6503496503496504,0.2564102564102564,0.46153846153846156,0.5384615384615384
S4,34,1.9970576602222543,2.417241114238128,2.976470588235294,3.0096038415366144,4.170636849781235,0.3235294117647059,0.4117647058823529,0.47058823529411764
S5,36,2.423537703411708,2.7585442781290066,2.52,4.156462585034014,5.071625344352617,0.3333333333333333,0.5555555555555556,0.6666666666666666
S6,35,2.7894905330423847,3.1275576663334133,4.826285714285714,5.366180758017493,6.754899645808737,0.37142857142857144,0.45714285714285713,0.6
S7,36,3.131894500019037,3.4493099891339423,4.866666666666666,7.571428571428571,7.300275482093664,0.3611111111111111,0.5833333333333334,0.6388888888888888
S8,36,3.4494514301827275,3.673765816303888,6.680000000000001,6.251700680272109,12.37190082644628,0.4444444444444444,0.4444444444444444,0.6944444444444444
S9,36,3.674556590644931,3.8161672222639194,3.1199999999999997,8.979591836734693,14.606060606060604,0.3055555555555556,0.5833333333333334,0.8333333333333334
S10,36,3.8226948973013686,3.947709189594841,8.24,8.088435374149661,12.40495867768595,0.4722222222222222,0.5555555555555556,0.6944444444444444
