n,E_n,A_n,B_n,C_n,V'_n
1,1,5,7,11,385
2,13,17,19,23,96577
3,25,29,31,35,786625
4,37,41,43,47,3065857
5,49,53,55,59,8427265
6,61,65,67,71,18861505
7,73,77,79,83,36856897
8,85,89,91,95,65399425
9,97,101,103,107,107972737
10,109,113,115,119,168558145
11,121,125,127,131,251634625
12,133,137,139,143,362178817
13,145,149,151,155,505665025
14,157,161,163,167,688065217
15,169,173,175,179,915849025
16,181,185,187,191,1195983745
17,193,197,199,203,1535934337
18,205,209,211,215,1943663425
19,217,221,223,227,2427631297
20,229,233,235,239,2996795905
21,241,245,247,251,3660612865
22,253,257,259,263,4429035457
23,265,269,271,275,5312514625
24,277,281,283,287,6321998977
25,289,293,295,299,7468934785
26,301,305,307,311,8765265985
27,313,317,319,323,10223434177
28,325,329,331,335,11856378625
29,337,341,343,347,13677536257
30,349,353,355,359,15700841665
31,361,365,367,371,17940727105
32,373,377,379,383,20412122497
33,385,389,391,395,23130455425
34,397,401,403,407,26111651137
35,409,413,415,419,29372132545
36,421,425,427,431,32928820225
37,433,437,439,443,36799132417
38,445,449,451,455,41000985025
39,457,461,463,467,45552791617
40,469,473,475,479,50473463425
41,481,485,487,491,55782409345
42,493,497,499,503,61499535937
43,505,509,511,515,67645247425
44,517,521,523,527,74240445697
45,529,533,535,539,81306530305
46,541,545,547,551,88865398465
47,553,557,559,563,96939445057
48,565,569,571,575,105551562625
49,577,581,583,587,114725141377
50,589,593,595,599,124484069185
51,601,605,607,611,134852731585
52,613,617,619,623,145856011777
53,625,629,631,635,157519290625
54,637,641,643,647,169868446657
55,649,653,655,659,182929856065
56,661,665,667,671,196730392705
57,673,677,679,683,211297428097
58,685,689,691,695,226658831425
59,697,701,703,707,242842969537
60,709,713,715,719,259878706945
61,721,725,727,731,277795405825
62,733,737,739,743,296622926017
63,745,749,751,755,316391625025
64,757,761,763,767,337132358017
65,769,773,775,779,358876477825
66,781,785,787,791,381655834945
67,793,797,799,803,405502777537
68,805,809,811,815,430450151425
69,817,821,823,827,456531300097
70,829,833,835,839,483780064705
71,841,845,847,851,512230784065
72,853,857,859,863,541918294657
73,865,869,871,875,572877930625
74,877,881,883,887,605145523777
75,889,893,895,899,638757403585
76,901,905,907,911,673750397185
77,913,917,919,923,710161829377
78,925,929,931,935,748029522625
79,937,941,943,947,787391797057
80,949,953,955,959,828287470465
81,961,965,967,971,870755858305
82,973,977,979,983,914836773697
83,985,989,991,995,960570527425
84,997,1001,1003,1007,1007997927937
85,1009,1013,1015,1019,1057160281345
86,1021,1025,1027,1031,1108099391425
87,1033,1037,1039,1043,1160857559617
88,1045,1049,1051,1055,1215477585025
89,1057,1061,1063,1067,1272002764417
90,1069,1073,1075,1079,1330476892225
91,1081,1085,1087,1091,1390944260545
92,1093,1097,1099,1103,1453449659137
93,1105,1109,1111,1115,1518038375425
94,1117,1121,1123,1127,1584756194497
95,1129,1133,1135,1139,1653649399105
96,1141,1145,1147,1151,1724764769665
97,1153,1157,1159,1163,1798149584257
98,1165,1169,1171,1175,1873851618625
99,1177,1181,1183,1187,1951919146177
100,1189,1193,1195,1199,2032400937985
101,1201,1205,1207,1211,2115346262785
102,1213,1217,1219,1223,2200804886977
103,1225,1229,1231,1235,2288827074625
104,1237,1241,1243,1247,2379463587457
105,1249,1253,1255,1259,2472765684865
106,1261,1265,1267,1271,2568785123905
107,1273,1277,1279,1283,2667574159297
108,1285,1289,1291,1295,2769185543425
109,1297,1301,1303,1307,2873672526337
110,1309,1313,1315,1319,2981088855745
111,1321,1325,1327,1331,3091488777025
112,1333,1337,1339,1343,3204927033217
113,1345,1349,1351,1355,3321458865025
114,1357,1361,1363,1367,3441140010817
115,1369,1373,1375,1379,3564026706625
116,1381,1385,1387,1391,3690175686145
117,1393,1397,1399,1403,3819644180737
118,1405,1409,1411,1415,3952489919425
119,1417,1421,1423,1427,4088771128897
120,1429,1433,1435,1439,4228546533505
121,1441,1445,1447,1451,4371875355265
122,1453,1457,1459,1463,4518817313857
123,1465,1469,1471,1475,4669432626625
124,1477,1481,1483,1487,4823782008577
125,1489,1493,1495,1499,4981926672385
126,1501,1505,1507,1511,5143928328385
127,1513,1517,1519,1523,5309849184577
128,1525,1529,1531,1535,5479751946625
129,1537,1541,1543,1547,5653699817857
130,1549,1553,1555,1559,5831756499265
131,1561,1565,1567,1571,6013986189505
132,1573,1577,1579,1583,6200453584897
133,1585,1589,1591,1595,6391223879425
134,1597,1601,1603,1607,6586362764737
135,1609,1613,1615,1619,6785936430145
136,1621,1625,1627,1631,6990011562625
137,1633,1637,1639,1643,7198655346817
138,1645,1649,1651,1655,7411935465025
139,1657,1661,1663,1667,7629920097217
140,1669,1673,1675,1679,7852677921025
141,1681,1685,1687,1691,8080278111745
142,1693,1697,1699,1703,8312790342337
143,1705,1709,1711,1715,8550284783425
144,1717,1721,1723,1727,8792832103297
145,1729,1733,1735,1739,9040503467905
146,1741,1745,1747,1751,9293370540865
147,1753,1757,1759,1763,9551505483457
148,1765,1769,1771,1775,9814980954625
149,1777,1781,1783,1787,10083870110977
150,1789,1793,1795,1799,10358246606785
151,1801,1805,1807,1811,10638184593985
152,1813,1817,1819,1823,10923758722177
153,1825,1829,1831,1835,11215044138625
154,1837,1841,1843,1847,11512116488257
155,1849,1853,1855,1859,11815051913665
156,1861,1865,1867,1871,12123927055105
157,1873,1877,1879,1883,12438819050497
158,1885,1889,1891,1895,12759805535425
159,1897,1901,1903,1907,13086964643137
160,1909,1913,1915,1919,13420375004545
161,1921,1925,1927,1931,13760115748225
162,1933,1937,1939,1943,14106266500417
163,1945,1949,1951,1955,14458907385025
164,1957,1961,1963,1967,14818119023617
165,1969,1973,1975,1979,15183982535425
166,1981,1985,1987,1991,15556579537345
167,1993,1997,1999,2003,15935992143937
168,2005,2009,2011,2015,16322302967425
169,2017,2021,2023,2027,16715595117697
170,2029,2033,2035,2039,17115952202305
171,2041,2045,2047,2051,17523458326465
172,2053,2057,2059,2063,17938198093057
173,2065,2069,2071,2075,18360256602625
174,2077,2081,2083,2087,18789719453377
175,2089,2093,2095,2099,19226672741185
176,2101,2105,2107,2111,19671203059585
177,2113,2117,2119,2123,20123397499777
