n,E_n,A_n,B_n,C_n,V'_n,Primfaktorzerlegung,Primfaktoren_mit_Familie,distinct_E,distinct_A,distinct_B,distinct_C,mult_E,mult_A,mult_B,mult_C
1,1,5,7,11,385,5 * 7 * 11,"5:A, 7:B, 11:C",0,1,1,1,0,1,1,1
2,13,17,19,23,96577,13 * 17 * 19 * 23,"13:E, 17:A, 19:B, 23:C",1,1,1,1,1,1,1,1
3,25,29,31,35,786625,5^3 * 7 * 29 * 31,"5:A, 7:B, 29:A, 31:B",0,2,2,0,0,4,2,0
4,37,41,43,47,3065857,37 * 41 * 43 * 47,"37:E, 41:A, 43:B, 47:C",1,1,1,1,1,1,1,1
5,49,53,55,59,8427265,5 * 7^2 * 11 * 53 * 59,"5:A, 7:B, 11:C, 53:A, 59:C",0,2,1,2,0,2,2,2
6,61,65,67,71,18861505,5 * 13 * 61 * 67 * 71,"5:A, 13:E, 61:E, 67:B, 71:C",2,1,1,1,2,1,1,1
7,73,77,79,83,36856897,7 * 11 * 73 * 79 * 83,"7:B, 11:C, 73:E, 79:B, 83:C",1,0,2,2,1,0,2,2
8,85,89,91,95,65399425,5^2 * 7 * 13 * 17 * 19 * 89,"5:A, 7:B, 13:E, 17:A, 19:B, 89:A",1,3,2,0,1,4,2,0
9,97,101,103,107,107972737,97 * 101 * 103 * 107,"97:E, 101:A, 103:B, 107:C",1,1,1,1,1,1,1,1
10,109,113,115,119,168558145,5 * 7 * 17 * 23 * 109 * 113,"5:A, 7:B, 17:A, 23:C, 109:E, 113:A",1,3,1,1,1,3,1,1
11,121,125,127,131,251634625,5^3 * 11^2 * 127 * 131,"5:A, 11:C, 127:B, 131:C",0,1,1,2,0,3,1,3
12,133,137,139,143,362178817,7 * 11 * 13 * 19 * 137 * 139,"7:B, 11:C, 13:E, 19:B, 137:A, 139:B",1,1,3,1,1,1,3,1
13,145,149,151,155,505665025,5^2 * 29 * 31 * 149 * 151,"5:A, 29:A, 31:B, 149:A, 151:B",0,3,2,0,0,4,2,0
14,157,161,163,167,688065217,7 * 23 * 157 * 163 * 167,"7:B, 23:C, 157:E, 163:B, 167:C",1,0,2,2,1,0,2,2
15,169,173,175,179,915849025,5^2 * 7 * 13^2 * 173 * 179,"5:A, 7:B, 13:E, 173:A, 179:C",1,2,1,1,2,3,1,1
16,181,185,187,191,1195983745,5 * 11 * 17 * 37 * 181 * 191,"5:A, 11:C, 17:A, 37:E, 181:E, 191:C",2,2,0,2,2,2,0,2
17,193,197,199,203,1535934337,7 * 29 * 193 * 197 * 199,"7:B, 29:A, 193:E, 197:A, 199:B",1,2,2,0,1,2,2,0
18,205,209,211,215,1943663425,5^2 * 11 * 19 * 41 * 43 * 211,"5:A, 11:C, 19:B, 41:A, 43:B, 211:B",0,2,3,1,0,3,3,1
19,217,221,223,227,2427631297,7 * 13 * 17 * 31 * 223 * 227,"7:B, 13:E, 17:A, 31:B, 223:B, 227:C",1,1,3,1,1,1,3,1
20,229,233,235,239,2996795905,5 * 47 * 229 * 233 * 239,"5:A, 47:C, 229:E, 233:A, 239:C",1,2,0,2,1,2,0,2
21,241,245,247,251,3660612865,5 * 7^2 * 13 * 19 * 241 * 251,"5:A, 7:B, 13:E, 19:B, 241:E, 251:C",2,1,2,1,2,1,3,1
22,253,257,259,263,4429035457,7 * 11 * 23 * 37 * 257 * 263,"7:B, 11:C, 23:C, 37:E, 257:A, 263:C",1,1,1,3,1,1,1,3
23,265,269,271,275,5312514625,5^3 * 11 * 53 * 269 * 271,"5:A, 11:C, 53:A, 269:A, 271:B",0,3,1,1,0,5,1,1
24,277,281,283,287,6321998977,7 * 41 * 277 * 281 * 283,"7:B, 41:A, 277:E, 281:A, 283:B",1,2,2,0,1,2,2,0
25,289,293,295,299,7468934785,5 * 13 * 17^2 * 23 * 59 * 293,"5:A, 13:E, 17:A, 23:C, 59:C, 293:A",1,3,0,2,1,4,0,2
26,301,305,307,311,8765265985,5 * 7 * 43 * 61 * 307 * 311,"5:A, 7:B, 43:B, 61:E, 307:B, 311:C",1,1,3,1,1,1,3,1
27,313,317,319,323,10223434177,11 * 17 * 19 * 29 * 313 * 317,"11:C, 17:A, 19:B, 29:A, 313:E, 317:A",1,3,1,1,1,3,1,1
