n,Differenzmuster,zentraler_Sprung,Spannweite,normiert,Treffer_bis_200000,ABCE,CEAB,andere_Wörter,erstes_Beispiel
0,"(2,4,2)",6,8,"(1,2,1)",52,30,22,0,"(5, 7, 11, 13)"
1,"(2,16,2)",18,20,"(1,8,1)",109,46,63,0,"(11, 13, 29, 31)"
2,"(2,28,2)",30,32,"(1,14,1)",225,113,112,0,"(11, 13, 41, 43)"
3,"(2,40,2)",42,44,"(1,20,1)",204,85,119,0,"(17, 19, 59, 61)"
4,"(2,52,2)",54,56,"(1,26,1)",89,50,39,0,"(5, 7, 59, 61)"
5,"(2,64,2)",66,68,"(1,32,1)",89,55,34,0,"(5, 7, 71, 73)"
6,"(2,76,2)",78,80,"(1,38,1)",166,83,83,0,"(29, 31, 107, 109)"
7,"(2,88,2)",90,92,"(1,44,1)",221,115,106,0,"(11, 13, 101, 103)"
8,"(2,100,2)",102,104,"(1,50,1)",163,72,91,0,"(5, 7, 107, 109)"
9,"(2,112,2)",114,116,"(1,56,1)",93,46,47,0,"(197, 199, 311, 313)"
10,"(2,124,2)",126,128,"(1,62,1)",88,47,41,0,"(11, 13, 137, 139)"
11,"(2,136,2)",138,140,"(1,68,1)",183,98,85,0,"(11, 13, 149, 151)"
12,"(2,148,2)",150,152,"(1,74,1)",180,86,94,0,"(29, 31, 179, 181)"
13,"(2,160,2)",162,164,"(1,80,1)",131,71,60,0,"(17, 19, 179, 181)"
14,"(2,172,2)",174,176,"(1,86,1)",69,36,33,0,"(5, 7, 179, 181)"
15,"(2,184,2)",186,188,"(1,92,1)",66,38,28,0,"(5, 7, 191, 193)"
16,"(2,196,2)",198,200,"(1,98,1)",213,120,93,0,"(29, 31, 227, 229)"
17,"(2,208,2)",210,212,"(1,104,1)",337,161,176,0,"(17, 19, 227, 229)"
18,"(2,220,2)",222,224,"(1,110,1)",186,91,95,0,"(5, 7, 227, 229)"
19,"(2,232,2)",234,236,"(1,116,1)",77,41,36,0,"(5, 7, 239, 241)"
20,"(2,244,2)",246,248,"(1,122,1)",70,34,36,0,"(101, 103, 347, 349)"
