Index,p,Klassischer_Vierling,Klassischer_Flavor,Anzahl_gedehnter_Versionen_bis_zur_1000ten_Grenze,Erste_n_Werte,Flavor_der_gedehnten_Versionen
1,5,"(5, 7, 11, 13)",ABCE,33812,"[0, 4, 5, 8, 14, 15, 18, 19]",ABCE
2,11,"(11, 13, 17, 19)",CEAB,33829,"[0, 1, 2, 7, 10, 11, 15, 21]",CEAB
3,101,"(101, 103, 107, 109)",ABCE,33809,"[0, 6, 7, 10, 11, 17, 20, 26]",ABCE
4,191,"(191, 193, 197, 199)",CEAB,33823,"[0, 6, 7, 22, 27, 31, 35, 37]",CEAB
5,821,"(821, 823, 827, 829)",ABCE,33798,"[0, 16, 17, 22, 27, 41, 50, 52]",ABCE
6,1481,"(1481, 1483, 1487, 1489)",ABCE,33790,"[0, 10, 11, 15, 25, 32, 37, 45]",ABCE
7,1871,"(1871, 1873, 1877, 1879)",CEAB,33802,"[0, 6, 10, 17, 21, 22, 30, 36]",CEAB
8,2081,"(2081, 2083, 2087, 2089)",ABCE,33782,"[0, 2, 15, 21, 42, 50, 52, 76]",ABCE
9,3251,"(3251, 3253, 3257, 3259)",CEAB,33787,"[0, 6, 11, 17, 25, 27, 47, 55]",CEAB
10,3461,"(3461, 3463, 3467, 3469)",ABCE,33768,"[0, 5, 6, 17, 25, 32, 46, 52]",ABCE
11,5651,"(5651, 5653, 5657, 5659)",CEAB,33759,"[0, 7, 16, 36, 45, 51, 66, 76]",CEAB
12,9431,"(9431, 9433, 9437, 9439)",CEAB,33731,"[0, 2, 16, 20, 35, 41, 50, 72]",CEAB
13,13001,"(13001, 13003, 13007, 13009)",ABCE,33692,"[0, 56, 57, 77, 115, 120, 132, 135]",ABCE
14,15641,"(15641, 15643, 15647, 15649)",ABCE,33681,"[0, 7, 20, 27, 35, 41, 45, 67]",ABCE
15,15731,"(15731, 15733, 15737, 15739)",CEAB,33683,"[0, 27, 41, 52, 76, 91, 97, 121]",CEAB
16,16061,"(16061, 16063, 16067, 16069)",ABCE,33677,"[0, 6, 10, 32, 47, 52, 76, 80]",ABCE
17,18041,"(18041, 18043, 18047, 18049)",ABCE,33663,"[0, 1, 6, 7, 17, 20, 22, 41]",ABCE
18,18911,"(18911, 18913, 18917, 18919)",CEAB,33663,"[0, 22, 42, 46, 52, 65, 77, 81]",CEAB
19,19421,"(19421, 19423, 19427, 19429)",ABCE,33650,"[0, 27, 47, 60, 67, 90, 101, 110]",ABCE
20,21011,"(21011, 21013, 21017, 21019)",CEAB,33646,"[0, 25, 30, 42, 45, 60, 85, 91]",CEAB
21,22271,"(22271, 22273, 22277, 22279)",CEAB,33637,"[0, 17, 22, 30, 35, 57, 65, 77]",CEAB
22,25301,"(25301, 25303, 25307, 25309)",ABCE,33613,"[0, 41, 45, 52, 67, 116, 117, 131]",ABCE
23,31721,"(31721, 31723, 31727, 31729)",ABCE,33573,"[0, 10, 25, 57, 67, 92, 101, 112]",ABCE
24,34841,"(34841, 34843, 34847, 34849)",ABCE,33551,"[0, 17, 36, 50, 55, 57, 62, 97]",ABCE
25,43781,"(43781, 43783, 43787, 43789)",ABCE,33501,"[0, 20, 25, 40, 41, 62, 76, 82]",ABCE
26,51341,"(51341, 51343, 51347, 51349)",ABCE,33453,"[0, 6, 11, 31, 35, 40, 52, 60]",ABCE
27,55331,"(55331, 55333, 55337, 55339)",CEAB,33452,"[0, 27, 40, 47, 75, 95, 97, 105]",CEAB
28,62981,"(62981, 62983, 62987, 62989)",ABCE,33393,"[0, 27, 36, 50, 51, 55, 71, 97]",ABCE
29,67211,"(67211, 67213, 67217, 67219)",CEAB,33400,"[0, 16, 30, 45, 106, 140, 151, 161]",CEAB
30,69491,"(69491, 69493, 69497, 69499)",CEAB,33390,"[0, 20, 22, 30, 36, 42, 52, 57]",CEAB
31,72221,"(72221, 72223, 72227, 72229)",ABCE,33336,"[0, 2, 20, 35, 37, 115, 121, 135]",ABCE
32,77261,"(77261, 77263, 77267, 77269)",ABCE,33315,"[0, 35, 37, 77, 106, 126, 135, 157]",ABCE
33,79691,"(79691, 79693, 79697, 79699)",CEAB,33337,"[0, 12, 17, 25, 66, 81, 82, 90]",CEAB
34,81041,"(81041, 81043, 81047, 81049)",ABCE,33295,"[0, 27, 42, 50, 71, 77, 80, 91]",ABCE
35,82721,"(82721, 82723, 82727, 82729)",ABCE,33286,"[0, 7, 41, 42, 45, 51, 56, 76]",ABCE
36,88811,"(88811, 88813, 88817, 88819)",CEAB,33288,"[0, 21, 62, 65, 70, 71, 90, 100]",CEAB
37,97841,"(97841, 97843, 97847, 97849)",ABCE,33206,"[0, 1, 45, 66, 72, 80, 85, 90]",ABCE
38,99131,"(99131, 99133, 99137, 99139)",CEAB,33229,"[0, 10, 71, 102, 115, 165, 197, 225]",CEAB
39,101111,"(101111, 101113, 101117, 101119)",CEAB,33224,"[0, 32, 60, 80, 82, 90, 115, 130]",CEAB
40,109841,"(109841, 109843, 109847, 109849)",ABCE,33139,"[0, 60, 81, 86, 106, 115, 137, 157]",ABCE
41,116531,"(116531, 116533, 116537, 116539)",CEAB,33150,"[0, 21, 42, 66, 80, 90, 97, 106]",CEAB
42,119291,"(119291, 119293, 119297, 119299)",CEAB,33135,"[0, 10, 21, 30, 46, 52, 57, 65]",CEAB
43,122201,"(122201, 122203, 122207, 122209)",ABCE,33080,"[0, 15, 16, 37, 55, 107, 112, 127]",ABCE
44,135461,"(135461, 135463, 135467, 135469)",ABCE,33018,"[0, 11, 15, 21, 37, 50, 102, 107]",ABCE
45,144161,"(144161, 144163, 144167, 144169)",ABCE,32979,"[0, 20, 26, 31, 60, 70, 112, 115]",ABCE
46,157271,"(157271, 157273, 157277, 157279)",CEAB,32952,"[0, 6, 30, 41, 72, 90, 191, 196]",CEAB
47,165701,"(165701, 165703, 165707, 165709)",ABCE,32873,"[0, 1, 80, 86, 95, 130, 136, 241]",ABCE
48,166841,"(166841, 166843, 166847, 166849)",ABCE,32869,"[0, 35, 41, 146, 171, 180, 185, 206]",ABCE
49,171161,"(171161, 171163, 171167, 171169)",ABCE,32855,"[0, 7, 25, 31, 42, 106, 170, 177]",ABCE
50,187631,"(187631, 187633, 187637, 187639)",CEAB,32816,"[0, 102, 115, 117, 126, 146, 150, 165]",CEAB
51,194861,"(194861, 194863, 194867, 194869)",ABCE,32744,"[0, 15, 56, 72, 92, 136, 167, 177]",ABCE
52,195731,"(195731, 195733, 195737, 195739)",CEAB,32783,"[0, 16, 36, 45, 67, 77, 86, 130]",CEAB
53,201491,"(201491, 201493, 201497, 201499)",CEAB,32759,"[0, 27, 47, 66, 95, 115, 151, 152]",CEAB
54,201821,"(201821, 201823, 201827, 201829)",ABCE,32714,"[0, 25, 77, 92, 115, 126, 127, 136]",ABCE
55,217361,"(217361, 217363, 217367, 217369)",ABCE,32645,"[0, 16, 45, 51, 91, 105, 135, 162]",ABCE
56,225341,"(225341, 225343, 225347, 225349)",ABCE,32616,"[0, 2, 15, 22, 35, 36, 71, 86]",ABCE
57,240041,"(240041, 240043, 240047, 240049)",ABCE,32546,"[0, 25, 45, 85, 101, 112, 122, 126]",ABCE
58,243701,"(243701, 243703, 243707, 243709)",ABCE,32529,"[0, 56, 80, 96, 122, 147, 151, 157]",ABCE
59,247601,"(247601, 247603, 247607, 247609)",ABCE,32514,"[0, 7, 17, 32, 57, 86, 105, 107]",ABCE
60,247991,"(247991, 247993, 247997, 247999)",CEAB,32560,"[0, 10, 15, 17, 120, 125, 155, 171]",CEAB
