center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
9973215,99465017436209,12,99465017436221,59359738161519323829561157134,0.4864779837807506,-0.5135220162192494,9973213,2.0,-6.133398042996649,0.0,6.133398042996649
9950535,99013146786209,12,99013146786221,58821619419051346697484157134,0.48647612488500835,-0.5135238751149916,9950533,2.0,-6.124683390894205,0.0,6.124683390894205
9950205,99006579542009,12,99006579542021,58813816755656058762901561134,0.4864760978025451,-0.5135239021974549,9950209,4.0,6.133398042996649,0.0,-6.133398042996649
9933615,98676706968209,12,98676706968221,58422554988545824422121717134,0.48647473499433075,-0.5135252650056692,9933613,2.0,-6.192362489474872,0.0,6.192362489474872
9923985,98485478280209,12,98485478280221,58196336592496203084362677134,0.4864739427541931,-0.5135260572458069,9923989,4.0,6.154858094016418,0.0,-6.154858094016418
9917055,98347979873009,12,98347979873021,58033950870617781213151141134,0.48647337210414493,-0.513526627895855,9917053,2.0,-6.1070228877422545,0.0,6.1070228877422545
9910755,98223064670009,12,98223064670021,57886622599019693405040601134,0.48647285294340314,-0.5135271470565969,9910753,2.0,-6.133398042996649,0.0,6.133398042996649
9892035,97852356441209,12,97852356441221,57450501966591544198504057134,0.4864713081091743,-0.5135286918908257,9892033,2.0,-6.003887067106539,0.0,6.003887067106539
9876105,97537449971009,12,97537449971021,57081324881089524146040781134,0.4864699909318981,-0.5135300090681019,9876109,4.0,6.028278520230698,0.0,-6.028278520230698
9835755,96742076420009,12,96742076420021,56154176100336133672155601134,0.4864666438956847,-0.5135333561043153,9835753,2.0,-5.8888779583328805,0.0,5.8888779583328805
9792705,95897071217009,12,95897071217021,55177489608007480639353061134,0.4864630558823793,-0.5135369441176207,9792709,4.0,6.023447592961033,0.0,-6.023447592961033
9783885,95724405693209,12,95724405693221,54978971071915273828182217134,0.4864623185950526,-0.5135376814049474,9783889,4.0,6.111467339502679,0.0,-6.111467339502679
9778035,95609968461209,12,95609968461221,54847596414927161969755657134,0.4864618291668919,-0.5135381708331082,9778033,2.0,-6.1463292576688975,0.0,6.1463292576688975
9774465,95540166036209,12,95540166036221,54767539957365181348149157134,0.48646153032892925,-0.5135384696710708,9774469,4.0,6.133398042996649,0.0,-6.133398042996649
9750075,95063962505609,12,95063962505621,54222941803613847293439169134,0.48645948540933764,-0.5135405145906624,9750073,2.0,-6.19644412779452,0.0,6.19644412779452
9744405,94953428804009,12,94953428804021,54096921849834872839680721134,0.4864590092006625,-0.5135409907993376,9744409,4.0,6.220590170099739,0.0,-6.220590170099739
9743475,94935305075609,12,94935305075621,54076272898800547085205769134,0.4864589310627115,-0.5135410689372886,9743473,2.0,-6.2324480165505225,0.0,6.2324480165505225
9739905,94865749409009,12,94865749409021,53997062465604178930579621134,0.48645863103614295,-0.513541368963857,9739909,4.0,6.251903883165888,0.0,-6.251903883165888
9733815,94747154454209,12,94747154454221,53862139663025239887187597134,0.4864581189415075,-0.5135418810584925,9733813,2.0,-6.255750041753367,0.0,6.255750041753367
9725955,94594200662009,12,94594200662021,53688376793313354385583161134,0.48645745748035407,-0.5135425425196459,9725953,2.0,-6.244166900663736,0.0,6.244166900663736
9723015,94537020690209,12,94537020690221,53623489685892833969980477134,0.4864572099095903,-0.5135427900904097,9723013,2.0,-6.244166900663736,0.0,6.244166900663736
9721425,94506104030609,12,94506104030621,53588422194272548493143669134,0.4864570759843148,-0.5135429240156852,9721429,4.0,6.22455842927536,0.0,-6.22455842927536
9640485,92938951035209,12,92938951035221,51825891717156547921020577134,0.4864502257992119,-0.5135497742007882,9640489,4.0,5.942799375126701,0.0,-5.942799375126701
9627465,92688082326209,12,92688082326221,51546483631867256674057357134,0.48644911786125805,-0.513550882138742,9627469,4.0,5.993961427306569,0.0,-5.993961427306569
9617985,92505635460209,12,92505635460221,51343755551389121009087077134,0.4864483101026412,-0.5135516898973588,9617989,4.0,6.037870919922137,0.0,-6.037870919922137
9600585,92171232342209,12,92171232342221,50973216428895482609226637134,0.486446825182607,-0.5135531748173929,9600589,4.0,6.0844994130751715,0.0,-6.0844994130751715
9600555,92170656308009,12,92170656308021,50972579305501351863319441134,0.48644682261979544,-0.5135531773802046,9600553,2.0,-6.0844994130751715,0.0,6.0844994130751715
9589425,91957071830609,12,91957071830621,50736618357965320483507669134,0.48644587119668603,-0.513554128803314,9589429,4.0,6.061456918928017,0.0,-6.061456918928017
9585885,91889191233209,12,91889191233221,50661740792966138475115417134,0.4864455683282127,-0.5135544316717873,9585889,4.0,6.075346031088684,0.0,-6.075346031088684
9550395,91210044656009,12,91210044656021,49915633476913502758054081134,0.4864425249958822,-0.5135574750041179,9550393,2.0,-6.1070228877422545,0.0,6.1070228877422545
