center,a0,b0,c0,rad_abc,abc_quality_q,abc_eps_eff,e_near,d_e,K_add,GP_235,BridgeP_M
9,65,12,77,30030,0.42132158850307355,-0.5786784114969264,13,4.0,0.0,0.6931471805599453,0.6931471805599453
15,209,12,221,277134,0.43074148177620647,-0.5692585182237935,13,2.0,-1.0986122886681098,0.0,1.0986122886681098
105,11009,12,11021,727981134,0.45612347221705923,-0.5438765277829407,109,4.0,1.0986122886681098,0.0,-1.0986122886681098
195,38009,12,38021,8670841134,0.46085684416066314,-0.5391431558393369,193,2.0,-1.9459101490553132,0.0,1.9459101490553132
825,680609,12,680621,2779420669134,0.46873407055332267,-0.5312659294466773,829,4.0,2.5649493574615367,0.0,-2.5649493574615367
1485,2205209,12,2205221,29177839177134,0.4711048712614374,-0.5288951287385626,1489,4.0,2.70805020110221,0.0,-2.70805020110221
1875,3515609,12,3515621,74157292969134,0.4719487694442975,-0.5280512305557026,1873,2.0,-2.70805020110221,0.0,2.70805020110221
2085,4347209,12,4347221,113389669537134,0.4723168386383689,-0.5276831613616311,2089,4.0,2.70805020110221,0.0,-2.70805020110221
3255,10595009,12,10595021,673526057101134,0.473761391945718,-0.526238608054282,3253,2.0,-3.1354942159291497,0.0,3.1354942159291497
3465,12006209,12,12006221,864895191757134,0.47395217517891475,-0.5260478248210853,3469,4.0,2.9444389791664403,0.0,-2.9444389791664403
5655,31979009,12,31979021,6135944402221134,0.47535606371362993,-0.5246439362863701,5653,2.0,-3.5553480614894135,0.0,3.5553480614894135
9435,89019209,12,89019221,47546523835297134,0.4766700950405917,-0.5233299049594082,9433,2.0,-3.044522437723423,0.0,3.044522437723423
13005,169130009,12,169130021,171629771843401134,0.4774247283793029,-0.5225752716206971,13009,4.0,3.295836866004329,0.0,-3.295836866004329
15645,244766009,12,244766021,359462412593881134,0.4778375886216845,-0.5221624113783154,15649,4.0,3.713572066704308,0.0,-3.713572066704308
15735,247590209,12,247590221,367805487382477134,0.4778501610280879,-0.5221498389719121,15733,2.0,-3.713572066704308,0.0,3.713572066704308
16065,258084209,12,258084221,399644772192997134,0.47789553356783676,-0.5221044664321632,16069,4.0,3.6109179126442243,0.0,-3.6109179126442243
18045,325622009,12,325622021,636178179915961134,0.4781462130602358,-0.5218537869397641,18049,4.0,3.8918202981106265,0.0,-3.8918202981106265
18915,357777209,12,357777221,768027213438937134,0.4782461601775238,-0.5217538398224761,18913,2.0,-3.4965075614664802,0.0,3.4965075614664802
19425,377330609,12,377330621,854270358097669134,0.4783022307291502,-0.5216977692708498,19429,4.0,3.367295829986474,0.0,-3.367295829986474
21015,441630209,12,441630221,1170223480805677134,0.478466358707401,-0.521533641292599,21013,2.0,-3.6109179126442243,0.0,3.6109179126442243
22275,496175609,12,496175621,1477141445523769134,0.4785862413153541,-0.5214137586846459,22273,2.0,-3.8066624897703196,0.0,3.8066624897703196
25305,640343009,12,640343021,2460235061155741134,0.4788442109675353,-0.5211557890324647,25309,4.0,3.7612001156935624,0.0,-3.7612001156935624
31725,1006475609,12,1006475621,6077958981537769134,0.4792865928386542,-0.5207134071613457,31729,4.0,3.8918202981106265,0.0,-3.8918202981106265
34845,1214174009,12,1214174021,8845311232207321134,0.4794647430079762,-0.5205352569920239,34849,4.0,4.143134726391533,0.0,-4.143134726391533
43785,1917126209,12,1917126221,22052237545441357134,0.4798859267458289,-0.5201140732541711,43789,4.0,4.23410650459726,0.0,-4.23410650459726
51345,2636309009,12,2636309021,41700751335421621134,0.4801695835369113,-0.5198304164630887,51349,4.0,4.110873864173311,0.0,-4.110873864173311
55335,3061962209,12,3061962221,56253675636526237134,0.4803001189095383,-0.5196998810904617,55333,2.0,-3.7612001156935624,0.0,3.7612001156935624
62985,3967110209,12,3967110221,94427780747744077134,0.4805219684125575,-0.5194780315874425,62989,4.0,4.110873864173311,0.0,-4.110873864173311
67215,4517856209,12,4517856221,122466148676484757134,0.48063145591648115,-0.5193685440835188,67213,2.0,-4.204692619390966,0.0,4.204692619390966
69495,4829555009,12,4829555021,139947609857469901134,0.48068716910440534,-0.5193128308955947,69493,2.0,-4.394449154672439,0.0,4.394449154672439
72225,5216450609,12,5216450621,163268142112403269134,0.4807511244419978,-0.5192488755580023,72229,4.0,4.23410650459726,0.0,-4.23410650459726
77265,5969880209,12,5969880221,213836818688690677134,0.48086207347910914,-0.5191379265208909,77269,4.0,4.418840607796598,0.0,-4.418840607796598
79695,6351293009,12,6351293021,242033537774326741134,0.4809125784815258,-0.5190874215184742,79693,2.0,-4.23410650459726,0.0,4.23410650459726
81045,6568292009,12,6568292021,258854759965876561134,0.48093986408343853,-0.5190601359165614,81049,4.0,4.204692619390966,0.0,-4.204692619390966
