n,epsilon,kappa,C_fam,K,K2,K3,rho_E,rho_A,rho_B,rho_C,mB,sB,fam_support
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1
5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,A
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1,B
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,1
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1
10,0.6989700043360187,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,2,A
11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,1,C
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,1
13,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,1,E
14,0.7373504649628064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,2,B
15,0.5943161289177871,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,3,A
16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16,1
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,1,A
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18,1
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,1,B
20,0.5372435736804817,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,4,A
21,0.6391511932854698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,3,B
22,0.7757561757824245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,2,C
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,1,C
24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,1
25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,1,A
26,0.7872539464466368,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,2,E
27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27,1
28,0.583970804646981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,4,B
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,1,A
30,0.4731974454383393,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,6,A
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,1,B
32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32,1
33,0.6857972507265686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,3,C
34,0.8034383677671774,0.19656163223282258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,2,A
35,1.0,1.0,0.6886622640698201,0.6886622640698201,3.532343655504198,2.4484340455815454,0.0,0.4526808302869428,0.5473191697130572,0.0,35,1,A·B
36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36,1
37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,1,E
38,0.8094485875732266,0.1905514124267734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,2,B
