n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
2,2,2,1,2,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,1,3,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2^2,4,1,4,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,1,5,5,0.0,1.0,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2 * 3,6,1,6,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1,7,7,0.0,1.0,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2^3,8,1,8,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3^2,9,1,9,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2 * 5,2,5,10,0.30102999566398114,0.6989700043360187,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,1,11,11,0.0,1.0,1.0,C,1,1,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2^2 * 3,12,1,12,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,1,13,13,0.0,1.0,1.0,E,13,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2 * 7,2,7,14,0.26264953503719357,0.7373504649628064,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,3 * 5,3,5,15,0.40568387108221293,0.5943161289177871,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2^4,16,1,16,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,1,17,1,0.0,1.0,0.0,A,1,17,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2 * 3^2,18,1,18,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,1,19,1,0.0,1.0,0.0,B,1,1,19,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2^2 * 5,4,5,20,0.46275642631951835,0.5372435736804817,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3 * 7,3,7,21,0.3608488067145302,0.6391511932854698,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,2 * 11,2,11,22,0.2242438242175754,0.7757561757824245,1.0,C,1,1,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,23,1,23,1,0.0,1.0,0.0,C,1,1,1,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,2^3 * 3,24,1,24,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,5^2,1,25,25,0.0,1.0,1.0,A,1,25,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2 * 13,2,13,26,0.21274605355336315,0.7872539464466368,1.0,E,13,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3^3,27,1,27,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2^2 * 7,4,7,28,0.4160291953530189,0.583970804646981,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,29,1,29,1,0.0,1.0,0.0,A,1,29,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2 * 3 * 5,6,5,30,0.5268025545616606,0.4731974454383393,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
