sector_S,sector_support,sector_type,log_mB,C_fam,kappa13,log_mult
"(0, 0, 0, 1)",1,C,2.3978952727983707,0.0,1.0,4.189654742026425
"(0, 0, 0, 1)",1,C,3.1354942159291497,0.0,0.591843614596316,4.02535169073515
"(0, 0, 0, 1)",1,C,3.8501476017100584,0.0,0.5243111088486286,3.871201010907891
"(0, 0, 0, 1)",1,C,4.07753744390572,0.0,0.5019459502965089,3.8066624897703196
"(0, 0, 0, 1)",1,C,4.2626798770413155,0.0,0.4852239849219708,3.7612001156935624
"(0, 0, 0, 1)",1,C,4.418840607796598,0.0,0.4735741930893648,3.7376696182833684
"(0, 0, 0, 1)",1,C,4.672828834461906,0.0,0.45016688258719495,3.6635616461296463
"(0, 0, 0, 1)",1,C,4.795790545596741,0.0,1.0,3.6375861597263857
"(0, 0, 0, 1)",1,C,4.875197323201151,0.0,0.43299487882047555,3.6109179126442243
"(0, 0, 0, 1)",1,C,5.117993812416755,0.0,0.4140396870119217,3.5553480614894135
"(0, 0, 0, 1)",1,C,5.187385805840755,0.0,0.40690284429793333,3.5263605246161616
"(0, 0, 0, 1)",1,C,5.25227342804663,0.0,0.40411833298436173,3.5263605246161616
"(0, 0, 0, 1)",1,C,5.424950017481403,0.0,0.3883371728490266,3.4657359027997265
"(0, 0, 0, 1)",1,C,5.476463551931511,0.0,0.3817525078783122,3.4339872044851463
"(0, 0, 0, 1)",1,C,5.5254529391317835,0.0,0.37979605870897803,3.4339872044851463
"(0, 0, 0, 1)",1,C,5.53338948872752,0.0,0.6483830322054103,3.4339872044851463
"(0, 0, 0, 1)",1,C,5.572154032177765,0.0,0.3733342148751678,3.4011973816621555
"(0, 0, 0, 1)",1,C,5.739792912179234,0.0,0.36223555759484627,3.367295829986474
"(0, 0, 0, 1)",1,C,5.849324779946859,0.0,0.3581663241587295,3.367295829986474
"(0, 0, 0, 1)",1,C,5.883322388488279,0.0,0.3521530543788697,3.332204510175204
"(0, 0, 0, 1)",1,C,5.948034989180646,0.0,0.34982298181411814,3.332204510175204
"(0, 0, 0, 1)",1,C,6.037870919922137,0.0,0.33656957559834094,3.258096538021482
"(0, 0, 0, 1)",1,C,6.066108090103747,0.0,0.3355947329872315,3.258096538021482
"(0, 0, 0, 1)",1,C,6.093569770045136,0.0,0.33465215779869906,3.258096538021482
"(0, 0, 0, 1)",1,C,6.1463292576688975,0.0,0.32750900486916706,3.2188758248682006
"(0, 0, 0, 1)",1,C,6.171700597410915,0.0,0.3266591048301265,3.2188758248682006
"(0, 0, 0, 1)",1,C,6.19644412779452,0.0,0.3258345424052997,3.2188758248682006
"(0, 0, 0, 1)",1,C,6.220590170099739,0.0,0.3250339590613644,3.2188758248682006
"(0, 0, 0, 1)",1,C,6.248042874508429,0.0,0.5835168279271152,3.2188758248682006
"(0, 0, 0, 1)",1,C,6.270988431858299,0.0,0.31784793155900404,3.1780538303479458
