n,P_chaos,P_geom,Omega,S_holographic,Phase
10,0.049672941328980515,0.3090169943749474,6.239695839739665,1.151292546497023,Crystal
11,0.05209742038047156,0.28173255684142967,5.424025843281036,1.1989476363991853,Crystal
12,0.05441398092702653,0.25881904510252074,4.770750050174907,1.2424533248940002,Crystal
13,0.05663586699569488,0.23931566428755774,4.238190814641653,1.2824746787307684,Crystal
14,0.05877381679269499,0.2225209339563144,3.7974136943565564,1.3195286648076292,Crystal
15,0.06083668013960417,0.20791169081775931,3.4277910203462554,1.354025100551105,Crystal
16,0.06283185307179587,0.19509032201612825,3.114273786555119,1.3862943611198906,Crystal
17,0.06476559171707595,0.18374951781657034,2.8456586512036406,1.416606672028108,Crystal
18,0.06664324407237548,0.17364817766693033,2.6134550414559805,1.4451858789480823,Crystal
19,0.06846942449383846,0.1645945902807339,2.4111254807820437,1.4722194895832201,Crystal
20,0.07024814731040727,0.15643446504023087,2.233564505865712,1.4978661367769954,Crystal
21,0.07198293068896204,0.14904226617617444,2.0767339082184084,1.5222612188617115,Crystal
22,0.07367687846671538,0.14231483827328514,1.937402693473105,1.545521226679158,Crystal
23,0.07533274540746793,0.1361666490962466,1.8129586052494548,1.5677471079645748,Crystal
24,0.07695298980971184,0.13052619222005157,1.701269451913995,1.5890269151739729,Crystal
25,0.07853981633974483,0.12533323356430426,1.6005796693133136,1.6094379124341003,Crystal
26,0.08009521122207046,0.12053668025532305,1.509432192654923,1.629048269010741,Crystal
27,0.0816209713905398,0.11609291412523023,1.4266087610065117,1.6479184330021646,Crystal
28,0.08311872882066082,0.11196447610330786,1.3510838185930396,1.666102255087602,Crystal
29,0.08458997098232025,0.10811901842394177,1.2819885646003923,1.683647914993237,Crystal
30,0.08603605814318215,0.10452846326765346,1.2185826608069041,1.7005986908310777,Crystal
31,0.08745823809592926,0.10116832198743217,1.160231776474782,1.7169936022425731,Crystal
32,0.08885765876316733,0.0980171403295606,1.1063896249233676,1.7328679513998633,Crystal
33,0.09023537904225105,0.09505604330418266,1.0565834869431139,1.7482537807332401,Crystal
34,0.0915923781814074,0.09226835946330199,1.010402463383988,1.7631802623080808,Crystal
35,0.09292956392318426,0.0896393089034335,0.9674878804388028,1.7776740307447068,BEC/GUE
36,0.09424777960769379,0.08715574274765817,0.9275254052644542,1.791759469228055,BEC/GUE
37,0.09554781039358075,0.08480592447550919,0.8902385297847745,1.8054589563221122,BEC/GUE
38,0.09683038872706692,0.08257934547233232,0.8553831560277184,1.8187930798631928,BEC/GUE
39,0.09809619916725686,0.08046656871672588,0.8227430737175313,1.8317808230648231,BEC/GUE
40,0.09934588265796103,0.07845909572784494,0.7921261647648397,1.8444397270569681,BEC/GUE
41,0.10058004032170892,0.07654925283649565,0.7633612031713749,1.856786033352154,BEC/GUE
42,0.10179923683969261,0.07473009358642425,0.7362951451710494,1.8688348091416842,BEC/GUE
43,0.1030040034715693,0.07299531466090753,0.7107908249905891,1.8806000578467812,BEC/GUE
44,0.10419484076094312,0.07133918319923234,0.6867249877851088,1.8920948169591305,BEC/GUE
45,0.1053722209656109,0.0697564737441253,0.663986604099306,1.9033312448851598,BEC/GUE
46,0.10653659024604063,0.06824241336467098,0.6424754203855212,1.9143206982445475,BEC/GUE
47,0.10768837064084494,0.06679263374512155,0.6221007082537029,1.9250738008550292,BEC/GUE
48,0.10882796185405307,0.06540312923014306,0.6027801816761708,1.9356005054539456,BEC/GUE
49,0.10995574287564278,0.06407021998071291,0.5844390566605898,1.9459101490553132,BEC/GUE
50,0.11107207345395916,0.06279051952931337,0.5670092321991891,1.956011502714073,BEC/GUE
