N (Energie),Z (Protonen),N_n (Neutronen),A (Masse),Ratio (K/S),Element,Status,Konfiguration
14,3,5.4,8.4,1.8,Li,Instabil (Zerfall),"(3,2,1,0)"
50,5,5.0,10.0,1.0,B,Optimal (Stabil),"(5,5,0,0)"
57,5,3.91,8.9,0.781,B,Stark gebunden,"(5,4,4,0)"
59,5,3.68,8.7,0.735,B,Stark gebunden,"(5,5,3,0)"
61,5,3.47,8.5,0.694,B,Stark gebunden,"(5,6,0,0)"
107,7,5.91,12.9,0.845,N,Stark gebunden,"(7,7,3,0)"
137,8,7.01,15.0,0.877,O,Stark gebunden,"(8,8,3,0)"
143,9,11.76,20.8,1.306,Z=9,Neutronen-Bedarf,"(9,7,3,2)"
237,11,11.47,22.5,1.043,Z=11,Optimal (Stabil),"(11,10,4,0)"
3333,41,41.72,82.7,1.018,Nb,Optimal (Stabil),"(41,40,6,4)"
13336,82,83.39,165.4,1.017,Pb,Optimal (Stabil),"(82,80,14,4)"
