Z,Symbol,N (Energie),"Konfiguration (e,a,b,c)",Ratio (K/S),Neutronen (Nn),Masse (A),Status
1,H,2,"(1,1,0,0)",1.0,1.0,2.0,Stabil (4er/5er)
2,He,8,"(2,2,0,0)",1.0,2.0,4.0,Stabil (4er/5er)
3,Li,18,"(3,3,0,0)",1.0,3.0,6.0,Stabil (4er/5er)
4,Be,32,"(4,4,0,0)",1.0,4.0,8.0,Stabil (4er/5er)
5,B,50,"(5,5,0,0)",1.0,5.0,10.0,Stabil (4er/5er)
6,C,72,"(6,6,0,0)",1.0,6.0,12.0,Stabil (4er/5er)
7,N,98,"(7,7,0,0)",1.0,7.0,14.0,Stabil (4er/5er)
8,O,128,"(8,8,0,0)",1.0,8.0,16.0,Stabil (4er/5er)
9,F,162,"(9,9,0,0)",1.0,9.0,18.0,Stabil (4er/5er)
10,Ne,200,"(10,10,0,0)",1.0,10.0,20.0,Stabil (4er/5er)
11,Na,242,"(11,11,0,0)",1.0,11.0,22.0,Stabil (4er/5er)
12,Mg,288,"(12,12,0,0)",1.0,12.0,24.0,Stabil (4er/5er)
13,Al,338,"(13,13,0,0)",1.0,13.0,26.0,Stabil (4er/5er)
14,Si,392,"(14,14,0,0)",1.0,14.0,28.0,Stabil (4er/5er)
15,P,450,"(15,15,0,0)",1.0,15.0,30.0,Stabil (4er/5er)
16,S,512,"(16,16,0,0)",1.0,16.0,32.0,Stabil (4er/5er)
17,Cl,578,"(17,17,0,0)",1.0,17.0,34.0,Stabil (4er/5er)
18,Ar,648,"(18,18,0,0)",1.0,18.0,36.0,Stabil (4er/5er)
19,K,722,"(19,19,0,0)",1.0,19.0,38.0,Stabil (4er/5er)
20,Ca,800,"(20,20,0,0)",1.0,20.0,40.0,Stabil (4er/5er)
21,Sc,882,"(21,21,0,0)",1.0,21.0,42.0,Stabil (4er/5er)
22,Ti,968,"(22,22,0,0)",1.0,22.0,44.0,Stabil (4er/5er)
23,V,1058,"(23,23,0,0)",1.0,23.0,46.0,Stabil (4er/5er)
24,Cr,1152,"(24,24,0,0)",1.0,24.0,48.0,Stabil (4er/5er)
25,Mn,1250,"(25,25,0,0)",1.0,25.0,50.0,Stabil (4er/5er)
26,Fe,1352,"(26,26,0,0)",1.0,26.0,52.0,Stabil (4er/5er)
27,Co,1458,"(27,27,0,0)",1.0,27.0,54.0,Stabil (4er/5er)
