m,nu2,nu3,core,omega_E,omega_A,omega_B,omega_C,E_part,A_part,B_part,C_part,profile_weight,channel_count,balance,is_valid,energy,state,profile,is_fullshell_1111
1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,True,0.0,"|0,0;0,0,0,0>","(0,0,0,0)",False
2,1,0,1,0,0,0,0,1,1,1,1,0,0,0,True,1.0,"|1,0;0,0,0,0>","(0,0,0,0)",False
3,0,1,1,0,0,0,0,1,1,1,1,0,0,0,True,1.2,"|0,1;0,0,0,0>","(0,0,0,0)",False
4,2,0,1,0,0,0,0,1,1,1,1,0,0,0,True,2.0,"|2,0;0,0,0,0>","(0,0,0,0)",False
6,1,1,1,0,0,0,0,1,1,1,1,0,0,0,True,2.2,"|1,1;0,0,0,0>","(0,0,0,0)",False
9,0,2,1,0,0,0,0,1,1,1,1,0,0,0,True,2.4,"|0,2;0,0,0,0>","(0,0,0,0)",False
8,3,0,1,0,0,0,0,1,1,1,1,0,0,0,True,3.0,"|3,0;0,0,0,0>","(0,0,0,0)",False
12,2,1,1,0,0,0,0,1,1,1,1,0,0,0,True,3.2,"|2,1;0,0,0,0>","(0,0,0,0)",False
18,1,2,1,0,0,0,0,1,1,1,1,0,0,0,True,3.4,"|1,2;0,0,0,0>","(0,0,0,0)",False
27,0,3,1,0,0,0,0,1,1,1,1,0,0,0,True,3.5999999999999996,"|0,3;0,0,0,0>","(0,0,0,0)",False
16,4,0,1,0,0,0,0,1,1,1,1,0,0,0,True,4.0,"|4,0;0,0,0,0>","(0,0,0,0)",False
24,3,1,1,0,0,0,0,1,1,1,1,0,0,0,True,4.2,"|3,1;0,0,0,0>","(0,0,0,0)",False
36,2,2,1,0,0,0,0,1,1,1,1,0,0,0,True,4.4,"|2,2;0,0,0,0>","(0,0,0,0)",False
54,1,3,1,0,0,0,0,1,1,1,1,0,0,0,True,4.6,"|1,3;0,0,0,0>","(0,0,0,0)",False
81,0,4,1,0,0,0,0,1,1,1,1,0,0,0,True,4.8,"|0,4;0,0,0,0>","(0,0,0,0)",False
32,5,0,1,0,0,0,0,1,1,1,1,0,0,0,True,5.0,"|5,0;0,0,0,0>","(0,0,0,0)",False
48,4,1,1,0,0,0,0,1,1,1,1,0,0,0,True,5.2,"|4,1;0,0,0,0>","(0,0,0,0)",False
72,3,2,1,0,0,0,0,1,1,1,1,0,0,0,True,5.4,"|3,2;0,0,0,0>","(0,0,0,0)",False
108,2,3,1,0,0,0,0,1,1,1,1,0,0,0,True,5.6,"|2,3;0,0,0,0>","(0,0,0,0)",False
162,1,4,1,0,0,0,0,1,1,1,1,0,0,0,True,5.8,"|1,4;0,0,0,0>","(0,0,0,0)",False
13,0,0,13,1,0,0,0,13,1,1,1,1,1,1,True,5.841237339365384,"|0,0;1,0,0,0>","(1,0,0,0)",False
5,0,0,5,0,1,0,0,1,5,1,1,1,1,1,True,5.902359478108525,"|0,0;0,1,0,0>","(0,1,0,0)",False
64,6,0,1,0,0,0,0,1,1,1,1,0,0,0,True,6.0,"|6,0;0,0,0,0>","(0,0,0,0)",False
243,0,5,1,0,0,0,0,1,1,1,1,0,0,0,True,6.0,"|0,5;0,0,0,0>","(0,0,0,0)",False
37,0,0,37,1,0,0,0,37,1,1,1,1,1,1,True,6.102729478161057,"|0,0;1,0,0,0>","(1,0,0,0)",False
96,5,1,1,0,0,0,0,1,1,1,1,0,0,0,True,6.2,"|5,1;0,0,0,0>","(0,0,0,0)",False
17,0,0,17,0,1,0,0,1,17,1,1,1,1,1,True,6.208303336014054,"|0,0;0,1,0,0>","(0,1,0,0)",False
61,0,0,61,1,0,0,0,61,1,1,1,1,1,1,True,6.227718466043328,"|0,0;1,0,0,0>","(1,0,0,0)",False
73,0,0,73,1,0,0,0,73,1,1,1,1,1,1,True,6.2726148602870975,"|0,0;1,0,0,0>","(1,0,0,0)",False
7,0,0,7,0,0,1,0,1,1,7,1,1,1,1,True,6.286477537263828,"|0,0;0,0,1,0>","(0,0,1,0)",False
29,0,0,29,0,1,0,0,1,29,1,1,1,1,1,True,6.341823957496619,"|0,0;0,1,0,0>","(0,1,0,0)",False
97,0,0,97,1,0,0,0,97,1,1,1,1,1,1,True,6.343677744625846,"|0,0;1,0,0,0>","(1,0,0,0)",False
109,0,0,109,1,0,0,0,109,1,1,1,1,1,1,True,6.372836970557286,"|0,0;1,0,0,0>","(1,0,0,0)",False
144,4,2,1,0,0,0,0,1,1,1,1,0,0,0,True,6.4,"|4,2;0,0,0,0>","(0,0,0,0)",False
41,0,0,41,0,1,0,0,1,41,1,1,1,1,1,True,6.428393016676077,"|0,0;0,1,0,0>","(0,1,0,0)",False
157,0,0,157,1,0,0,0,157,1,1,1,1,1,1,True,6.464061451337077,"|0,0;1,0,0,0>","(1,0,0,0)",False
53,0,0,53,0,1,0,0,1,53,1,1,1,1,1,True,6.49257297838803,"|0,0;0,1,0,0>","(0,1,0,0)",False
181,0,0,181,1,0,0,0,181,1,1,1,1,1,1,True,6.499624257816457,"|0,0;1,0,0,0>","(1,0,0,0)",False
193,0,0,193,1,0,0,0,193,1,1,1,1,1,1,True,6.515672547226222,"|0,0;1,0,0,0>","(1,0,0,0)",False
19,0,0,19,0,0,1,0,1,1,19,1,1,1,1,True,6.536109744791609,"|0,0;0,0,1,0>","(0,0,1,0)",False
229,0,0,229,1,0,0,0,229,1,1,1,1,1,1,True,6.55843050088856,"|0,0;1,0,0,0>","(1,0,0,0)",False
241,0,0,241,1,0,0,0,241,1,1,1,1,1,1,True,6.571199233372663,"|0,0;1,0,0,0>","(1,0,0,0)",False
216,3,3,1,0,0,0,0,1,1,1,1,0,0,0,True,6.6,"|3,3;0,0,0,0>","(0,0,0,0)",False
277,0,0,277,1,0,0,0,277,1,1,1,1,1,1,True,6.606004376546835,"|0,0;1,0,0,0>","(1,0,0,0)",False
89,0,0,89,0,1,0,0,1,89,1,1,1,1,1,True,6.622159092433035,"|0,0;0,1,0,0>","(0,1,0,0)",False
