m,nu2,nu3,core,omega_E,omega_A,omega_B,omega_C,E_part,A_part,B_part,C_part,profile_weight,channel_count,balance,is_valid,energy,state,profile,is_fullshell_1111
5005,0,0,5005,1,1,1,1,13,5,7,11,4,4,0,True,18.72954817293733,"|0,0;1,1,1,1>","(1,1,1,1)",True
10465,0,0,10465,1,1,1,1,13,5,7,23,4,4,0,True,18.913947908720026,"|0,0;1,1,1,1>","(1,1,1,1)",True
13585,0,0,13585,1,1,1,1,13,5,19,11,4,4,0,True,18.979180380465113,"|0,0;1,1,1,1>","(1,1,1,1)",True
14245,0,0,14245,1,1,1,1,37,5,7,11,4,4,0,True,18.991040311733002,"|0,0;1,1,1,1>","(1,1,1,1)",True
17017,0,0,17017,1,1,1,1,13,17,7,11,4,4,0,True,19.03549203084286,"|0,0;1,1,1,1>","(1,1,1,1)",True
21385,0,0,21385,1,1,1,1,13,5,7,47,4,4,0,True,19.092611255165252,"|0,0;1,1,1,1>","(1,1,1,1)",True
22165,0,0,22165,1,1,1,1,13,5,31,11,4,4,0,True,19.101567436794788,"|0,0;1,1,1,1>","(1,1,1,1)",True
23485,0,0,23485,1,1,1,1,61,5,7,11,4,4,0,True,19.116029299615274,"|0,0;1,1,1,1>","(1,1,1,1)",True
26845,0,0,26845,1,1,1,1,13,5,7,59,4,4,0,True,19.149458715714168,"|0,0;1,1,1,1>","(1,1,1,1)",True
28105,0,0,28105,1,1,1,1,73,5,7,11,4,4,0,True,19.160925693859046,"|0,0;1,1,1,1>","(1,1,1,1)",True
28405,0,0,28405,1,1,1,1,13,5,19,23,4,4,0,True,19.163580116247807,"|0,0;1,1,1,1>","(1,1,1,1)",True
29029,0,0,29029,1,1,1,1,13,29,7,11,4,4,0,True,19.169012652325424,"|0,0;1,1,1,1>","(1,1,1,1)",True
29785,0,0,29785,1,1,1,1,37,5,7,23,4,4,0,True,19.1754400475157,"|0,0;1,1,1,1>","(1,1,1,1)",True
30745,0,0,30745,1,1,1,1,13,5,43,11,4,4,0,True,19.183370664596893,"|0,0;1,1,1,1>","(1,1,1,1)",True
32305,0,0,32305,1,1,1,1,13,5,7,71,4,4,0,True,19.195744323998067,"|0,0;1,1,1,1>","(1,1,1,1)",True
35581,0,0,35581,1,1,1,1,13,17,7,23,4,4,0,True,19.219891766625555,"|0,0;1,1,1,1>","(1,1,1,1)",True
37345,0,0,37345,1,1,1,1,97,5,7,11,4,4,0,True,19.231988578197793,"|0,0;1,1,1,1>","(1,1,1,1)",True
37765,0,0,37765,1,1,1,1,13,5,7,83,4,4,0,True,19.23478450668689,"|0,0;1,1,1,1>","(1,1,1,1)",True
38665,0,0,38665,1,1,1,1,37,5,19,11,4,4,0,True,19.240672519260784,"|0,0;1,1,1,1>","(1,1,1,1)",True
41041,0,0,41041,1,1,1,1,13,41,7,11,4,4,0,True,19.255581711504885,"|0,0;1,1,1,1>","(1,1,1,1)",True
41965,0,0,41965,1,1,1,1,109,5,7,11,4,4,0,True,19.261147804129234,"|0,0;1,1,1,1>","(1,1,1,1)",True
46189,0,0,46189,1,1,1,1,13,17,19,11,4,4,0,True,19.285124238370642,"|0,0;1,1,1,1>","(1,1,1,1)",True
46345,0,0,46345,1,1,1,1,13,5,31,23,4,4,0,True,19.285967172577486,"|0,0;1,1,1,1>","(1,1,1,1)",True
47905,0,0,47905,1,1,1,1,13,5,67,11,4,4,0,True,19.294243790521243,"|0,0;1,1,1,1>","(1,1,1,1)",True
48433,0,0,48433,1,1,1,1,37,17,7,11,4,4,0,True,19.296984169638534,"|0,0;1,1,1,1>","(1,1,1,1)",True
48685,0,0,48685,1,1,1,1,13,5,7,107,4,4,0,True,19.298281563353214,"|0,0;1,1,1,1>","(1,1,1,1)",True
49105,0,0,49105,1,1,1,1,61,5,7,23,4,4,0,True,19.30042903539797,"|0,0;1,1,1,1>","(1,1,1,1)",True
10010,1,0,5005,1,1,1,1,13,5,7,11,4,4,0,True,19.72954817293733,"|1,0;1,1,1,1>","(1,1,1,1)",True
20930,1,0,10465,1,1,1,1,13,5,7,23,4,4,0,True,19.913947908720026,"|1,0;1,1,1,1>","(1,1,1,1)",True
15015,0,1,5005,1,1,1,1,13,5,7,11,4,4,0,True,19.929548172937327,"|0,1;1,1,1,1>","(1,1,1,1)",True
27170,1,0,13585,1,1,1,1,13,5,19,11,4,4,0,True,19.979180380465113,"|1,0;1,1,1,1>","(1,1,1,1)",True
28490,1,0,14245,1,1,1,1,37,5,7,11,4,4,0,True,19.991040311733002,"|1,0;1,1,1,1>","(1,1,1,1)",True
34034,1,0,17017,1,1,1,1,13,17,7,11,4,4,0,True,20.03549203084286,"|1,0;1,1,1,1>","(1,1,1,1)",True
42770,1,0,21385,1,1,1,1,13,5,7,47,4,4,0,True,20.092611255165252,"|1,0;1,1,1,1>","(1,1,1,1)",True
44330,1,0,22165,1,1,1,1,13,5,31,11,4,4,0,True,20.101567436794788,"|1,0;1,1,1,1>","(1,1,1,1)",True
31395,0,1,10465,1,1,1,1,13,5,7,23,4,4,0,True,20.11394790872002,"|0,1;1,1,1,1>","(1,1,1,1)",True
