m,R,a,b,N_primes_EABC,rho_rec,B_ptol,alpha_arith,T_EABC
10000059,1000,9999059,10001059,113,1.1299852630157604e-05,3.3759348093643645e-05,0.3347177379969961,1.051546786717556
10000059,2000,9998059,10002059,242,2.4199791187009842e-05,6.751869692551772e-05,0.35841614677050854,1.1259975336221906
10000059,5000,9995059,10005059,610,6.099952284325228e-05,0.00016879675527632298,0.36137852735021525,1.1353041266885344
10000059,10000,9990059,10010059,1228,0.00012279978440148627,0.00033759360312867354,0.36375032957801995,1.1427553631431735
10000059,20000,9980059,10020059,2452,0.00024519477851009413,0.000675187946872817,0.36315040818742683,1.140870654509755
10000059,50000,9950059,10050059,6189,0.0006188836730631913,0.001687982828130377,0.36664097688047675,1.151836599472691
10000059,100000,9900059,10100059,12377,0.0012376937839490689,0.003376058239999266,0.36660913288905167,1.151736558623169
10000059,200000,9800059,10200059,24704,0.002470737367938865,0.006752857323332782,0.36588028587570776,1.149446818200457
10000059,500000,9500059,10500059,62032,0.006208575100438268,0.01689512752432798,0.3674772558832888,1.1544638474442765
10000059,1000000,9000059,11000059,124028,0.012445951654538205,0.033883559449505815,0.3673153546068705,1.153955219583674
10000101,1000,9999101,10001101,113,1.129981243081647e-05,3.375919750792898e-05,0.33471804026628593,1.0515477363245365
10000101,2000,9998101,10002101,244,2.4399710136226835e-05,6.751839575771307e-05,0.3613787007585928,1.1353046714670194
10000101,5000,9995101,10005101,610,6.099932274670377e-05,0.00016879600235258254,0.3613789538646055,1.1353054666230094
10000101,10000,9990101,10010101,1233,0.0001232990808225485,0.0003375920972824009,0.36523094531862504,1.1474068546766478
10000101,20000,9980101,10020101,2451,0.0002450933789170954,0.0006751849351681894,0.3630018475694253,1.1404039375636283
10000101,50000,9950101,10050101,6188,0.0006187801712437772,0.0016879752987008635,0.36658129518839305,1.151649103907287
10000101,100000,9900101,10100101,12378,0.0012377907927355678,0.003376043179947713,0.3666395027431901,1.151831968333821
10000101,200000,9800101,10200101,24709,0.002471227560047702,0.00675282719368101,0.36595450900330534,1.149679997032844
10000101,500000,9500101,10500101,62032,0.006208565075554502,0.016895052032709048,0.3674783045080084,1.1544671417959922
10000101,1000000,9000101,11000101,124029,0.012446002159053358,0.03388340725793338,0.367318494988112,1.1539650853823118
10000137,1000,9999137,10001137,115,1.1499790173293804e-05,3.3759068436012696e-05,0.34064299478792287,1.0701615299225646
10000137,2000,9998137,10002137,244,2.4399589979209934e-05,6.751813761267227e-05,0.3613783028077843,1.135303421267683
10000137,5000,9995137,10005137,607,6.069907604735541e-05,0.00016879535699541764,0.3596015739283826,1.1297216628727336
10000137,10000,9990137,10010137,1231,0.0001230986833520796,0.0003375908065656546,0.3646387311442955,1.1455463589772226
10000137,20000,9980137,10020137,2453,0.0002452917773290991,0.0006751823537274474,0.36329707963326996,1.141331436446507
10000137,50000,9950137,10050137,6190,0.0006189791735457362,0.001687968844956437,0.3667005913025076,1.152023883702991
10000137,100000,9900137,10100137,12379,0.00123788380084634,0.0033760302714354864,0.36666845416643506,1.151922921912398
10000137,200000,9800137,10200137,24707,0.0024710194793573555,0.006752801368473194,0.36592509456798256,1.1495875888589242
10000137,500000,9500137,10500137,62033,0.006208640262738133,0.01689498732612907,0.3674841621891077,1.1544855442439006
10000137,1000000,9000137,11000137,124029,0.01244596175619873,0.033883276809074804,0.3673187167324202,1.1539657820126017
10000233,1000,9999233,10001233,116,1.1599656289671507e-05,3.3758724251485354e-05,0.34360469913673153,1.0794659985468869
10000233,2000,9998233,10002233,241,2.4099334526461742e-05,6.751744924240937e-05,0.3569349078922898,1.121344084444167
10000233,5000,9995233,10005233,611,6.109856814558597e-05,0.00016879363606553153,0.36197198881280923,1.1371685408596082
10000233,10000,9990233,10010233,1231,0.00012309748379446642,0.0003375873647022577,0.3646388954842396,1.1455468752663835
10000233,20000,9980233,10020233,2448,0.0002447891851033686,0.0006751754699801137,0.3625563960589067,1.1390045103706528
10000233,50000,9950233,10050233,6189,0.0006188706719535385,0.0016879516352044887,0.3666400500145638,1.151833687637548
10000233,100000,9900233,10100233,12382,0.0012381688236081298,0.003375995849205816,0.3667566190578706,1.1521999000876366
10000233,200000,9800233,10200233,24706,0.002470889430977206,0.006752732502193163,0.36590956774531,1.1495388099068826
10000233,500000,9500233,10500233,62030,0.0062082843811785875,0.016894814777606376,0.36746685080013436,1.1544311589114786
10000233,1000000,9000233,11000233,124026,0.01244554762587655,0.03388292895024418,0.36731026541868245,1.15393923142745
10000359,1000,9999359,10001359,115,1.1499509367444043e-05,3.375827251608953e-05,0.340642708004779,1.070160628966747
10000359,2000,9998359,10002359,240,2.3998996972273973e-05,6.751654577524242e-05,0.3554535661845743,1.1166903122177518
10000359,5000,9995359,10005359,613,6.129776250306224e-05,0.00016879137739701005,0.3631569541546265,1.14089121927222
10000359,10000,9990359,10010359,1238,0.00012379576332161455,0.00033758284736159003,0.366712243495639,1.152060490147331
10000359,20000,9980359,10020359,2443,0.0002442849952627011,0.0006751664352685725,0.361814483810244,1.1366737243006457
10000359,50000,9950359,10050359,6188,0.0006187641714499861,0.0016879290479224066,0.36658186089728956,1.1516508811342003
10000359,100000,9900359,10100359,12383,0.0012382578299680682,0.00337595067106649,0.36678789195011924,1.1522981467761815
10000359,200000,9800359,10200359,24709,0.0024711595308742063,0.006752642117273346,0.36595446463139936,1.14967985763439
10000359,500000,9500359,10500359,62024,0.0062076227499663315,0.016894588312878208,0.36743261421969414,1.1543236015218836
10000359,1000000,9000359,11000359,124027,0.012445497126624017,0.0338824723961067,0.36731372436841647,1.1539500980385233
10000719,1000,9999719,10001719,121,1.2099078698440199e-05,3.3756981914125374e-05,0.35841707440609266,1.126000447875327
10000719,2000,9998719,10002719,241,2.4098092122564496e-05,6.75139645676894e-05,0.3569349286013827,1.1213441495037013
10000719,5000,9995719,10005719,613,6.129516836430016e-05,0.00016878492438114807,0.36315546894392153,1.1408865533451802
10000719,10000,9990719,10010719,1244,0.00012439173454854608,0.0003375699413177838,0.3684917385207748,1.1576509386453973
10000719,20000,9980719,10020719,2447,0.0002446781763618155,0.0006751406231000084,0.36241068599655485,1.138546748709214
10000719,50000,9950719,10050719,6181,0.000618040697633409,0.001687864516074677,0.36616724372565973,1.1503483228737559
10000719,100000,9900719,10100719,12381,0.0012380018165307608,0.0033758215971445463,0.36672607864643386,1.1521039545554292
10000719,200000,9800719,10200719,24708,0.0024709694691670806,0.006752383887611539,0.365940312383678,1.1496353970369169
10000719,500000,9500719,10500719,62032,0.006208214210343091,0.01689394130335788,0.3674816964771348,1.1544777979812808
10000719,1000000,9000719,11000719,124031,0.012445517347396127,0.033881168021863264,0.36732846221137144,1.1539963983376804
10001439,1000,10000439,10002439,132,1.3198106476723837e-05,3.3754400995340064e-05,0.39100401984754196,1.2283753562771156
10001439,2000,9999439,10003439,241,2.4096416115523143e-05,6.750880273253525e-05,0.35693739394240653,1.1213518946009502
10001439,5000,9996439,10006439,626,6.259087349967409e-05,0.00016877201978722153,0.37086048729277055,1.1650925823856988
10001439,10000,9991439,10011439,1234,0.00012338222349608796,0.0003375441321118072,0.36552916125118473,1.1483437276595607
10001439,20000,9981439,10021439,2461,0.0002460600272837097,0.0006750890045237355,0.36448531324740074,1.1450643824394087
10001439,50000,9951439,10051439,6181,0.0006179917222809299,0.0016877354667716906,0.3661662235865836,1.1503451180123285
10001439,100000,9901439,10101439,12372,0.0012370148422786846,0.0033755634780952694,0.36646173307239815,1.1512734884420297
10001439,200000,9801439,10201439,24710,0.0024709935037316986,0.006751867485914599,0.36597186021297945,1.1497345074656868
10001439,500000,9501439,10501439,62015,0.006206024035336668,0.016892647429007968,0.36738019078523565,1.154158908445313
10001439,1000000,9001439,11001439,124039,0.012445335638162415,0.033878559567337097,0.3673513808468167,1.1540683993544254
10002879,1000,10001879,10003879,125,1.2496404946510921e-05,3.374924031042381e-05,0.37027218484237334,1.163244375729442
10002879,2000,10000879,10004879,245,2.4492982876676527e-05,6.749848136270273e-05,0.36286716948583797,1.139980833885631
10002879,5000,9997879,10007879,616,6.158207079284207e-05,0.00016874621635659909,0.3649389723957138,1.1464895946869829
10002879,10000,9992879,10012879,1246,0.0001245643196021256,0.0003374925252106906,0.3690876398650972,1.1595230179309846
10002879,20000,9982879,10022879,2471,0.0002470234816519846,0.0006749857903940711,0.365968417657751,1.1497236923594718
10002879,50000,9952879,10052879,6192,0.00061900499950553,0.0016874774257283583,0.36682268459878903,1.1524074511056415
10002879,100000,9902879,10102879,12374,0.0012370509042346639,0.0033750473551437455,0.3665284584375786,1.1514831123590887
10002879,200000,9802879,10202879,24712,0.002470813487873202,0.006750834912954937,0.3660011716671785,1.1498265921148647
10002879,500000,9502879,10502879,62023,0.006205873954827827,0.016890060258926143,0.36742757927983805,1.1543077837918205
10002879,1000000,9002879,11002879,124058,0.012445568288914764,0.03387334383383273,0.3674148129563789,1.1542676772038278
10007919,1000,10006919,10008919,115,1.1490928569020366e-05,3.3731189994339576e-05,0.3406618198453318,1.070220670584624
10007919,2000,10005919,10009919,240,2.398103169390338e-05,6.74623807281178e-05,0.35547265653950266,1.1167502863365493
10007919,5000,10002919,10012919,620,6.195056545837647e-05,0.0001686559647459721,0.36731914908367325,1.1539671402841218
10007919,10000,9997919,10017919,1234,0.00012330211201752402,0.00033731202184807336,0.3655431885942677,1.1483877958575397
10007919,20000,9987919,10027919,2485,0.00024829961966899434,0.0006746247825258481,0.3680558824704617,1.156281656479711
10007919,50000,9957919,10057919,6198,0.0006192936966096461,0.001686574886060335,0.3671901566471515,1.1535618985931764
10007919,100000,9907919,10107919,12374,0.0012364371999348772,0.0033732421329655503,0.36654267651041,1.151527779752244
10007919,200000,9807919,10207919,24695,0.00246783273148403,0.006747223325409476,0.36575530591827,1.1490541820843243
10007919,500000,9507919,10507919,62027,0.006203049791423503,0.01688101123465339,0.3674572396877424,1.1544009647113953
10007919,1000000,9007919,11007919,124044,0.012438000630654599,0.033855101100582964,0.36738926266093547,1.1541874085833657
10113160,1000,10112160,10114160,122,1.2063493130093508e-05,3.335852262001372e-05,0.36163151670439736,1.1360989161850692
10113160,2000,10111160,10115160,245,2.4225910388409e-05,6.671704595650967e-05,0.36311425425221855,1.140757073572506
10113160,5000,10108160,10118160,620,6.130669748780724e-05,0.00016679262740796485,0.3675623943368594,1.154731317784552
10113160,10000,10103160,10123160,1237,0.00012231557312198814,0.00033358534425538414,0.36666950520568004,1.1519262238495689
10113160,20000,10093160,10133160,2481,0.00024532508200450997,0.0006671714040082805,0.36770922813931806,1.1551926097796548
10113160,50000,10063160,10163160,6200,0.0006130642880981794,0.001667941031420483,0.3675575314410667,1.1547160405468544
10113160,100000,10013160,10213160,12389,0.0012251431407277477,0.0033359715066450728,0.3672522796694545,1.1537570638236625
10113160,200000,9913160,10313160,24721,0.002444803632791389,0.00667265872754249,0.36639122913630545,1.1510519937943517
10113160,500000,9613160,10613160,61951,0.006130893006929264,0.016694190196520936,0.3672471042175463,1.1537408046619686
10113160,1000000,9113160,11113160,124048,0.012308059781961441,0.03347850479638729,0.36764066546035296,1.1549772137711076
