R,mean_alpha,std_alpha,var_alpha,min_alpha,max_alpha,mean_T,std_T
1000,0.35163127958384527,0.01838513735640038,0.0003380132756137088,0.3347177379969961,0.39100401984754196,1.1046822447129867,0.05775861245410671
2000,0.3588888027235098,0.003004009901932606,9.024075490909145e-06,0.3554535661845743,0.36311425425221855,1.127482426091815,0.009437375439222509
5000,0.3641324470163577,0.003497695733003972,1.2233875440674195e-05,0.3596015739283826,0.37086048729277055,1.143955820480264,0.010988335219297658
10000,0.36602923784578234,0.0017152177248354506,2.9419718435896997e-06,0.36375032957801995,0.3690876398650972,1.1499147646153811,0.005388515403650068
20000,0.3642449742770759,0.002243935852307962,5.035248109273059e-06,0.361814483810244,0.3680558824704617,1.1443093352958649,0.00704953238873744
50000,0.3667048614282481,0.0004208854625648434,1.7714457259842216e-07,0.3661662235865836,0.3675575314410667,1.1520372986986473,0.001322250677196438
100000,0.3666972827142942,0.0002212113146691661,4.8934445737660823e-08,0.36646173307239815,0.3672522796694545,1.152013489466566,0.0006949558410556252
200000,0.3659683801142116,0.00016314828956028363,2.6617364386446152e-08,0.36575530591827,0.36639122913630545,1.1497235744129644,0.000512545467928333
500000,0.367433299804773,7.31118827288134e-05,5.345347396151762e-09,0.3672471042175463,0.3674841621891077,1.154325755350931,0.00022968775367093923
1000000,0.3673701140250357,0.00010149712585693617,1.030166655721874e-08,0.36731026541868245,0.36764066546035296,1.1541272513694967,0.0003188626249526207
