m,R,a,b,N_slots,rho_rec,L,B_ptol,H_iso,frob_P,matrix_factor,alpha_direct,alpha_matrix,T_direct,T_matrix
10000059,1000,9999059,10001059,113,1.1299852630158522e-05,1.2408336063085557e-05,3.3759348093643645e-05,0.004304846938775511,0.25846633618089515,1.0338653447235806,0.3347177379970233,0.34605306957938964,1.0515467867176416,1.087157781142808
10000059,2000,9998059,10002059,242,2.419979118701166e-05,2.481667239750962e-05,6.751869692551772e-05,0.004561517535855098,0.2589623863341066,1.0358495453364265,0.3584161467705355,0.3712652026734931,1.1259975336222754,1.1663640332525715
10000059,5000,9995059,10005059,610,6.0999522843250414e-05,6.204168575818514e-05,0.00016879675527632298,0.005260278903475777,0.2603080461750573,1.0412321847002293,0.3613785273502042,0.3762789535366047,1.1353041266884996,1.1821151961310523
10000059,10000,9990059,10010059,1228,0.00012279978440148543,0.00012408340554292963,0.00033759360312867354,0.0037551169721739,0.2574006934182072,1.0296027736728288,0.36375032957801745,0.3745183482579324,1.1427553631431657,1.176584091521704
10000059,20000,9980059,10020059,2452,0.0002451947785100921,0.00024816708330099857,0.000675187946872817,0.0038103728217909875,0.25750800535476753,1.0300320214190701,0.36315040818742383,0.3740565490244526,1.1408706545097453,1.1751333064423706
10000059,50000,9950059,10050059,6189,0.0006188836730632117,0.0006204224720827156,0.001687982828130377,0.0033021823417846074,0.25651936055936325,1.026077442237453,0.36664097688048886,0.37620203577697314,1.1518365994727289,1.1818735518624632
10000059,100000,9900059,10100059,12377,0.00123769378394908,0.0012408789735589565,0.003376058239999266,0.002763914476337002,0.25546803024319303,1.0218721209727721,0.36660913288905495,0.37462765219332744,1.1517365586231791,1.1769274799621496
10000059,200000,9800059,10200059,24704,0.0024707373679388207,0.002482030246009348,0.006752857323332782,0.0031256989637304076,0.2561751333828684,1.0247005335314736,0.3658802858757012,0.37491772414547914,1.1494468182004363,1.1778387678760418
10000059,500000,9500059,10500059,62032,0.006208575100438056,0.006209847997332041,0.01689512752432798,0.00318644359681102,0.25629366671225223,1.025174666849009,0.36747725588327623,0.3767283733747257,1.1544638474442372,1.183527090192871
10000059,1000000,9000059,11000059,124028,0.012445951654538205,0.012453990269503112,0.033883559449505815,0.003136113016292697,0.2561954586176201,1.0247818344704804,0.3673153546068705,0.37641810292320377,1.153955219583674,1.1825523468217436
10000101,1000,9999101,10001101,113,1.129981243081727e-05,1.2408280714915065e-05,3.375919750792898e-05,0.004304846938775511,0.25846633618089515,1.0338653447235806,0.3347180402663096,0.3460533820851295,1.0515477363246106,1.0871587629085444
10000101,2000,9998101,10002101,244,2.4399710136228936e-05,2.4816561702500906e-05,6.751839575771307e-05,0.005087935443445274,0.2599767978944376,1.0399071915777505,0.36137870075862394,0.3758003098019169,1.135304671467117,1.1806114924904705
10000101,5000,9995101,10005101,610,6.099932274670171e-05,6.204140901910904e-05,0.00016879600235258254,0.005281849164556825,0.2603494750610357,1.0413979002441427,0.3613789538645933,0.37633928374701237,1.1353054666229712,1.1823047290768587
10000101,10000,9990101,10010101,1233,0.0001232990808225469,0.00012408285206522152,0.0003375920972824009,0.0037856826614943496,0.2574600603229447,1.0298402412917789,0.36523094531862027,0.3761295248541524,1.147406854676633,1.1816457520800248
10000101,20000,9980101,10020101,2451,0.00024509337891709393,0.00024816597634114146,0.0006751849351681894,0.003753727613494377,0.2573979945793952,1.0295919783175809,0.3630018475694231,0.3737437903719393,1.1404039375636215,1.174150746157288
10000101,50000,9950101,10050101,6188,0.0006187801712437971,0.0006204197046213444,0.0016879752987008635,0.0032941179136773513,0.25650364113142204,1.0260145645256882,0.3665812951884049,0.376117747945994,1.1516491039073242,1.1816087538318722
10000101,100000,9900101,10100101,12378,0.0012377907927355785,0.001240873438197898,0.003376043179947713,0.0027636502447230134,0.2554675130906531,1.0218700523626123,0.3666395027431933,0.3746579278663891,1.151831968333831,1.1770225937942225
10000101,200000,9800101,10200101,24709,0.002471227560047658,0.002482019171777594,0.00675282719368101,0.003124889514122654,0.25617355350254767,1.0246942140101907,0.3659545090032988,0.3749914679666205,1.1496799970328233,1.1780704409227871
10000101,500000,9500101,10500101,62032,0.006208565075554287,0.006209820250191456,0.016895052032709048,0.0031868718884955093,0.2562945022595988,1.0251780090383953,0.3674783045079957,0.3767306765803122,1.1544671417959522,1.1835343259266211
10000101,1000000,9000101,11000101,124029,0.012446002159053358,0.012453934331095429,0.03388340725793338,0.003135978947943417,0.25619519696501614,1.0247807878600645,0.367318494988112,0.37642093668949056,1.1539650853823118,1.1825612493610922
10000137,1000,9999137,10001137,115,1.1499790173294736e-05,1.2408233274197045e-05,3.3759068436012696e-05,0.003674207448445675,0.2572434789230733,1.0289739156922932,0.34064299478795046,0.3505127562001068,1.0701615299226515,1.1011682998677657
10000137,2000,9998137,10002137,244,2.4399589979211787e-05,2.4816466820620775e-05,6.751813761267227e-05,0.005257286321529577,0.26030229795668264,1.0412091918267306,0.3613783028078118,0.37627041061023725,1.1353034212677693,1.1820883577363364
10000137,5000,9995137,10005137,607,6.0699076047354174e-05,6.204117181640711e-05,0.00016879535699541764,0.005516207561350194,0.2607991709368536,1.0431966837474145,0.3596015739283753,0.3751351693924318,1.1297216628727107,1.1785218922664265
10000137,10000,9990137,10010137,1231,0.00012309868335207835,0.0001240823776589295,0.0003375908065656546,0.003707945006279331,0.25730904571405827,1.029236182856233,0.3646387311442918,0.3752993757644911,1.1455463589772108,1.1790377617985606
10000137,20000,9980137,10020137,2453,0.00024529177732909857,0.00024816502752589287,0.0006751823537274474,0.0037804142970814516,0.25744982869887767,1.0297993147955107,0.3632970796332692,0.3741230836735507,1.1413314364465046,1.1753423312071862
10000137,50000,9950137,10050137,6190,0.0006189791735457563,0.0006204173325308204,0.001687968844956437,0.003295931418777826,0.2565071761545431,1.0260287046181724,0.3667005913025195,0.3762453326768419,1.1520238837030283,1.1820095730850142
10000137,100000,9900137,10100137,12379,0.0012378838008463514,0.0012408686936407065,0.0033760302714354864,0.0027723791508402016,0.2554845966997623,1.0219383867990492,0.36666845416643845,0.37471256854095125,1.1519229219124087,1.1771942525360142
10000137,200000,9800137,10200137,24707,0.0024710194793573104,0.0024820096796553948,0.006752801368473194,0.0031262191252231565,0.25617614862672744,1.0247045945069098,0.3659250945679759,0.37496512564918033,1.1495875888589033,1.1779876840918386
10000137,500000,9500137,10500137,62033,0.00620864026273792,0.0062097964671199435,0.01689498732612907,0.0031876181755874757,0.25629595817255385,1.0251838326902154,0.367484162189095,0.3767388218459692,1.1544855442438609,1.1835599150333707
10000137,1000000,9000137,11000137,124029,0.01244596175619873,0.01245388638427869,0.033883276809074804,0.003136160317638178,0.25619555093256047,1.0247822037302419,0.3673187167324202,0.37642168400441406,1.1539657820126017,1.1825635971201658
10000233,1000,9999233,10001233,116,1.1599656289672938e-05,1.2408106768280192e-05,3.3758724251485354e-05,0.0048724007561436675,0.25956194011477046,1.0382477604590818,0.34360469913677394,0.3567468093619722,1.07946599854702,1.1207531554831702
10000233,2000,9998233,10002233,241,2.4099334526462603e-05,2.481621380834298e-05,6.751744924240937e-05,0.004965277777777778,0.2597407895918117,1.0389631583672467,0.3569349078923026,0.370842219235309,1.1213440844442073,1.1650351915905823
10000233,5000,9995233,10005233,611,6.109856814558515e-05,6.204053928415831e-05,0.00016879363606553153,0.005126981994087611,0.26005188327348755,1.0402075330939502,0.36197198881280435,0.37652598953207816,1.1371685408595928,1.182891282599604
10000233,10000,9990233,10010233,1231,0.0001230974837944654,0.00012408111259309962,0.0003375873647022577,0.003746281975014872,0.25738353089313015,1.0295341235725206,0.36463889548423656,0.3754081856828154,1.145546875266374,1.179379598238606
10000233,20000,9980233,10020233,2448,0.000244789185103368,0.0002481624973866836,0.0006751754699801137,0.0037888545710125354,0.25746622025231297,1.0298648810092519,0.3625563960589058,0.3733840996863482,1.1390045103706499,1.1730207445418706
10000233,50000,9950233,10050233,6189,0.0006188706719535567,0.000620411007041799,0.0016879516352044887,0.0032972726159729462,0.256509790487562,1.026039161950248,0.3666400500145746,0.3761870496543512,1.1518336876375819,1.1818264715697284
10000233,100000,9900233,10100233,12382,0.0012381688236081404,0.0012408560416607983,0.003375995849205816,0.002776141735813924,0.2554919602175652,1.0219678408702608,0.36675661905787377,0.374813470103452,1.1521999000876466,1.1775112441435023
10000233,200000,9800233,10200233,24706,0.0024708894309771624,0.0024819843676753273,0.006752732502193163,0.003125903983131287,0.2561755335373214,1.0247021341492857,0.36590956774530353,0.3749483149742552,1.1495388099068622,1.177934871798992
10000233,500000,9500233,10500233,62030,0.006208284381178376,0.006209733046462329,0.016894814777606376,0.00318694835873528,0.2562946514438709,1.0251786057754837,0.3674668508001218,0.37671915377197657,1.1544311589114393,1.183498125956605
10000233,1000000,9000233,11000233,124026,0.01244554762587655,0.012453758527862124,0.03388292895024418,0.0031358463664232705,0.2561949382138985,1.024779752855594,0.36731026541868245,0.37641212301708005,1.15393923142745,1.1825335603925962
10000359,1000,9999359,10001359,115,1.149950936744741e-05,1.2407940731762324e-05,3.375827251608953e-05,0.004751461988304093,0.25932886840516634,1.0373154736206653,0.3406427080048788,0.35335395198950686,1.0701606289670602,1.1100941796871553
10000359,2000,9998359,10002359,240,2.3998996972273735e-05,2.481588173663951e-05,6.751654577524242e-05,0.004673193746608078,0.2591779190953737,1.0367116763814948,0.3554535661845708,0.368502862474987,1.116690312217741,1.157685885578229
10000359,5000,9995359,10005359,613,6.129776250306078e-05,6.20397091046776e-05,0.00016879137739701005,0.004958028963219275,0.25972683527741075,1.038907341109643,0.36315695415461785,0.37728642564625053,1.1408912192721927,1.1852802631094124
10000359,10000,9990359,10010359,1238,0.00012379576332161284,0.00012407945223280592,0.00033758284736159003,0.0038109761078678243,0.2575091767449615,1.030036706979846,0.36671224349563397,0.37772707169943426,1.152060490147315,1.1866645935129276
10000359,20000,9980359,10020359,2443,0.0002442849952627004,0.000248159176654994,0.0006751664352685725,0.0036703696101730503,0.25723601927057776,1.028944077082311,0.36181448381024295,0.3722868701191432,1.1366737243006424,1.1695736961942378
10000359,50000,9950359,10050359,6188,0.0006187641714500052,0.0006204027050276117,0.0016879290479224066,0.00330785914061583,0.25653042537020015,1.0261217014808006,0.3665818608973009,0.3761576028359366,1.1516508811342359,1.1817339616613254
10000359,100000,9900359,10100359,12383,0.001238257829968079,0.001240839436318364,0.00337595067106649,0.0027787675045092444,0.2554970988181847,1.0219883952727389,0.3667878919501224,0.3748529690995763,1.1522981467761912,1.1776353338995507
10000359,200000,9800359,10200359,24709,0.002471159530874162,0.0024819511464633237,0.006752642117273346,0.003130973199051698,0.2561854273744931,1.0247417094979725,0.3659544646313928,0.3750088036847888,1.1496798576343694,1.1781249026876295
10000359,500000,9500359,10500359,62024,0.006207622749966118,0.006209649808763373,0.016894588312878208,0.0031874437205648334,0.25629561783332316,1.0251824713332927,0.3674326142196815,0.3766854754941854,1.1543236015218439,1.1833923225265108
10000359,1000000,9000359,11000359,124027,0.012445497126624017,0.012453590720203245,0.0338824723961067,0.0031344084914923724,0.25619213198592256,1.0247685279436902,0.36731372436841647,0.3764115446145365,1.1539500980385233,1.1825317432874145
10000719,1000,9999719,10001719,121,1.2099078698442518e-05,1.240746636765877e-05,3.3756981914125374e-05,0.010694444444444446,0.27054471801246543,1.0821788720498617,0.3584170744061614,0.3878713853042711,1.1260004478755428,1.2185338946095943
10000719,2000,9998719,10002719,241,2.4098092122566694e-05,2.4814933007100137e-05,6.75139645676894e-05,0.006041666666666667,0.26180463454008346,1.0472185381603338,0.3569349286014153,0.3737888741483372,1.1213441495038037,1.174292381018016
10000719,5000,9995719,10005719,613,6.129516836429847e-05,6.203733728193939e-05,0.00016878492438114807,0.00480317399290871,0.2594285527711025,1.03771421108441,0.3631554689439115,0.37685159095612003,1.1408865533451487,1.1839141896413725
10000719,10000,9990719,10010719,1244,0.00012439173454854326,0.0001240747085828886,0.0003375699413177838,0.0035153820364273235,0.25693458707699773,1.027738348307991,0.36849173852076644,0.37871309071247256,1.1576509386453708,1.1897622636005887
10000719,20000,9980719,10020719,2447,0.00024467817636181655,0.0002481496893254054,0.0006751406231000084,0.003652357813480918,0.25720100663387946,1.0288040265355178,0.36241068599655635,0.3728495730127564,1.1385467487092187,1.1713414794709667
10000719,50000,9950719,10050719,6181,0.0006180406976334296,0.0006203789861793929,0.001687864516074677,0.0032587897068526717,0.25643476696199496,1.0257390678479799,0.36616724372567194,0.3755920472556348,1.1503483228737943,1.1799572164050527
10000719,100000,9900719,10100719,12381,0.0012380018165307725,0.0012407919948631552,0.0033758215971445463,0.0027924227674528466,0.25552382035233595,1.0220952814093438,0.3667260786464373,0.3748289945542755,1.1521039545554401,1.1775600156441604
10000719,200000,9800719,10200719,24708,0.002470969469167036,0.002481856233480517,0.006752383887611539,0.0031209478287046013,0.2561658599983702,1.0246634399934809,0.36594031238367136,0.37496565931934167,1.149635397036896,1.177989360666097
10000719,500000,9500719,10500719,62032,0.006208214210342872,0.006209411998733927,0.01689394130335788,0.0031920586879124004,0.2563046208867729,1.0252184835470917,0.3674816964771218,0.3767490275935874,1.15447779798124,1.1835919773351125
10000719,1000000,9000719,11000719,124031,0.012445517347396127,0.01245311129406268,0.033881168021863264,0.0031370003670635224,0.25619719039650596,1.0247887615860238,0.36732846221137144,0.3764340798848899,1.1539963983376804,1.1826025399272035
10001439,1000,10000439,10002439,132,1.319810647672573e-05,1.2406517744256718e-05,3.3754400995340064e-05,0.0072511800011654335,0.2641044869008579,1.0564179476034317,0.39100401984759803,0.41306366415209095,1.2283753562772917,1.2976777727650906
10001439,2000,9999439,10003439,241,2.409641611552868e-05,2.481303576118421e-05,6.750880273253525e-05,0.00548611111111111,0.26074146411936694,1.0429658564774678,0.3569373939424885,0.37227351478206283,1.1213518946012078,1.16953173916538
10001439,5000,9996439,10006439,626,6.259087349967055e-05,6.203259416492912e-05,0.00016877201978722153,0.005383519999999999,0.2605446602791928,1.0421786411167713,0.37086048729274956,0.38650287869066136,1.1650925823856328,1.2142346042858887
10001439,10000,9991439,10011439,1234,0.0001233822234960845,0.00012406522234220674,0.0003375441321118072,0.0035012668643922304,0.2569071171929502,1.0276284687718007,0.36552916125117446,0.37562817226798506,1.1483437276595285,1.180070706478463
10001439,20000,9981439,10021439,2461,0.00024606002728371195,0.0002481307167836455,0.0006750890045237355,0.0038916980633220966,0.25766586514965867,1.0306634605986347,0.36448531324740413,0.3756616942889469,1.1450643824394193,1.1801760190132504
10001439,50000,9951439,10051439,6181,0.0006179917222809547,0.0006203315537729459,0.0016877354667716906,0.0032503587101098646,0.25641832756281263,1.0256733102512505,0.3661662235865983,0.3755669226482658,1.1503451180123747,1.179878285123118
10001439,100000,9901439,10101439,12372,0.001237014842278698,0.0012406971225362717,0.0033755634780952694,0.002773992978159454,0.25548775504544136,1.0219510201817654,0.36646173307240215,0.3745059419709192,1.1512734884420424,1.176545116021565
10001439,200000,9801439,10201439,24710,0.0024709935037316557,0.002481666428695739,0.006751867485914599,0.0031246635070350734,0.25617311238113,1.02469244952452,0.36597186021297307,0.3750086018986766,1.1497345074656669,1.1781242687578617
10001439,500000,9501439,10501439,62015,0.006206024035336464,0.006208936431856493,0.016892647429007968,0.0031893981086787986,0.25629943056643495,1.0251977222657398,0.36738019078522355,0.3766373347985641,1.1541589084452748,1.1832410840708083
10001439,1000000,9001439,11001439,124039,0.012445335638162415,0.012452152549827566,0.033878559567337097,0.003136043128974133,0.25619532222305336,1.0247812888922134,0.3673513808468167,0.37645482154053517,1.1540683993544254,1.1826677017602019
10002879,1000,10001879,10003879,125,1.249640494651108e-05,1.2404620921113718e-05,3.374924031042381e-05,0.013202393340270553,0.275140679181161,1.100562716724644,0.37027218484237806,0.4075077616776971,1.1632443757294568,1.2802233903674733
10002879,2000,10000879,10004879,245,2.4492982876677706e-05,2.480924211489821e-05,6.749848136270273e-05,0.006466675624832034,0.26261507120657035,1.0504602848262814,0.3628671694858554,0.38117755021221816,1.1399808338856856,1.197504591460059
10002879,5000,9997879,10007879,616,6.15820707928396e-05,6.202311004699368e-05,0.00016874621635659909,0.004013318791724502,0.25790176190116365,1.0316070476046546,0.3649389723956992,0.3764736158690038,1.146489594686937,1.1827267458844481
10002879,10000,9992879,10012879,1246,0.00012456431960212143,0.0001240462540916809,0.0003374925252106906,0.003986024418960984,0.25784884025133986,1.0313953610053594,0.3690876398650848,0.38067527956126523,1.1595230179309457,1.1959266616729116
10002879,20000,9982879,10022879,2471,0.00024702348165198985,0.0002480927801622457,0.0006749857903940711,0.003440762838269764,0.2567893355228557,1.0271573420914228,0.36596841765775884,0.3759071471707473,1.1497236923594962,1.180947131983517
10002879,50000,9952879,10052879,6192,0.0006190049995055567,0.00062023671011735,0.0016874774257283583,0.0032786307785064583,0.2564734504359203,1.0258938017436812,0.36682268459880485,0.3763211184688912,1.152407451105691,1.1822476611725627
10002879,100000,9902879,10102879,12374,0.0012370509042346801,0.0012405074202050947,0.0033750473551437455,0.0027823129941121536,0.2555040371385786,1.0220161485543144,0.3665284584375834,0.3745980034279291,1.1514831123591038,1.1768343356185862
10002879,200000,9802879,10202879,24712,0.0024708134878731625,0.002481286903822877,0.006750834912954937,0.0031352879782372773,0.2561938484394918,1.0247753937579671,0.36600117166717266,0.3750689948111042,1.1498265921148463,1.178313998687873
