R,mean_H_iso,var_H_iso,mean_alpha_direct,std_alpha_direct,mean_alpha_matrix,std_alpha_matrix,mean_T_matrix,std_T_matrix,mean_matrix_factor
1000,0.008127957067890743,1.997513678279974e-05,0.35163127958389173,0.018385137356394503,0.37384627635956236,0.026324014711001292,1.1744727153831005,0.0826993312290713,1.0625641628359321
2000,0.0054599823714911126,4.3712941201822707e-07,0.35888880272353413,0.0030040099019287207,0.374238581707492,0.004235835138047852,1.1757051789821205,0.013307268551508626,1.0427543218218331
5000,0.004842057756419743,5.990555251747436e-07,0.36413244701634473,0.0034976957329989435,0.3779625412601857,0.003565789568596327,1.1874043429551284,0.011202258312949317,1.0379983710138148
10000,0.0037817174494194803,3.646257825482084e-07,0.36602923784577623,0.0017152177248311849,0.3769382149543588,0.0026825037495435853,1.1841863269578639,0.008427334072793221,1.0297998655210254
20000,0.003712660818494977,3.4155002228628735e-08,0.36424497427707525,0.0022439358523073144,0.37490636395201216,0.002229274184220098,1.1778030787757028,0.007003471399983241,1.0292719341629528
50000,0.003266978044420538,1.9073512159478768e-09,0.366704861428258,0.0004208854625584887,0.376166828193176,0.0003742416627070353,1.1817629439758555,0.0011757148582276055,1.025802877883072
100000,0.0028121280157606923,8.420456092622375e-09,0.3666972827142978,0.00022121131466840585,0.3748561483561298,0.00046627804918961596,1.177645321828583,0.0014648556938642685,1.0222492772461762
200000,0.0031122441641051554,1.9665684932325807e-09,0.365968380114206,0.00016314828956281324,0.37496948547846015,8.10576253050793e-05,1.1780013808994751,0.00025465004017587823,1.0245954316868828
500000,0.0031831097049018057,1.7297844154113895e-10,0.36743329980476114,7.311188272699317e-05,0.37667375567797345,0.00010979615552772318,1.1833555036379981,0.00034493479559831144,1.0251486457073131
1000000,0.0031335263077520137,5.661679235615984e-11,0.3673701140250357,0.00010149712585693617,0.37646679533636906,8.415455912310294e-05,1.1827053185492293,0.00026437934470721614,1.0247616395133843
