k_active,label_from,label_to,t_from,t_to,Delta_t_active,u_e,u_a,u_b,u_c,u_norm,schwung_label
0,A,E,29.418107046521758,49.02245057290931,19.60434352638755,0.0,-1.0,0.0,0.0,1.0,-A
1,E,C,49.02245057290931,58.83402224951716,9.811571676607855,0.0,0.0,0.0,1.0,1.0,+C
2,C,B,58.83402224951716,127.4686202705673,68.63459802105014,0.0,1.0,0.0,0.0,1.0,+A
3,B,A,127.4686202705673,137.27220014658303,9.803579876015732,0.0,0.0,0.0,1.0,1.0,+C
4,A,E,137.27220014658303,156.88075379326983,19.6085536466868,0.0,-1.0,0.0,0.0,1.0,-A
5,E,C,156.88075379326983,166.6942602938266,9.81350650055677,0.0,0.0,0.0,1.0,1.0,+C
6,C,B,166.6942602938266,235.3560184776959,68.6617581838693,0.0,1.0,0.0,0.0,1.0,+A
7,B,A,235.3560184776959,245.15745247578351,9.801433998087617,0.0,0.0,0.0,1.0,1.0,+C
8,A,E,245.15745247578351,264.7700108077779,19.612558331994393,0.0,-1.0,0.0,0.0,1.0,-A
9,E,C,264.7700108077779,274.57083486677465,9.800824058996739,0.0,0.0,0.0,1.0,1.0,+C
10,C,B,274.57083486677465,343.191959173594,68.62112430681935,0.0,1.0,0.0,0.0,1.0,+A
11,B,A,343.191959173594,352.9971625282126,9.805203354618584,0.0,0.0,0.0,1.0,1.0,+C
12,A,E,352.9971625282126,372.6111923726523,19.6140298444397,0.0,-1.0,0.0,0.0,1.0,-A
13,E,C,372.6111923726523,431.43576798681823,58.82457561416595,0.0,0.0,0.0,1.0,1.0,+C
14,C,B,431.43576798681823,451.04852662466817,19.612758637849936,0.0,1.0,0.0,0.0,1.0,+A
15,B,A,451.04852662466817,460.8626836634688,9.814157038800602,0.0,0.0,0.0,1.0,1.0,+C
16,A,C,460.8626836634688,539.3170861962417,78.45440253277292,0.0,0.0,1.0,0.0,1.0,+B
17,C,B,539.3170861962417,558.93554386873,19.618457672488262,0.0,1.0,0.0,0.0,1.0,+A
18,B,A,558.93554386873,568.7474765177099,9.811932648979905,0.0,0.0,0.0,1.0,1.0,+C
19,A,E,568.7474765177099,637.3985830112213,68.6511064935114,0.0,-1.0,0.0,0.0,1.0,-A
20,E,C,637.3985830112213,647.2072089756646,9.808625964443308,0.0,0.0,0.0,1.0,1.0,+C
21,C,B,647.2072089756646,666.8181728278169,19.61096385215228,0.0,1.0,0.0,0.0,1.0,+A
22,B,A,666.8181728278169,676.6198007625032,9.801627934686394,0.0,0.0,0.0,1.0,1.0,+C
23,A,E,676.6198007625032,745.2563424841271,68.63654172162387,0.0,-1.0,0.0,0.0,1.0,-A
24,E,C,745.2563424841271,755.0607442283451,9.804401744218012,0.0,0.0,0.0,1.0,1.0,+C
25,C,B,755.0607442283451,774.6690005365048,19.60825630815964,0.0,1.0,0.0,0.0,1.0,+A
26,B,E,774.6690005365048,853.1130162868053,78.44401575030054,0.0,0.0,-1.0,0.0,1.0,-B
27,E,C,853.1130162868053,862.9145945959548,9.801578309149477,0.0,0.0,0.0,1.0,1.0,+C
28,C,B,862.9145945959548,882.5340695274232,19.619474931468403,0.0,1.0,0.0,0.0,1.0,+A
29,B,A,882.5340695274232,941.3756867710972,58.84161724367402,0.0,0.0,0.0,1.0,1.0,+C
30,A,E,941.3756867710972,960.9787631580147,19.60307638691745,0.0,-1.0,0.0,0.0,1.0,-A
31,E,C,960.9787631580147,970.7858962517192,9.807133093704579,0.0,0.0,0.0,1.0,1.0,+C
32,C,B,970.7858962517192,1039.432161541947,68.64626529022769,0.0,1.0,0.0,0.0,1.0,+A
33,B,A,1039.432161541947,1049.2385972844368,9.806435742489839,0.0,0.0,0.0,1.0,1.0,+C
34,A,E,1049.2385972844368,1068.845205631123,19.606608346686244,0.0,-1.0,0.0,0.0,1.0,-A
35,E,C,1068.845205631123,1078.6454130200266,9.800207388903573,0.0,0.0,0.0,1.0,1.0,+C
36,C,B,1078.6454130200266,1147.2878284312278,68.64241541120123,0.0,1.0,0.0,0.0,1.0,+A
37,B,A,1147.2878284312278,1157.0924775383712,9.804649107143405,0.0,0.0,0.0,1.0,1.0,+C
38,A,E,1157.0924775383712,1176.7038669784451,19.611389440073935,0.0,-1.0,0.0,0.0,1.0,-A
39,E,C,1176.7038669784451,1186.5087138944568,9.804846916011684,0.0,0.0,0.0,1.0,1.0,+C
40,C,B,1186.5087138944568,1255.1597328003759,68.65101890591905,0.0,1.0,0.0,0.0,1.0,+A
41,B,A,1255.1597328003759,1264.9671971966231,9.80746439624727,0.0,0.0,0.0,1.0,1.0,+C
42,A,E,1264.9671971966231,1284.5733679214125,19.60617072478931,0.0,-1.0,0.0,0.0,1.0,-A
43,E,C,1284.5733679214125,1343.4047362890537,58.83136836764129,0.0,0.0,0.0,1.0,1.0,+C
44,C,B,1343.4047362890537,1363.02795627775,19.62321998869629,0.0,1.0,0.0,0.0,1.0,+A
45,B,A,1363.02795627775,1372.8325302771284,9.804573999378363,0.0,0.0,0.0,1.0,1.0,+C
46,A,E,1372.8325302771284,1441.47915326661,68.64662298948156,0.0,-1.0,0.0,0.0,1.0,-A
47,E,C,1441.47915326661,1451.2903519589534,9.811198692343396,0.0,0.0,0.0,1.0,1.0,+C
48,C,B,1451.2903519589534,1470.9016341829613,19.611282224007937,0.0,1.0,0.0,0.0,1.0,+A
49,B,A,1470.9016341829613,1480.7083290692333,9.806694886271998,0.0,0.0,0.0,1.0,1.0,+C
50,A,E,1480.7083290692333,1549.3356170280424,68.62728795880912,0.0,-1.0,0.0,0.0,1.0,-A
51,E,C,1549.3356170280424,1559.14623199703,9.810614968987693,0.0,0.0,0.0,1.0,1.0,+C
52,C,B,1559.14623199703,1578.7574217569163,19.6111897598862,0.0,1.0,0.0,0.0,1.0,+A
53,B,A,1578.7574217569163,1588.5625541793033,9.805132422387032,0.0,0.0,0.0,1.0,1.0,+C
54,A,E,1588.5625541793033,1657.207104524429,68.64455034512571,0.0,-1.0,0.0,0.0,1.0,-A
55,E,C,1657.207104524429,1667.0119562886891,9.804851764260093,0.0,0.0,0.0,1.0,1.0,+C
56,C,B,1667.0119562886891,1686.6196523254773,19.607696036788184,0.0,1.0,0.0,0.0,1.0,+A
57,B,A,1686.6196523254773,1745.45765953093,58.83800720545264,0.0,0.0,0.0,1.0,1.0,+C
58,A,E,1745.45765953093,1765.0683999258515,19.61074039492155,0.0,-1.0,0.0,0.0,1.0,-A
59,E,C,1765.0683999258515,1774.8745352745982,9.806135348746693,0.0,0.0,0.0,1.0,1.0,+C
60,C,A,1774.8745352745982,1853.3123154219043,78.43778014730606,0.0,0.0,-1.0,0.0,1.0,-B
61,A,E,1853.3123154219043,1872.9259185461424,19.613603124238125,0.0,-1.0,0.0,0.0,1.0,-A
62,E,C,1872.9259185461424,1882.7316232080564,9.805704661913978,0.0,0.0,0.0,1.0,1.0,+C
63,C,B,1882.7316232080564,1951.359440102879,68.62781689482267,0.0,1.0,0.0,0.0,1.0,+A
64,B,A,1951.359440102879,1961.1644888422263,9.805048739347285,0.0,0.0,0.0,1.0,1.0,+C
65,A,E,1961.1644888422263,1980.7764744006715,19.611985558445213,0.0,-1.0,0.0,0.0,1.0,-A
66,E,C,1980.7764744006715,1990.5899626589462,9.813488258274674,0.0,0.0,0.0,1.0,1.0,+C
67,C,B,1990.5899626589462,2059.229430353611,68.63946769466475,0.0,1.0,0.0,0.0,1.0,+A
68,B,A,2059.229430353611,2069.03726181001,9.807831456399072,0.0,0.0,0.0,1.0,1.0,+C
69,A,E,2069.03726181001,2088.6499438693795,19.61268205936949,0.0,-1.0,0.0,0.0,1.0,-A
70,E,C,2088.6499438693795,2147.484908791822,58.834964922442396,0.0,0.0,0.0,1.0,1.0,+C
71,C,B,2147.484908791822,2167.0921585009987,19.607249709176813,0.0,1.0,0.0,0.0,1.0,+A
72,B,A,2167.0921585009987,2176.8960418290567,9.803883328057964,0.0,0.0,0.0,1.0,1.0,+C
73,A,E,2176.8960418290567,2196.5055428001697,19.609500971112993,0.0,-1.0,0.0,0.0,1.0,-A
74,E,C,2196.5055428001697,2255.3270844125395,58.821541612369856,0.0,0.0,0.0,1.0,1.0,+C
75,C,B,2255.3270844125395,2274.935748886259,19.608664473719273,0.0,1.0,0.0,0.0,1.0,+A
76,B,A,2274.935748886259,2284.7406968896657,9.804948003406935,0.0,0.0,0.0,1.0,1.0,+C
77,A,E,2284.7406968896657,2353.3855148602242,68.6448179705585,0.0,-1.0,0.0,0.0,1.0,-A
78,E,C,2353.3855148602242,2363.1923390546444,9.806824194420187,0.0,0.0,0.0,1.0,1.0,+C
79,C,B,2363.1923390546444,2382.8058055917654,19.613466537120985,0.0,1.0,0.0,0.0,1.0,+A
80,B,A,2382.8058055917654,2392.608215118222,9.802409526456358,0.0,0.0,0.0,1.0,1.0,+C
81,A,E,2392.608215118222,2461.246633185005,68.63841806678329,0.0,-1.0,0.0,0.0,1.0,-A
82,E,C,2461.246633185005,2471.0553562309797,9.808723045974602,0.0,0.0,0.0,1.0,1.0,+C
83,C,B,2471.0553562309797,2490.6586892113637,19.60333298038404,0.0,1.0,0.0,0.0,1.0,+A
84,B,E,2490.6586892113637,2569.119786935594,78.46109772423051,0.0,0.0,-1.0,0.0,1.0,-B
85,E,C,2569.119786935594,2578.9251723891252,9.805385453531017,0.0,0.0,0.0,1.0,1.0,+C
86,C,B,2578.9251723891252,2598.538209608653,19.61303721952754,0.0,1.0,0.0,0.0,1.0,+A
87,B,A,2598.538209608653,2657.376528428724,58.838318820071436,0.0,0.0,0.0,1.0,1.0,+C
88,A,E,2657.376528428724,2676.988432603495,19.611904174770643,0.0,-1.0,0.0,0.0,1.0,-A
89,E,C,2676.988432603495,2686.7921178272545,9.803685223759658,0.0,0.0,0.0,1.0,1.0,+C
90,C,B,2686.7921178272545,2755.415578879113,68.62346105185861,0.0,1.0,0.0,0.0,1.0,+A
91,B,A,2755.415578879113,2765.2172555733478,9.80167669423463,0.0,0.0,0.0,1.0,1.0,+C
92,A,E,2765.2172555733478,2784.821967573982,19.60471200063421,0.0,-1.0,0.0,0.0,1.0,-A
93,E,C,2784.821967573982,2794.6265384025187,9.804570828536725,0.0,0.0,0.0,1.0,1.0,+C
94,C,B,2794.6265384025187,2863.258338683099,68.63180028058014,0.0,1.0,0.0,0.0,1.0,+A
95,B,A,2863.258338683099,2873.067483150877,9.80914446777797,0.0,0.0,0.0,1.0,1.0,+C
96,A,E,2873.067483150877,2892.6693267846144,19.601843633737644,0.0,-1.0,0.0,0.0,1.0,-A
97,E,B,2892.6693267846144,2971.1271218462966,78.45779506168219,0.0,0.0,1.0,0.0,1.0,+B
98,B,A,2971.1271218462966,2980.935063503227,9.807941656930325,0.0,0.0,0.0,1.0,1.0,+C
99,A,E,2980.935063503227,3000.550773553761,19.615710050533835,0.0,-1.0,0.0,0.0,1.0,-A
100,E,C,3000.550773553761,3059.3930209615187,58.842247407757895,0.0,0.0,0.0,1.0,1.0,+C
101,C,B,3059.3930209615187,3079.0033666869513,19.61034572543258,0.0,1.0,0.0,0.0,1.0,+A
102,B,A,3079.0033666869513,3088.8139737460933,9.810607059142058,0.0,0.0,0.0,1.0,1.0,+C
103,A,E,3088.8139737460933,3157.445774787851,68.63180104175763,0.0,-1.0,0.0,0.0,1.0,-A
104,E,C,3157.445774787851,3167.2502728944964,9.804498106645497,0.0,0.0,0.0,1.0,1.0,+C
105,C,B,3167.2502728944964,3186.8589027022463,19.60862980774982,0.0,1.0,0.0,0.0,1.0,+A
106,B,A,3186.8589027022463,3196.6632230617206,9.804320359474332,0.0,0.0,0.0,1.0,1.0,+C
107,A,E,3196.6632230617206,3265.3016446179886,68.63842155626799,0.0,-1.0,0.0,0.0,1.0,-A
108,E,C,3265.3016446179886,3275.107236118282,9.805591500293303,0.0,0.0,0.0,1.0,1.0,+C
109,C,B,3275.107236118282,3294.7175092982225,19.610273179940577,0.0,1.0,0.0,0.0,1.0,+A
110,B,A,3294.7175092982225,3304.523815502306,9.80630620408374,0.0,0.0,0.0,1.0,1.0,+C
111,A,E,3304.523815502306,3373.16425382278,68.640438320474,0.0,-1.0,0.0,0.0,1.0,-A
112,E,C,3373.16425382278,3382.9634501162277,9.799196293447494,0.0,0.0,0.0,1.0,1.0,+C
113,C,B,3382.9634501162277,3402.57525714695,19.611807030722503,0.0,1.0,0.0,0.0,1.0,+A
114,B,A,3402.57525714695,3461.408181029108,58.83292388215796,0.0,0.0,0.0,1.0,1.0,+C
115,A,E,3461.408181029108,3481.0122843344566,19.604103305348417,0.0,-1.0,0.0,0.0,1.0,-A
116,E,C,3481.0122843344566,3490.8167211647733,9.804436830316718,0.0,0.0,0.0,1.0,1.0,+C
117,C,B,3490.8167211647733,3559.450199047729,68.6334778829555,0.0,1.0,0.0,0.0,1.0,+A
118,B,A,3559.450199047729,3569.2583669537867,9.80816790605786,0.0,0.0,0.0,1.0,1.0,+C
119,A,E,3569.2583669537867,3588.866748995747,19.60838204196034,0.0,-1.0,0.0,0.0,1.0,-A
120,E,C,3588.866748995747,3598.678643802358,9.81189480661078,0.0,0.0,0.0,1.0,1.0,+C
121,C,B,3598.678643802358,3667.3126244742825,68.63398067192475,0.0,1.0,0.0,0.0,1.0,+A
122,B,A,3667.3126244742825,3677.1142036703145,9.80157919603198,0.0,0.0,0.0,1.0,1.0,+C
123,A,E,3677.1142036703145,3696.7265606688297,19.612356998515224,0.0,-1.0,0.0,0.0,1.0,-A
124,E,C,3696.7265606688297,3706.5336262439505,9.80706557512076,0.0,0.0,0.0,1.0,1.0,+C
125,C,B,3706.5336262439505,3775.162098497002,68.62847225305131,0.0,1.0,0.0,0.0,1.0,+A
126,B,A,3775.162098497002,3784.968289474162,9.806190977159986,0.0,0.0,0.0,1.0,1.0,+C
127,A,E,3784.968289474162,3804.5798110560518,19.611521581889974,0.0,-1.0,0.0,0.0,1.0,-A
128,E,C,3804.5798110560518,3863.4191783829374,58.83936732688562,0.0,0.0,0.0,1.0,1.0,+C
129,C,B,3863.4191783829374,3883.023185574109,19.604007191171604,0.0,1.0,0.0,0.0,1.0,+A
130,B,A,3883.023185574109,3892.827977635047,9.80479206093787,0.0,0.0,0.0,1.0,1.0,+C
131,A,E,3892.827977635047,3961.4669848729254,68.63900723787856,0.0,-1.0,0.0,0.0,1.0,-A
132,E,C,3961.4669848729254,3971.272763884378,9.805779011452614,0.0,0.0,0.0,1.0,1.0,+C
133,C,B,3971.272763884378,3990.8816806885525,19.60891680417444,0.0,1.0,0.0,0.0,1.0,+A
134,B,A,3990.8816806885525,4000.6851665091503,9.80348582059787,0.0,0.0,0.0,1.0,1.0,+C
135,A,E,4000.6851665091503,4069.3358324587653,68.6506659496149,0.0,-1.0,0.0,0.0,1.0,-A
136,E,C,4069.3358324587653,4079.1356784133495,9.79984595458427,0.0,0.0,0.0,1.0,1.0,+C
137,C,B,4079.1356784133495,4098.749494384738,19.61381597138825,0.0,1.0,0.0,0.0,1.0,+A
138,B,A,4098.749494384738,4108.5534542971645,9.803959912426762,0.0,0.0,0.0,1.0,1.0,+C
139,A,E,4108.5534542971645,4177.17632230856,68.62286801139544,0.0,-1.0,0.0,0.0,1.0,-A
140,E,C,4177.17632230856,4186.982565470662,9.806243162101964,0.0,0.0,0.0,1.0,1.0,+C
141,C,B,4186.982565470662,4206.597430279342,19.614864808680068,0.0,1.0,0.0,0.0,1.0,+A
142,B,A,4206.597430279342,4265.434165553407,58.83673527406518,0.0,0.0,0.0,1.0,1.0,+C
143,A,E,4265.434165553407,4285.050534574488,19.616369021080573,0.0,-1.0,0.0,0.0,1.0,-A
144,E,C,4285.050534574488,4294.850623369957,9.800088795469492,0.0,0.0,0.0,1.0,1.0,+C
145,C,A,4294.850623369957,4373.309948761481,78.45932539152363,0.0,0.0,-1.0,0.0,1.0,-B
146,A,E,4373.309948761481,4392.918095858784,19.608147097303117,0.0,-1.0,0.0,0.0,1.0,-A
147,E,C,4392.918095858784,4402.729591110377,9.811495251593442,0.0,0.0,0.0,1.0,1.0,+C
148,C,B,4402.729591110377,4471.358634469623,68.62904335924577,0.0,1.0,0.0,0.0,1.0,+A
149,B,A,4471.358634469623,4481.165022783041,9.80638831341821,0.0,0.0,0.0,1.0,1.0,+C
150,A,E,4481.165022783041,4500.782435647958,19.617412864916332,0.0,-1.0,0.0,0.0,1.0,-A
151,E,C,4500.782435647958,4510.591959025786,9.809523377828555,0.0,0.0,0.0,1.0,1.0,+C
152,C,B,4510.591959025786,4579.235008308084,68.6430492822974,0.0,1.0,0.0,0.0,1.0,+A
153,B,A,4579.235008308084,4589.042161170688,9.807152862604198,0.0,0.0,0.0,1.0,1.0,+C
154,A,E,4589.042161170688,4608.659219341511,19.61705817082293,0.0,-1.0,0.0,0.0,1.0,-A
155,E,B,4608.659219341511,4687.118521231498,78.45930188998682,0.0,0.0,1.0,0.0,1.0,+B
156,B,A,4687.118521231498,4696.9158218116745,9.797300580176852,0.0,0.0,0.0,1.0,1.0,+C
157,A,E,4696.9158218116745,4716.519517934217,19.603696122542715,0.0,-1.0,0.0,0.0,1.0,-A
158,E,C,4716.519517934217,4775.361444961753,58.84192702753535,0.0,0.0,0.0,1.0,1.0,+C
159,C,B,4775.361444961753,4794.98451218526,19.62306722350786,0.0,1.0,0.0,0.0,1.0,+A
160,B,A,4794.98451218526,4804.78832914159,9.803816956329683,0.0,0.0,0.0,1.0,1.0,+C
161,A,E,4804.78832914159,4873.419268897393,68.6309397558025,0.0,-1.0,0.0,0.0,1.0,-A
162,E,C,4873.419268897393,4883.224984185841,9.805715288448482,0.0,0.0,0.0,1.0,1.0,+C
163,C,B,4883.224984185841,4902.837194200399,19.612210014557604,0.0,1.0,0.0,0.0,1.0,+A
164,B,A,4902.837194200399,4912.645627542532,9.808433342132957,0.0,0.0,0.0,1.0,1.0,+C
165,A,E,4912.645627542532,4981.292598581563,68.64697103903109,0.0,-1.0,0.0,0.0,1.0,-A
166,E,C,4981.292598581563,4991.09247069123,9.799872109667376,0.0,0.0,0.0,1.0,1.0,+C
167,C,B,4991.09247069123,5010.704708718386,19.61223802715631,0.0,1.0,0.0,0.0,1.0,+A
168,B,A,5010.704708718386,5020.510054559036,9.805345840649352,0.0,0.0,0.0,1.0,1.0,+C
169,A,E,5020.510054559036,5089.157727079205,68.64767252016918,0.0,-1.0,0.0,0.0,1.0,-A
170,E,C,5089.157727079205,5098.964386894977,9.806659815772036,0.0,0.0,0.0,1.0,1.0,+C
171,C,B,5098.964386894977,5118.566066237415,19.60167934243782,0.0,1.0,0.0,0.0,1.0,+A
172,B,A,5118.566066237415,5177.395671469843,58.82960523242855,0.0,0.0,0.0,1.0,1.0,+C
173,A,E,5177.395671469843,5197.011730386968,19.616058917124974,0.0,-1.0,0.0,0.0,1.0,-A
174,E,C,5197.011730386968,5206.819164854222,9.807434467254097,0.0,0.0,0.0,1.0,1.0,+C
175,C,B,5206.819164854222,5275.472220974473,68.65305612025077,0.0,1.0,0.0,0.0,1.0,+A
176,B,A,5275.472220974473,5285.278023663893,9.805802689419579,0.0,0.0,0.0,1.0,1.0,+C
177,A,E,5285.278023663893,5304.8879564480885,19.609932784195735,0.0,-1.0,0.0,0.0,1.0,-A
178,E,C,5304.8879564480885,5314.6887037327915,9.800747284702993,0.0,0.0,0.0,1.0,1.0,+C
179,C,B,5314.6887037327915,5383.320367502107,68.63166376931531,0.0,1.0,0.0,0.0,1.0,+A
180,B,A,5383.320367502107,5393.129275957648,9.808908455541314,0.0,0.0,0.0,1.0,1.0,+C
181,A,E,5393.129275957648,5412.740317713584,19.61104175593573,0.0,-1.0,0.0,0.0,1.0,-A
182,E,C,5412.740317713584,5422.545702145363,9.805384431779203,0.0,0.0,0.0,1.0,1.0,+C
183,C,B,5422.545702145363,5491.190354513357,68.64465236799424,0.0,1.0,0.0,0.0,1.0,+A
184,B,A,5491.190354513357,5500.995791519241,9.805437005883505,0.0,0.0,0.0,1.0,1.0,+C
185,A,E,5500.995791519241,5520.6030597484005,19.607268229159672,0.0,-1.0,0.0,0.0,1.0,-A
186,E,C,5520.6030597484005,5579.447681503701,58.84462175530007,0.0,0.0,0.0,1.0,1.0,+C
187,C,B,5579.447681503701,5599.062479956876,19.614798453175354,0.0,1.0,0.0,0.0,1.0,+A
188,B,A,5599.062479956876,5608.867474409801,9.804994452924802,0.0,0.0,0.0,1.0,1.0,+C
189,A,C,5608.867474409801,5687.3328141618285,78.46533975202783,0.0,0.0,1.0,0.0,1.0,+B
190,C,B,5687.3328141618285,5706.937598125795,19.604783963966838,0.0,1.0,0.0,0.0,1.0,+A
191,B,A,5706.937598125795,5716.74680644902,9.809208323224993,0.0,0.0,0.0,1.0,1.0,+C
192,A,E,5716.74680644902,5785.389089903549,68.6422834545283,0.0,-1.0,0.0,0.0,1.0,-A
193,E,C,5785.389089903549,5795.203831356584,9.814741453034912,0.0,0.0,0.0,1.0,1.0,+C
194,C,B,5795.203831356584,5814.816383402609,19.612552046025485,0.0,1.0,0.0,0.0,1.0,+A
195,B,A,5814.816383402609,5824.6277986175455,9.81141521493646,0.0,0.0,0.0,1.0,1.0,+C
196,A,E,5824.6277986175455,5893.265667719272,68.63786910172621,0.0,-1.0,0.0,0.0,1.0,-A
197,E,C,5893.265667719272,5903.068726761967,9.803059042695168,0.0,0.0,0.0,1.0,1.0,+C
198,C,B,5903.068726761967,5922.679971731111,19.611244969144536,0.0,1.0,0.0,0.0,1.0,+A
199,B,E,5922.679971731111,6001.142803436761,78.46283170564948,0.0,0.0,-1.0,0.0,1.0,-B
200,E,C,6001.142803436761,6010.950655049112,9.807851612351442,0.0,0.0,0.0,1.0,1.0,+C
201,C,B,6010.950655049112,6030.560130996966,19.609475947853753,0.0,1.0,0.0,0.0,1.0,+A
202,B,A,6030.560130996966,6089.392220092394,58.83208909542827,0.0,0.0,0.0,1.0,1.0,+C
203,A,E,6089.392220092394,6109.009169503518,19.61694941112364,0.0,-1.0,0.0,0.0,1.0,-A
204,E,C,6109.009169503518,6118.814160777925,9.804991274407257,0.0,0.0,0.0,1.0,1.0,+C
205,C,B,6118.814160777925,6187.448947509733,68.63478673180816,0.0,1.0,0.0,0.0,1.0,+A
206,B,A,6187.448947509733,6197.253724488446,9.804776978712653,0.0,0.0,0.0,1.0,1.0,+C
207,A,E,6197.253724488446,6216.86027701162,19.606552523174287,0.0,-1.0,0.0,0.0,1.0,-A
208,E,C,6216.86027701162,6226.660581966161,9.80030495454048,0.0,0.0,0.0,1.0,1.0,+C
