T_over_2pi,T,Delta_eff,sigma_t,N_active,N_trans,R8,R10,D_order,O_order_norm
0.5,3.141592653589793,9.476383536043897,0.0034893534183931974,1004,1003,0.2572283150548355,0.2612163509471585,0.003988035892322994,0.007692307692307622
0.5005,3.1447342462433827,9.477019122725544,0.0034893534183931974,995,994,0.2676056338028169,0.25855130784708247,-0.00905432595573441,-0.017208413001912056
0.501,3.1478758388969728,9.477653756741846,0.0034893534183931974,1006,1005,0.25472636815920396,0.2626865671641791,0.007960199004975133,0.015384615384615401
0.5015,3.1510174315505624,9.47828743952073,0.0034893534183931974,1001,1000,0.26,0.256,-0.0040000000000000036,-0.007751937984496131
0.502,3.1541590242041524,9.478920172487982,0.0034893534183931974,1005,1004,0.2549800796812749,0.25796812749003983,0.0029880478087649376,0.005825242718446597
0.5025,3.1573006168577415,9.479551957067253,0.0034893534183931974,1010,1009,0.2487611496531219,0.2566897918731417,0.007928642220019821,0.01568627450980392
0.503,3.160442209511332,9.480182794680056,0.0034893534183931974,999,998,0.2605210420841683,0.2625250501002004,0.002004008016032066,0.003831417624521077
0.5035,3.163583802164921,9.480812686745779,0.0034893534183931974,1001,1000,0.259,0.26,0.0010000000000000009,0.0019267822736030846
0.504,3.1667253948185117,9.481441634681676,0.0034893534183931974,992,991,0.2694248234106963,0.2623612512613522,-0.007063572149344111,-0.013282732447817863
0.5045,3.169866987472101,9.482069639902884,0.0034893534183931974,1003,1002,0.2554890219560878,0.25948103792415167,0.003992015968063867,0.007751937984496114
0.505,3.173008580125691,9.482696703822413,0.0034893534183931974,1000,999,0.25925925925925924,0.25825825825825827,-0.0010010010010009784,-0.0019342359767891247
0.5055,3.1761501727792805,9.483322827851154,0.0034893534183931974,1004,1003,0.25324027916251246,0.25623130608175476,0.002991026919242301,0.005870841487279898
0.506,3.1792917654328705,9.483948013397892,0.0034893534183931974,985,984,0.2774390243902439,0.2184959349593496,-0.058943089430894324,-0.11885245901639346
0.5065,3.18243335808646,9.484572261869292,0.0034893534183931974,1004,1003,0.2522432701894317,0.25623130608175476,0.00398803589232305,0.007843137254901999
0.507,3.18557495074005,9.485195574669913,0.0034893534183931974,996,995,0.2623115577889447,0.2492462311557789,-0.013065326633165814,-0.025540275049115886
0.5075,3.1887165433936397,9.48581795320221,0.0034893534183931974,998,997,0.26078234704112335,0.2587763289869609,-0.0020060180541624506,-0.00386100386100379
0.508,3.19185813604723,9.486439398866533,0.0034893534183931974,1000,999,0.25725725725725723,0.2552552552552553,-0.002002002002001957,-0.003906249999999912
0.5085,3.1949997287008194,9.487059913061136,0.0034893534183931974,1006,1005,0.24875621890547264,0.25970149253731345,0.010945273631840807,0.021526418786692782
0.509,3.1981413213544094,9.487679497182178,0.0034893534183931974,997,996,0.26104417670682734,0.26305220883534136,0.0020080321285140257,0.003831417624521014
0.5095,3.201282914007999,9.488298152623724,0.0034893534183931974,999,998,0.2575150300601202,0.2715430861723447,0.014028056112224463,0.026515151515151544
0.51,3.204424506661589,9.488915880777745,0.0034893534183931974,992,991,0.26639757820383453,0.24520686175580222,-0.021190716448032304,-0.04142011834319529
0.5105,3.2075660993151787,9.489532683034131,0.0034893534183931974,997,996,0.2600401606425703,0.2520080321285141,-0.008032128514056214,-0.015686274509803897
0.511,3.2107076919687687,9.490148560780689,0.0034893534183931974,996,995,0.26030150753768844,0.25829145728643216,-0.002010050251256279,-0.003875968992248058
0.5115,3.213849284622358,9.490763515403144,0.0034893534183931974,1004,1003,0.2502492522432702,0.2572283150548355,0.006979062811565295,0.013752455795677779
0.512,3.2169908772759483,9.491377548285143,0.0034893534183931974,995,994,0.2605633802816901,0.2454728370221328,-0.015090543259557332,-0.029821073558648093
0.5125,3.2201324699295375,9.491990660808261,0.0034893534183931974,1004,1003,0.24925224327018944,0.25124626121635096,0.001994017946161525,0.0039840637450199385
