Omega,P_E,P_A,P_B,P_C,P_total
0.001,26895.999999708816,27888.999999701224,27224.999999715164,27555.99999963305,109565.99999875826
0.01329390471072326,26895.999948540008,27888.9999471997,27224.999949661462,27555.999935150197,109565.99978055136
0.02558780942144652,26895.99980935263,27888.99980438706,27224.999813507384,27555.999759746483,109565.99918699355
0.03788171413216978,26895.999582146702,27888.99957126336,27224.999591252934,27555.999473421904,109565.9982180849
0.05017561884289304,26895.99926692223,27888.999247828586,27224.999282898098,27555.999076176475,109565.9968738254
0.0624695235536163,26895.998863679168,27888.998834082722,27224.998888442868,27555.9985680102,109565.99515421496
0.07476342826433956,26895.998372417584,27888.998330025803,27224.99840788728,27555.99794892308,109565.99305925374
0.08705733297506282,26895.997793137445,27888.997735657817,27224.99784123132,27555.997218915127,109565.99058894171
0.09935123768578608,26895.997125838767,27888.997050978767,27224.997188475005,27555.996377986346,109565.98774327889
0.11164514239650933,26895.99637052157,27888.996275988673,27224.99644961832,27555.995426136742,109565.98452226531
0.1239390471072326,26895.995527185853,27888.99541068753,27224.995624661293,27555.994363366342,109565.980925901
0.13623295181795586,26895.994595831602,27888.994455075346,27224.994713603923,27555.99318967515,109565.97695418603
0.1485268565286791,26895.99357645887,27888.993409152135,27224.99371644622,27555.991905063176,109565.97260712039
0.16082076123940237,26895.992469067634,27888.992272917912,27224.992633188187,27555.990509530435,109565.96788470418
0.17311466595012565,26895.991273657924,27888.991046372685,27224.99146382986,27555.98900307696,109565.96278693744
0.1854085706608489,26895.98999022975,27888.989729516463,27224.99020837123,27555.98738570276,109565.9573138202
0.19770247537157215,26895.988618783125,27888.98832234927,27224.98886681231,27555.985657407844,109565.95146535255
0.2099963800822954,26895.987159318058,27888.986824871103,27224.98743915311,27555.98381819226,109565.94524153453
0.22229028479301866,26895.98561183457,27888.985237081975,27224.985925393656,27555.98186805599,109565.9386423662
0.23458418950374194,26895.983976332685,27888.983558981905,27224.984325533962,27555.979806999105,109565.93166784766
0.2468780942144652,26895.982252812406,27888.981790570928,27224.982639574024,27555.977635021598,109565.92431797895
0.25917199892518844,26895.98044127377,27888.979931849033,27224.980867513877,27555.975352123496,109565.91659276017
0.2714659036359117,26895.978541716788,27888.977982816275,27224.97900935354,27555.97295830484,109565.90849219143
0.28375980834663495,26895.976554141464,27888.97594347263,27224.977065093033,27555.970453565653,109565.90001627278
0.2960537130573582,26895.974478547854,27888.97381381814,27224.97503473236,27555.967837905962,109565.89116500432
0.3083476177680815,26895.97231493596,27888.971593852828,27224.97291827154,27555.96511132582,109565.88193838614
0.32064152247880473,26895.970063305806,27888.969283576705,27224.970715710624,27555.962273825233,109565.87233641838
0.332935427189528,26895.96772365742,27888.96688298982,27224.9684270496,27555.959325404256,109565.8623591011
0.3452293319002513,26895.965295990827,27888.964392092133,27224.966052288517,27555.956266062905,109565.85200643439
0.3575232366109745,26895.96278030606,27888.96181088375,27224.963591427364,27555.95309580123,109565.8412784184
0.3698171413216978,26895.960176603137,27888.959139364633,27224.961044466203,27555.94981461928,109565.83017505326
0.382111046032421,26895.957484882096,27888.956377534847,27224.958411405034,27555.94642251706,109565.81869633903
0.3944049507431443,26895.954705142958,27888.9535253944,27224.955692243897,27555.94291949465,109565.8068422759
0.4066988554538676,26895.95183738575,27888.950582943326,27224.95288698281,27555.939305552078,109565.79461286396
0.4189927601645908,26895.948881610522,27888.947550181645,27224.949995621817,27555.93558068938,109565.78200810336
0.4312866648753141,26895.945837817297,27888.944427109393,27224.947018160918,27555.931744906615,109565.76902799422
0.4435805695860373,26895.9427060061,27888.941213726586,27224.94395460017,27555.927798203822,109565.75567253667
0.4558744742967606,26895.939486176972,27888.937910033284,27224.9408049396,27555.923740581064,109565.74194173093
0.46816837900748387,26895.93617832996,27888.93451602951,27224.937569179212,27555.919572038358,109565.72783557704
0.4804622837182071,26895.93278246507,27888.931031715278,27224.934247319063,27555.91529257579,109565.71335407521
