p,hard_status,hard_rep,hard_entropy,hard_concentration,hard_balance,hard_kappa,hard_gap,soft_status,soft_rep,soft_entropy,soft_concentration,soft_balance,soft_kappa,soft_gap
2,fit,"(1, 1, 0, 0)",0.6931471805599453,0.5,0.0,0.5,0.0,fit,"(1, 1, 0, 0)",0.6931471805599453,0.5,0.0,0.5,0.0
3,fit,"(1, 1, 1, 0)",1.0986122886681096,0.3333333333333333,0.0,0.577350269189651,0.0,fit,"(1, 1, 1, 0)",1.0986122886681096,0.3333333333333333,0.0,0.577350269189651,0.0
5,nonfit,"(2, 1, 0, 0)",0.5004024235381879,0.6800000000000002,0.0,,1.318116071652818,nonfit,"(2, 1, 0, 0)",0.6365141682948128,0.5555555555555556,0.0,,1.0471975511965979
7,nonfit,"(2, 1, 1, 1)",1.15374194270109,0.3877551020408163,0.25,,0.8127555613686606,nonfit,"(2, 1, 1, 1)",1.3321790402101223,0.28,0.5,,4.440892098500626e-16
11,nonfit,"(3, 1, 1, 0)",0.6001660731596457,0.6859504132231407,0.0,,1.3481142981129688,nonfit,"(3, 1, 1, 0)",0.9502705392332347,0.44,0.0,,0.8911225078866529
13,fit,"(2, 2, 2, 1)",1.2852930241200995,0.2899408284023669,0.25,2.412090756622149,0.0,fit,"(2, 2, 2, 1)",1.351783994289646,0.26530612244897955,0.5,1.264911064067519,0.0
17,nonfit,"(3, 2, 2, 0)",1.017602986115916,0.39100346020761245,0.0,,0.6496883434322518,nonfit,"(3, 2, 2, 0)",1.0789922078775833,0.346938775510204,0.0,,0.11134101434096344
19,fit,"(3, 3, 1, 0)",0.8628578006373906,0.4515235457063711,0.0,4.506960561004796,0.0,fit,"(3, 3, 1, 0)",1.0042424730540764,0.3877551020408163,0.0,1.5212776585112238,0.0
23,fit,"(3, 3, 2, 1)",1.1748324839060404,0.3383742911153119,0.1111111111111111,4.675162334843691,0.0,fit,"(3, 3, 2, 1)",1.310783678099714,0.2839506172839506,0.3333333333333333,1.6818357317441155,0.0
29,nonfit,"(4, 3, 2, 0)",0.9644814094229555,0.41973840665873957,0.0,,0.7207096550074676,nonfit,"(4, 3, 2, 0)",1.0608569471580214,0.35802469135802467,0.0,,0.19913547221511685
31,fit,"(3, 3, 3, 2)",1.341398784080066,0.2695109261186264,0.4444444444444444,5.629889179541294,0.0,fit,"(3, 3, 3, 2)",1.3730039128771996,0.256198347107438,0.6666666666666666,1.9639610121237183,0.0
37,fit,"(4, 4, 2, 1)",1.063133681396858,0.3864134404674946,0.0625,8.097922862055384,0.0,fit,"(4, 4, 2, 1)",1.2636544318820966,0.30578512396694213,0.25,2.1380899352993765,0.0
41,fit,"(4, 4, 3, 0)",1.067282790906772,0.3527662105889352,0.0,8.336506995531408,0.0,fit,"(4, 4, 3, 0)",1.0900596587107838,0.33884297520661155,0.0,2.15743955988205,0.0
43,fit,"(4, 3, 3, 3)",1.3498865542071805,0.269875608436993,0.5625,8.140806303599561,0.0,fit,"(4, 3, 3, 3)",1.3778195080390327,0.25443786982248523,0.75,2.323790007724938,0.0
47,nonfit,"(5, 3, 3, 2)",1.1785068472794942,0.3635129017655047,0.16,,0.6735698869697062,fit,"(5, 3, 3, 2)",1.3322449224385329,0.2781065088757397,0.4,2.516611478423414,0.0
53,nonfit,"(6, 4, 1, 0)",0.6991956618491697,0.5528657885368458,0.0,,1.0824609838497787,nonfit,"(6, 3, 2, 2)",1.2711814802605796,0.31360946745562135,0.3333333333333333,,0.3675237322883542
59,fit,"(5, 5, 3, 0)",1.0145067245932446,0.382361390405056,0.0,12.707557490035029,0.0,fit,"(5, 5, 3, 0)",1.0733942812811266,0.34911242603550297,0.0,2.6207120918049327,0.0
61,nonfit,"(5, 4, 4, 2)",1.2462851399461377,0.3098629400698737,0.16,,0.02110914258987373,fit,"(5, 4, 4, 2)",1.3397942802855758,0.2711111111111111,0.4,2.7502066038090334,0.0
67,fit,"(5, 5, 4, 1)",1.1404357417902713,0.3357095121407886,0.04,13.270226113327851,0.0,fit,"(5, 5, 4, 1)",1.2654130965141723,0.29777777777777775,0.2,2.8225933052839025,0.0
71,nonfit,"(6, 5, 3, 1)",1.0337559530673583,0.3973417972624479,0.027777777777777776,,0.5226871989809916,fit,"(6, 5, 3, 1)",1.235144651532666,0.3155555555555556,0.16666666666666666,3.0136441863714936,0.0
73,fit,"(5, 4, 4, 4)",1.365032670063261,0.2613998874085194,0.64,13.344922499650409,0.0,fit,"(6, 6, 1, 0)",0.9110175397125628,0.43195266272189353,0.0,3.0104712360254666,0.0
79,fit,"(5, 5, 5, 2)",1.243360962472153,0.3029963146931582,0.16,14.834770727422438,0.0,fit,"(5, 5, 5, 2)",1.3315743412543692,0.27335640138408307,0.4,3.100868364729763,0.0
83,nonfit,"(7, 5, 3, 0)",0.9134657713489871,0.451008854695892,0.0,,0.8506520610266675,nonfit,"(7, 4, 3, 3)",1.3180238017106034,0.28719723183391005,0.42857142857142855,,0.07672865973740883
89,fit,"(6, 6, 4, 1)",1.091166896421169,0.35967680848377725,0.027777777777777776,18.517074084957812,0.0,fit,"(6, 6, 4, 1)",1.2422550455140853,0.3079584775086506,0.16666666666666666,3.2659863237108766,0.0
97,fit,"(6, 6, 4, 3)",1.2535789751971724,0.31129769369752364,0.25,19.06397776687527,0.0,fit,"(6, 6, 5, 0)",1.0950778621205006,0.33564013840830453,0.0,3.3001145893010744,0.0
101,fit,"(6, 6, 5, 2)",1.2088785699598288,0.3169297127732575,0.1111111111111111,19.53073770675411,0.0,fit,"(6, 6, 5, 2)",1.3163022657965957,0.27977839335180055,0.3333333333333333,3.5023801430834283,0.0
103,fit,"(7, 7, 2, 1)",0.8779953313430244,0.45423696861155627,0.02040816326530612,24.53189690193367,0.0,fit,"(7, 7, 2, 1)",1.1491523765330234,0.35640138408304495,0.14285714285714285,3.5798581836971834,0.0
107,fit,"(7, 7, 3, 0)",0.9235446250145475,0.42650013101580925,0.0,24.6039744802047,0.0,fit,"(7, 7, 3, 0)",1.0368263468339387,0.370242214532872,0.0,3.583234878223095,0.0
109,fit,"(6, 6, 6, 1)",1.140705264309328,0.3273293493813652,0.027777777777777776,20.881508163389867,0.0,fit,"(6, 6, 6, 1)",1.2469826398977568,0.3019390581717451,0.16666666666666666,3.564531154715951,0.0
113,fit,"(6, 6, 5, 4)",1.339364112992151,0.2719868431357193,0.4444444444444444,20.75403957619517,0.0,fit,"(6, 6, 5, 4)",1.3734043121335788,0.25623582766439906,0.6666666666666666,3.754717312648495,0.0
127,fit,"(7, 7, 5, 2)",1.1637503755843708,0.33746667493334986,0.08163265306122448,25.59965323962882,0.0,fit,"(7, 7, 5, 2)",1.2980354848631954,0.2879818594104308,0.2857142857142857,3.931907049783149,0.0
131,nonfit,"(8, 7, 3, 3)",1.0857488168309863,0.38803100052444495,0.140625,,0.4165986660559504,fit,"(8, 7, 3, 3)",1.289828289683683,0.2970521541950113,0.375,4.088310863215952,0.0
137,fit,"(7, 6, 6, 4)",1.3209007963967592,0.2796632745484576,0.32653061224489793,25.657079223590074,0.0,fit,"(8, 8, 3, 0)",1.0198652142779299,0.3795013850415512,0.0,4.072222483045152,0.0
139,fit,"(7, 7, 5, 4)",1.2925192252718218,0.29413591429015057,0.32653061224489793,26.574539177970223,0.0,fit,"(8, 7, 5, 1)",1.2205180120569286,0.3151927437641723,0.125,4.105262281578291,0.0
149,nonfit,"(8, 7, 6, 0)",1.071903395026938,0.3510202243142201,0.0,,0.10137756832238809,fit,"(8, 7, 6, 0)",1.0917862380951273,0.33786848072562353,0.0,4.13118223595518,0.0
151,fit,"(7, 7, 7, 2)",1.1918310867040522,0.31660892066137447,0.08163265306122448,28.68310094324326,0.0,fit,"(7, 7, 7, 2)",1.2985199771777816,0.28544423440453687,0.2857142857142857,4.248838850668221,0.0
157,fit,"(7, 6, 6, 6)",1.3765054234331449,0.25514219643798935,0.7346938775510204,28.12080477185259,0.0,fit,"(8, 8, 5, 2)",1.2787747120088118,0.29678638941398866,0.25,4.378822794864277,0.0
163,fit,"(7, 7, 7, 4)",1.3117931248675072,0.28074071286085284,0.32653061224489793,29.968049143476378,0.0,fit,"(8, 7, 7, 1)",1.227743154180755,0.30812854442344045,0.125,4.358898943541476,0.0
167,fit,"(9, 9, 2, 1)",0.82191033636038,0.47111764494962166,0.012345679012345678,40.51929214609494,0.0,fit,"(9, 7, 6, 1)",1.216061648329954,0.31568998109640833,0.1111111111111111,4.5442509228930135,0.0
173,fit,"(8, 8, 6, 3)",1.2161890647261955,0.319723345250426,0.140625,34.006706460902365,0.0,fit,"(8, 8, 6, 3)",1.3261774909381994,0.2768,0.375,4.609442869019631,0.0
179,fit,"(9, 9, 4, 1)",0.9624574113559975,0.41755875284791366,0.012345679012345678,40.72430104928554,0.0,fit,"(9, 7, 7, 0)",1.0912436384160904,0.3383742911153119,0.0,4.569273560377212,0.0
181,fit,"(8, 8, 7, 2)",1.1731853919181006,0.3238301639144104,0.0625,34.99030538384466,0.0,fit,"(9, 8, 6, 0)",1.08501115745815,0.34215500945179583,0.0,4.590811533533355,0.0
191,fit,"(9, 9, 5, 2)",1.074693134208307,0.3772648776075217,0.04938271604938271,41.1547184120563,0.0,fit,"(9, 9, 5, 2)",1.2595347722545072,0.3056,0.2222222222222222,4.837354648978703,0.0
193,fit,"(8, 8, 7, 4)",1.286536568006983,0.2912561411044592,0.25,36.15056957976185,0.0,fit,"(8, 8, 8, 1)",1.2226119448555584,0.3088,0.125,4.718142596956625,0.0
197,nonfit,"(9, 8, 6, 4)",1.2451986515616282,0.3145919760880208,0.19753086419753085,,0.0003934341930826868,fit,"(9, 8, 6, 4)",1.3437521330668272,0.27023319615912206,0.4444444444444444,4.95774811256905,0.0
199,fit,"(9, 9, 6, 1)",1.067639272757884,0.36410696699578293,0.012345679012345678,41.59329126881684,0.0,fit,"(9, 9, 6, 1)",1.2068518565713897,0.31839999999999996,0.1111111111111111,4.854746324260134,0.0
211,fit,"(8, 7, 7, 7)",1.3790330095079095,0.2537903461287932,0.765625,37.64914117646208,0.0,fit,"(9, 9, 7, 0)",1.0920192874506351,0.3376,0.0,4.884483782159236,0.0
223,fit,"(9, 9, 6, 5)",1.2754258501011049,0.3024995475477086,0.30864197530864196,43.288447812848176,0.0,fit,"(9, 9, 6, 5)",1.3553031137936886,0.26516052318668254,0.5555555555555556,5.2759751053894774,0.0
227,fit,"(9, 9, 7, 4)",1.253313994484961,0.3062159172504803,0.19753086419753085,43.76921504946753,0.0,fit,"(9, 9, 8, 1)",1.2148896539491203,0.3113854595336077,0.1111111111111111,5.12001420452674,0.0
229,fit,"(10, 10, 5, 2)",1.036118901965581,0.39360424095650354,0.04,50.528689492124784,0.0,fit,"(10, 8, 8, 1)",1.210765917974039,0.31412894375857336,0.1,5.202197337938628,0.0
233,nonfit,"(10, 9, 6, 4)",1.2028174172243566,0.33364033229567686,0.16,,0.09768566525218958,fit,"(10, 9, 6, 4)",1.3294818166825317,0.27705112960761,0.4,5.395109500183025,0.0
239,nonfit,"(10, 9, 7, 3)",1.1796367070330864,0.3333800178568302,0.09,,0.024432513691997393,fit,"(10, 9, 7, 3)",1.3080516908361997,0.28418549346016647,0.3,5.414541490472402,0.0
241,fit,"(8, 8, 8, 7)",1.3802129226504984,0.2529054251820733,0.765625,42.81559091235408,0.0,fit,"(10, 10, 5, 4)",1.3106038001060953,0.286563614744352,0.4,5.484084971071752,0.0
251,fit,"(9, 9, 8, 5)",1.3081574171650148,0.28321772670275075,0.30864197530864196,46.53782941651468,0.0,fit,"(11, 9, 7, 0)",1.0820131534045052,0.3443072702331961,0.0,5.514084530103574,0.0
257,nonfit,"(11, 10, 6, 0)",0.9972692506522831,0.3926933034565247,0.0,,0.29593547828352174,fit,"(11, 10, 6, 0)",1.0679385050380008,0.35253772290809327,0.0,5.5434789374682225,0.0
263,fit,"(10, 9, 9, 1)",1.1142917445133376,0.33429715624051237,0.01,51.554218434810764,0.0,fit,"(10, 9, 9, 1)",1.209506405090184,0.3127229488703924,0.1,5.507570547286377,0.0
269,nonfit,"(12, 11, 2, 0)",0.7564625000455962,0.4891170658227498,0.0,,0.5452195988600668,fit,"(12, 10, 4, 3)",1.240201173507841,0.31985731272294887,0.25,6.000138024637415,0.0
271,fit,"(10, 9, 9, 3)",1.20288338600232,0.3159406870821476,0.09,52.20283678873284,0.0,fit,"(11, 10, 7, 1)",1.194052037775794,0.3222354340071344,0.09090909090909091,5.684565569529411,0.0
277,fit,"(10, 8, 8, 7)",1.351262098691787,0.26838613822674606,0.49,51.70503295756288,0.0,fit,"(10, 8, 8, 7)",1.3777716026723885,0.2543617998163453,0.7,5.8924229119515985,0.0
281,fit,"(10, 9, 8, 6)",1.3264592983489925,0.2780233279720368,0.36,52.55647470426413,0.0,fit,"(10, 10, 9, 0)",1.0974088280586503,0.3341260404280619,0.0,5.5989251095579675,0.0
283,fit,"(11, 11, 5, 4)",1.1033457414172558,0.3766185119055051,0.1322314049586777,61.36332792018105,0.0,fit,"(11, 9, 9, 0)",1.0939547819577147,0.3365041617122473,0.0,5.685085491383973,0.0
293,fit,"(11, 10, 6, 6)",1.2473363012189282,0.3172197695954525,0.2975206611570248,60.50113302058221,0.0,fit,"(12, 10, 7, 0)",1.075361286166348,0.3483947681331748,0.0,6.003830195091695,0.0
307,fit,"(9, 9, 9, 8)",1.381506829279635,0.2522997591486382,0.7901234567901234,54.48801826160667,0.0,fit,"(11, 11, 8, 1)",1.195625000130216,0.3194588969823101,0.09090909090909091,5.990221917481961,0.0
311,fit,"(10, 9, 9, 7)",1.3567801267671282,0.2638827141985712,0.49,56.39556915913738,0.0,fit,"(11, 10, 9, 3)",1.3003391677466973,0.2855831037649219,0.2727272727272727,6.126496138409607,0.0
