b,c,total,distinct_a,entropy,top_a_list
7,11,20662,95,1.5669515385148831,5×13317(0.645); 17×2454(0.119); 29×1209(0.059); 41×784(0.038); 53×554(0.027); 89×290(0.014); 101×245(0.012); 113×213(0.010); 137×160(0.008); 149×136(0.007)
7,23,7228,53,1.3099458604532854,5×5002(0.692); 17×843(0.117); 29×397(0.055); 41×243(0.034); 53×178(0.025); 89×80(0.011); 101×74(0.010); 113×58(0.008); 137×44(0.006); 149×42(0.006)
19,11,4890,43,1.2428147423166935,5×3447(0.705); 17×557(0.114); 29×272(0.056); 41×166(0.034); 53×111(0.023); 89×52(0.011); 101×44(0.009); 113×39(0.008); 137×27(0.006); 149×26(0.005)
7,47,2734,28,1.110945909989339,5×2001(0.732); 17×311(0.114); 29×141(0.052); 41×78(0.029); 53×53(0.019); 89×28(0.010); 101×25(0.009); 113×18(0.007); 137×14(0.005); 149×9(0.003)
31,11,2468,27,1.0937579474807868,5×1815(0.735); 17×282(0.114); 29×123(0.050); 41×68(0.028); 53×50(0.020); 89×26(0.011); 101×22(0.009); 113×16(0.006); 137×10(0.004); 149×9(0.004)
7,59,2008,23,1.0378344527011254,5×1502(0.748); 17×222(0.111); 29×99(0.049); 41×56(0.028); 53×39(0.019); 89×18(0.009); 101×14(0.007); 113×11(0.005); 137×9(0.004); 149×7(0.003)
19,23,1564,22,0.9640438236184663,5×1192(0.762); 17×175(0.112); 29×74(0.047); 41×40(0.026); 53×29(0.019); 89×10(0.006); 101×9(0.006); 113×7(0.004); 137×6(0.004); 149×6(0.004)
7,71,1566,21,1.0255966335794409,5×1174(0.750); 17×176(0.112); 29×69(0.044); 41×48(0.031); 53×34(0.022); 89×12(0.008); 101×9(0.006); 113×9(0.006); 137×7(0.004); 173×4(0.003)
43,11,1562,21,1.0255209590494643,5×1174(0.752); 17×172(0.110); 29×69(0.044); 41×47(0.030); 53×32(0.020); 89×14(0.009); 101×9(0.006); 113×9(0.006); 137×7(0.004); 149×5(0.003)
7,83,1296,18,0.9781632074044955,5×989(0.763); 17×135(0.104); 29×56(0.043); 41×41(0.032); 53×26(0.020); 89×9(0.007); 101×9(0.007); 113×7(0.005); 149×4(0.003); 137×4(0.003)
