a,c,total,distinct_b,entropy,top_b_list
5,11,24552,129,1.9505170744154479,7×13317(0.542); 19×3447(0.140); 31×1815(0.074); 43×1174(0.048); 67×684(0.028); 79×541(0.022); 103×400(0.016); 127×297(0.012); 139×263(0.011); 151×241(0.010)
5,23,8450,69,1.6639184179865492,7×5002(0.592); 19×1192(0.141); 31×614(0.073); 43×390(0.046); 67×212(0.025); 79×171(0.020); 103×115(0.014); 127×84(0.010); 139×76(0.009); 151×62(0.007)
17,11,3950,47,1.5130965863929406,7×2454(0.621); 19×557(0.141); 31×282(0.071); 43×172(0.044); 67×88(0.022); 79×68(0.017); 103×50(0.013); 127×37(0.009); 139×31(0.008); 163×26(0.007)
5,47,3154,38,1.4388695531309224,7×2001(0.634); 19×445(0.141); 31×225(0.071); 43×131(0.042); 67×72(0.023); 79×51(0.016); 103×38(0.012); 127×30(0.010); 139×26(0.008); 151×21(0.007)
5,59,2328,31,1.3802696840329474,7×1502(0.645); 19×331(0.142); 31×159(0.068); 43×97(0.042); 67×52(0.022); 79×40(0.017); 103×30(0.013); 127×15(0.006); 139×15(0.006); 151×13(0.006)
29,11,1862,29,1.3629807199806934,7×1209(0.649); 19×272(0.146); 31×123(0.066); 43×69(0.037); 67×39(0.021); 79×32(0.017); 103×23(0.012); 127×14(0.008); 139×12(0.006); 151×9(0.005)
5,71,1782,26,1.3164904755220137,7×1174(0.659); 19×250(0.140); 31×118(0.066); 43×74(0.042); 67×40(0.022); 79×31(0.017); 103×17(0.010); 127×13(0.007); 139×9(0.005); 151×9(0.005)
17,23,1236,24,1.216120450823257,7×843(0.682); 19×175(0.142); 31×77(0.062); 43×44(0.036); 67×25(0.020); 79×19(0.015); 103×10(0.008); 127×7(0.006); 139×7(0.006); 151×5(0.004)
5,83,1468,22,1.2618052753147626,7×989(0.674); 19×205(0.140); 31×93(0.063); 43×53(0.036); 67×29(0.020); 79×24(0.016); 103×13(0.009); 127×9(0.006); 139×9(0.006); 151×8(0.005)
41,11,1164,21,1.2571803573334652,7×784(0.674); 19×166(0.143); 31×68(0.058); 43×47(0.040); 67×24(0.021); 79×15(0.013); 103×10(0.009); 127×9(0.008); 139×7(0.006); 151×7(0.006)
