a,b,total,distinct_c,entropy,top_c_list
5,7,30684,188,2.4155064086227624,11×13317(0.434); 23×5002(0.163); 47×2001(0.065); 59×1502(0.049); 71×1174(0.038); 83×989(0.032); 107×701(0.023); 131×546(0.018); 167×408(0.013); 179×370(0.012)
5,19,6882,82,1.982178536819034,11×3447(0.501); 23×1192(0.173); 47×445(0.065); 59×331(0.048); 71×250(0.036); 83×205(0.030); 107×139(0.020); 131×106(0.015); 167×71(0.010); 179×64(0.009)
17,7,4796,68,1.915104042793967,11×2454(0.512); 23×843(0.176); 47×311(0.065); 59×222(0.046); 71×176(0.037); 83×135(0.028); 107×91(0.019); 131×71(0.015); 167×53(0.011); 179×44(0.009)
5,31,3446,52,1.8199632788440068,11×1815(0.527); 23×614(0.178); 47×225(0.065); 59×159(0.046); 71×118(0.034); 83×93(0.027); 107×63(0.018); 131×52(0.015); 167×35(0.010); 179×31(0.009)
29,7,2208,42,1.7199898253784824,11×1209(0.548); 23×397(0.180); 47×141(0.064); 59×99(0.045); 71×69(0.031); 83×56(0.025); 107×39(0.018); 131×32(0.014); 167×23(0.010); 179×16(0.007)
5,43,2138,39,1.695817776475891,11×1174(0.549); 23×390(0.182); 47×131(0.061); 59×97(0.045); 71×74(0.035); 83×53(0.025); 107×40(0.019); 131×30(0.014); 167×17(0.008); 191×15(0.007)
41,7,1376,32,1.6218698399940465,11×784(0.570); 23×243(0.177); 47×78(0.057); 59×56(0.041); 71×48(0.035); 83×41(0.030); 107×26(0.019); 131×14(0.010); 167×9(0.007); 179×9(0.007)
17,19,936,29,1.4747301080622655,11×557(0.595); 23×175(0.187); 47×53(0.057); 59×37(0.040); 71×27(0.029); 83×20(0.021); 107×14(0.015); 131×10(0.011); 167×7(0.007); 179×7(0.007)
5,67,1186,28,1.5690089590811256,11×684(0.577); 23×212(0.179); 47×72(0.061); 59×52(0.044); 71×40(0.034); 83×29(0.024); 107×17(0.014); 131×13(0.011); 167×9(0.008); 179×8(0.007)
53,7,962,26,1.562090675219475,11×554(0.576); 23×178(0.185); 47×53(0.055); 59×39(0.041); 71×34(0.035); 83×26(0.027); 107×14(0.015); 131×9(0.009); 167×7(0.007); 179×7(0.007)
5,79,934,26,1.553385751817544,11×541(0.579); 23×171(0.183); 47×51(0.055); 59×40(0.043); 71×31(0.033); 83×24(0.026); 107×15(0.016); 131×9(0.010); 167×8(0.009); 179×6(0.006)
