pairing,u,v,score,lift_1B,count_1B,status,lift_ratio(1B/100M),stability_factor
A↔B,17·41,7·7,3.9910237466417344,1.380065005417118,36.0,in_both,0.7798705293769863,0.8008794546642577
A↔B,5·101,7·7,3.946577629005032,1.2968695972891358,53.0,in_both,0.7328570577478773,0.7628902091264957
A↔B,5·137,7·7,3.874309107820944,1.3574409889348702,36.0,in_both,0.7670857666003145,0.7904159455038834
A↔B,29·41,7·7,3.800044684578141,1.5334055615745756,16.0,in_both,0.8665228104188738,0.8746864339035848
A↔B,5·257,7·7,3.800044684578141,1.5334055615745756,16.0,in_both,0.8665228104188738,0.8746864339035848
A↔B,5·233,7·7,3.800044684578141,1.5334055615745756,16.0,in_both,0.8665228104188738,0.8746864339035848
A↔B,5·149,7·7,3.7865023038299257,1.3712184348695724,31.0,in_both,0.7748713593168776,0.7967757663015488
A↔B,5·113,7·7,3.7722105037627007,1.2938109425785482,45.0,in_both,0.7311286212909248,0.7615184140566361
A↔B,17·53,7·7,3.724455449173736,1.4154512876073004,24.0,in_both,0.7998672096174219,0.8174545825220164
A↔B,5·173,7·7,3.549829131199323,1.369112108548728,25.0,in_both,0.7736810807311373,0.7958010159722684
A↔B,29·29,7·7,3.5405838183241096,1.3500635922558764,27.0,in_both,0.7629168222166172,0.7870258673858785
A↔B,5·197,7·7,3.409620686084893,1.3676319873502971,22.0,in_both,0.7728446687519684,0.7951165869302034
A↔B,,,2.6489880101183343,1.2996632996632995,10.0,only_1B,,0.85
A↔B,,,2.6454655811993826,1.297935103244838,10.0,only_1B,,0.85
A↔B,,,2.641532059480232,1.3496503496503496,9.0,only_1B,,0.85
A↔B,,,2.5328392931893324,1.3561703996486607,8.0,only_1B,,0.85
A↔B,,,2.2971877771890705,1.2996632996632995,7.0,only_1B,,0.85
A↔B,,,0.9732104607503982,1.6518187123127797,1.0,only_1B,,0.85
A↔B,,,0.9651379202773528,1.6381172839506173,1.0,only_1B,,0.85
A↔B,,,0.9651379202773528,1.6381172839506173,1.0,only_1B,,0.85
A↔B,,,0.9651379202773528,1.6381172839506173,1.0,only_1B,,0.85
A↔B,,,0.960690280091743,1.630568356374808,1.0,only_1B,,0.85
A↔B,,,0.9526418466713246,1.6169078446306169,1.0,only_1B,,0.85
A↔B,,,0.9265324034662584,1.5725925925925923,1.0,only_1B,,0.85
A↔B,,,0.9224327025659655,1.5656342182890857,1.0,only_1B,,0.85
A↔B,,,0.91134334767173,1.5468123861566483,1.0,only_1B,,0.85
A↔B,,,0.8934419604853207,1.5164285714285712,1.0,only_1B,,0.85
