node,type,degree_top50,strength_top50
,C_pair,210,256.9508740811707
7·7,B_pair,15,44.995246429576824
11·11,C_pair,12,9.433907902239312
29·41,A_pair,2,6.944680651991245
5·257,A_pair,2,6.944680651991245
5·233,A_pair,2,6.944680651991245
17·41,A_pair,2,3.9910237466417344
5·101,A_pair,2,3.946577629005032
5·137,A_pair,2,3.874309107820944
5·149,A_pair,1,3.7865023038299257
5·113,A_pair,2,3.7722105037627007
17·53,A_pair,2,3.724455449173736
5·173,A_pair,1,3.549829131199323
29·29,A_pair,2,3.5405838183241096
5·197,A_pair,1,3.409620686084893
17·17,A_pair,5,0.0
11·23,C_pair,5,0.0
5·17,A_pair,4,0.0
19·19,B_pair,4,0.0
17·29,A_pair,2,0.0
19·31,B_pair,2,0.0
7·103,B_pair,2,0.0
5·29,A_pair,2,0.0
11·47,C_pair,2,0.0
23·23,C_pair,2,0.0
19·43,B_pair,2,0.0
7·31,B_pair,1,0.0
7·19,B_pair,1,0.0
7·79,B_pair,1,0.0
5·41,A_pair,1,0.0
7·43,B_pair,1,0.0
19·127,B_pair,1,0.0
11·59,C_pair,1,0.0
11·71,C_pair,1,0.0
31·31,B_pair,1,0.0
31·67,B_pair,1,0.0
