e,exc_combo,count,p(e|combo)
13,B+C,1183,0.545916012921089
13,A+C,758,0.5577630610743194
13,A+B+C,650,0.7377979568671964
13,C,510,0.3298835705045278
13,A+B,460,0.5495818399044206
37,B+C,306,0.14120904476234425
13,B,287,0.31366120218579235
37,A+C,195,0.1434878587196468
37,C,179,0.11578266494178525
13,A,176,0.30344827586206896
61,B+C,155,0.07152745731425934
37,A+B,121,0.14456391875746716
73,B+C,121,0.05583756345177665
37,A+B+C,110,0.12485811577752554
61,C,105,0.06791720569210867
37,B,100,0.1092896174863388
61,A+C,95,0.06990434142752024
73,C,88,0.056921086675291076
97,B+C,79,0.03645592985694508
73,A+C,74,0.054451802796173655
97,C,67,0.04333764553686934
109,B+C,66,0.030456852791878174
37,A,65,0.11206896551724138
61,B,64,0.06994535519125683
61,A+B,62,0.07407407407407407
109,C,58,0.037516170763260026
73,B,55,0.060109289617486336
97,A+C,49,0.036055923473142015
73,A+B,47,0.056152927120669056
61,A+B+C,44,0.049943246311010214
109,A+C,42,0.03090507726269316
157,C,41,0.02652005174644243
157,B+C,39,0.01799723119520074
97,B,39,0.04262295081967213
61,A,39,0.06724137931034482
73,A,34,0.05862068965517241
181,C,34,0.02199223803363519
109,B,34,0.03715846994535519
193,C,33,0.021345407503234153
97,A+B,31,0.037037037037037035
73,A+B+C,30,0.0340522133938706
181,B+C,29,0.01338255652976465
193,B+C,28,0.012921089063221043
109,A+B,27,0.03225806451612903
97,A,27,0.04655172413793104
229,C,26,0.016817593790426907
157,B,25,0.0273224043715847
241,C,24,0.015523932729624839
109,A,24,0.041379310344827586
157,A+C,23,0.01692420897718911
277,C,22,0.014230271668822769
193,B,20,0.02185792349726776
181,B,20,0.02185792349726776
229,B+C,20,0.009229349330872173
241,B+C,19,0.008767881864328565
97,A+B+C,18,0.02043132803632236
313,C,18,0.01164294954721863
181,A+C,18,0.013245033112582781
229,B,17,0.018579234972677595
241,B,16,0.017486338797814208
349,C,16,0.01034928848641656
337,C,16,0.01034928848641656
157,A,16,0.027586206896551724
193,A+C,15,0.011037527593818985
181,A,15,0.02586206896551724
373,C,15,0.009702457956015523
277,B+C,15,0.00692201199815413
157,A+B,15,0.017921146953405017
193,A,14,0.02413793103448276
277,B,14,0.015300546448087432
397,C,14,0.009055627425614488
409,C,14,0.009055627425614488
421,C,13,0.008408796895213453
337,B,12,0.013114754098360656
313,B+C,12,0.0055376095985233045
313,B,12,0.013114754098360656
109,A+B+C,12,0.01362088535754824
241,A+C,12,0.008830022075055188
433,C,12,0.007761966364812419
