e,count,n_min,n_max,mean_logR_sum,share_excA,share_excB,share_excC
13,4025,1926925,999787789,5.464954052052583,0.5078260869565218,0.6409937888198758,0.7704347826086957
37,1077,5484325,998645725,4.4421852061626295,0.4558960074280409,0.5914577530176416,0.7335190343546889
61,565,9041725,997077025,3.9593844492765458,0.4247787610619469,0.5752212389380531,0.7061946902654868
73,450,10820425,999298825,3.791002111731113,0.4111111111111111,0.5622222222222222,0.6955555555555556
97,311,14377825,999674725,3.5186819444579163,0.40192926045016075,0.5369774919614148,0.684887459807074
109,264,16156525,999648265,3.40044567551588,0.3977272727272727,0.5265151515151515,0.6742424242424242
157,165,23271325,996545725,3.0678185711052834,0.3575757575757576,0.509090909090909,0.6545454545454545
181,132,26828725,998516365,2.9109317964564556,0.36363636363636365,0.48484848484848486,0.6363636363636364
193,124,28607425,997332325,2.8673193806904433,0.3387096774193548,0.49193548387096775,0.6370967741935484
229,96,33943525,976603705,2.6906039010879543,0.3333333333333333,0.4791666666666667,0.6145833333333334
241,91,35722225,995935633,2.6542544324865602,0.34065934065934067,0.4725274725274725,0.6153846153846154
277,76,41058325,995628025,2.534154371804823,0.3157894736842105,0.4605263157894737,0.618421052631579
313,62,46394425,968980705,2.399261800974335,0.3064516129032258,0.46774193548387094,0.5967741935483871
337,57,49951825,999685225,2.3447442498799043,0.2982456140350877,0.47368421052631576,0.5964912280701754
349,52,51730525,998197585,2.283546435459369,0.3076923076923077,0.4423076923076923,0.6153846153846154
373,47,55287925,984125065,2.215701762909054,0.2978723404255319,0.425531914893617,0.5957446808510638
397,43,58845325,981155725,2.1557990630796318,0.27906976744186046,0.4418604651162791,0.5813953488372093
409,42,60624025,986518225,2.1401319265636856,0.2857142857142857,0.42857142857142855,0.5952380952380952
421,41,62402725,984519025,2.124293911771522,0.2926829268292683,0.43902439024390244,0.5853658536585366
433,39,64181425,988679725,2.091823573252305,0.28205128205128205,0.4358974358974359,0.5897435897435898
457,35,67738825,996728425,2.020443954540939,0.2571428571428571,0.42857142857142855,0.5714285714285714
541,30,80189725,972482665,1.91724161169545,0.26666666666666666,0.4,0.5333333333333333
577,26,85525825,991877425,1.8301598783793815,0.2692307692307692,0.38461538461538464,0.5
601,23,89083225,999057325,1.7505342222689204,0.2608695652173913,0.34782608695652173,0.5217391304347826
613,22,90861925,963136405,1.7202293635430472,0.2727272727272727,0.36363636363636365,0.5
673,21,99755425,970348225,1.6897234284204294,0.23809523809523808,0.38095238095238093,0.5238095238095238
661,21,97976725,953046325,1.6897234284204294,0.23809523809523808,0.38095238095238093,0.5238095238095238
709,19,105091525,973120225,1.62897241920157,0.2631578947368421,0.3684210526315789,0.5263157894736842
733,17,108648925,970656925,1.5589703355609397,0.23529411764705882,0.29411764705882354,0.5294117647058824
757,16,112206325,920091865,1.5195402770308442,0.25,0.3125,0.5
769,16,113985025,934677205,1.5195402770308442,0.25,0.3125,0.5
829,15,122878525,927174325,1.4805673518815534,0.2,0.3333333333333333,0.5333333333333333
853,15,126435925,954016525,1.4805673518815534,0.2,0.3333333333333333,0.5333333333333333
877,15,129993325,980858725,1.4805673518815534,0.2,0.3333333333333333,0.5333333333333333
937,13,138886825,987359065,1.399269791000217,0.23076923076923078,0.3076923076923077,0.5384615384615384
997,12,147780325,953854825,1.3524277423541602,0.16666666666666666,0.3333333333333333,0.5
1009,12,149559025,965335525,1.3524277423541602,0.16666666666666666,0.3333333333333333,0.5
1021,12,151337725,976816225,1.3524277423541602,0.16666666666666666,0.3333333333333333,0.5
1033,12,153116425,988296925,1.3524277423541602,0.16666666666666666,0.3333333333333333,0.5
1093,11,162009925,995203825,1.3058498458188164,0.18181818181818182,0.36363636363636365,0.45454545454545453
1069,11,158452525,973351225,1.3058498458188164,0.18181818181818182,0.36363636363636365,0.45454545454545453
1117,10,165567325,960290485,1.254905833736873,0.2,0.3,0.5
1129,10,167346025,970606945,1.254905833736873,0.2,0.3,0.5
1153,10,170903425,991239865,1.254905833736873,0.2,0.3,0.5
1201,8,178018225,954825025,1.1318840808218062,0.125,0.25,0.5
1213,8,179796925,964365325,1.1318840808218062,0.125,0.25,0.5
1237,8,183354325,983445925,1.1318840808218062,0.125,0.25,0.5
1249,8,185133025,992986225,1.1318840808218062,0.125,0.25,0.5
1429,7,211813525,938031325,1.053632925066729,0.14285714285714285,0.2857142857142857,0.42857142857142855
1489,7,220707025,977416825,1.053632925066729,0.14285714285714285,0.2857142857142857,0.42857142857142855
1453,7,215370925,953785525,1.053632925066729,0.14285714285714285,0.2857142857142857,0.42857142857142855
1297,7,192247825,851383225,1.053632925066729,0.14285714285714285,0.2857142857142857,0.42857142857142855
1381,7,204698725,906522925,1.053632925066729,0.14285714285714285,0.2857142857142857,0.42857142857142855
1321,7,195805225,867137425,1.053632925066729,0.14285714285714285,0.2857142857142857,0.42857142857142855
1549,5,229600525,981020425,0.882431106755142,0.2,0.2,0.4
1753,4,259838425,883450645,0.7399758012160055,0.25,0.25,0.25
1933,4,286518925,974164345,0.7399758012160055,0.25,0.25,0.25
1873,4,277625425,943926445,0.7399758012160055,0.25,0.25,0.25
1861,4,275846725,937878865,0.7399758012160055,0.25,0.25,0.25
1801,4,266953225,907640965,0.7399758012160055,0.25,0.25,0.25
1777,4,263395825,895545805,0.7399758012160055,0.25,0.25,0.25
1789,4,265174525,901593385,0.7399758012160055,0.25,0.25,0.25
1741,4,258059725,877403065,0.7399758012160055,0.25,0.25,0.25
1693,4,250944925,853212745,0.7399758012160055,0.25,0.25,0.25
1669,4,247387525,841117585,0.7399758012160055,0.25,0.25,0.25
1657,4,245608825,835070005,0.7399758012160055,0.25,0.25,0.25
1621,4,240272725,816927265,0.7399758012160055,0.25,0.25,0.25
1609,4,238494025,810879685,0.7399758012160055,0.25,0.25,0.25
1597,4,236715325,804832105,0.7399758012160055,0.25,0.25,0.25
2269,3,336322525,912875425,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2473,3,366560425,994949725,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2437,3,361224325,980466025,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2389,3,354109525,961154425,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2377,3,352330825,956326525,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2341,3,346994725,941842825,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2293,3,339879925,922531225,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2281,3,338101225,917703325,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2113,3,313199425,850112725,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2221,3,329207725,893563825,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2137,3,316756825,859768525,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2089,3,309642025,840456925,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2053,3,304305925,825973225,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2029,3,300748525,816317425,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2017,3,298969825,811489525,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
1993,3,295412425,801833725,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
2161,3,320314225,869424325,0.5787092577473021,0.0,0.3333333333333333,0.3333333333333333
3061,2,453716725,948680425,0.36879947156538956,0.0,0.0,0.5
3001,2,444823225,930084925,0.36879947156538956,0.0,0.0,0.5
3037,2,450159325,941242225,0.36879947156538956,0.0,0.0,0.5
3049,2,451938025,944961325,0.36879947156538956,0.0,0.0,0.5
3181,2,471503725,985871425,0.36879947156538956,0.0,0.0,0.5
2917,2,432372325,904051225,0.36879947156538956,0.0,0.0,0.5
3121,2,462610225,967275925,0.36879947156538956,0.0,0.0,0.5
3169,2,469725025,982152325,0.36879947156538956,0.0,0.0,0.5
3217,2,476839825,997028725,0.36879947156538956,0.0,0.0,0.5
2953,2,437708425,915208525,0.36879947156538956,0.0,0.0,0.5
