e,exc_combo,count,share
13,B+C,1183,0.29391304347826086
13,A+C,758,0.18832298136645964
13,A+B+C,650,0.16149068322981366
13,C,510,0.1267080745341615
13,A+B,460,0.11428571428571428
13,B,287,0.07130434782608695
13,A,176,0.04372670807453416
13,grundzustand,1,0.0002484472049689441
37,B+C,306,0.2841225626740947
37,A+C,195,0.181058495821727
37,C,179,0.16620241411327763
37,A+B,121,0.11234911792014857
37,A+B+C,110,0.1021355617455896
37,B,100,0.09285051067780872
37,A,65,0.060352831940575676
37,grundzustand,1,0.0009285051067780873
61,B+C,155,0.2743362831858407
61,C,105,0.18584070796460178
61,A+C,95,0.168141592920354
61,B,64,0.11327433628318584
61,A+B,62,0.10973451327433628
61,A+B+C,44,0.07787610619469026
61,A,39,0.06902654867256637
61,grundzustand,1,0.0017699115044247787
73,B+C,121,0.2688888888888889
73,C,88,0.19555555555555557
73,A+C,74,0.16444444444444445
73,B,55,0.12222222222222222
73,A+B,47,0.10444444444444445
73,A,34,0.07555555555555556
73,A+B+C,30,0.06666666666666667
73,grundzustand,1,0.0022222222222222222
97,B+C,79,0.2540192926045016
97,C,67,0.21543408360128619
97,A+C,49,0.15755627009646303
97,B,39,0.12540192926045016
97,A+B,31,0.09967845659163987
97,A,27,0.08681672025723473
97,A+B+C,18,0.05787781350482315
97,grundzustand,1,0.003215434083601286
109,B+C,66,0.25
109,C,58,0.2196969696969697
109,A+C,42,0.1590909090909091
109,B,34,0.12878787878787878
109,A+B,27,0.10227272727272728
109,A,24,0.09090909090909091
109,A+B+C,12,0.045454545454545456
109,grundzustand,1,0.003787878787878788
157,C,41,0.24848484848484848
157,B+C,39,0.23636363636363636
157,B,25,0.15151515151515152
157,A+C,23,0.1393939393939394
157,A,16,0.09696969696969697
157,A+B,15,0.09090909090909091
157,A+B+C,5,0.030303030303030304
157,grundzustand,1,0.006060606060606061
181,C,34,0.25757575757575757
181,B+C,29,0.2196969696969697
181,B,20,0.15151515151515152
181,A+C,18,0.13636363636363635
181,A,15,0.11363636363636363
181,A+B,12,0.09090909090909091
181,A+B+C,3,0.022727272727272728
181,grundzustand,1,0.007575757575757576
193,C,33,0.2661290322580645
193,B+C,28,0.22580645161290322
193,B,20,0.16129032258064516
193,A+C,15,0.12096774193548387
193,A,14,0.11290322580645161
193,A+B,10,0.08064516129032258
193,A+B+C,3,0.024193548387096774
193,grundzustand,1,0.008064516129032258
229,C,26,0.2708333333333333
229,B+C,20,0.20833333333333334
229,B,17,0.17708333333333334
229,A+C,12,0.125
229,A,11,0.11458333333333333
229,A+B,8,0.08333333333333333
229,A+B+C,1,0.010416666666666666
229,grundzustand,1,0.010416666666666666
241,C,24,0.26373626373626374
241,B+C,19,0.2087912087912088
241,B,16,0.17582417582417584
241,A+C,12,0.13186813186813187
