e,state_key,count
13,5·5 | 7·7 | 11·11,1
13,5·5 | 7·7 | 191·239,1
13,5·5 | 7·19 | 11·1523,1
13,5·5 | 7·7 | 23·1979,1
13,5·29 | 7·7 | 47·167,1
37,5·5 | 7·7 | 11·11,1
37,5·5 | 43·151 | 11·11,1
37,5·5 | 19·79 | 11·47,1
37,5·5 | 7·7 | 83·191,1
37,29·113 | 7·7 | 11·11,1
61,5·5 | 7·7 | 11·11,1
61,5·5 | 7·571 | 11·11,1
61,5·17 | 7·31 | 11·59,1
61,5·5 | 7·31 | 47·47,1
61,5·149 | 7·19 | 11·11,1
73,5·5 | 7·7 | 11·11,1
73,5·5 | 7·523 | 11·11,1
73,5·29 | 7·7 | 11·131,1
73,5·5 | 7·43 | 23·59,1
73,5·29 | 7·19 | 23·23,1
97,5·5 | 7·7 | 11·11,1
97,5·5 | 7·7 | 47·131,1
97,5·29 | 7·7 | 23·47,1
97,5·17 | 7·7 | 11·167,1
97,5·257 | 7·7 | 11·11,1
109,5·5 | 7·7 | 11·11,1
109,5·41 | 7·19 | 11·23,1
109,5·5 | 7·7 | 11·479,1
109,5·17 | 7·43 | 11·23,1
109,5·29 | 7·7 | 11·83,1
157,5·5 | 7·7 | 11·11,1
157,5·5 | 19·19 | 11·47,1
157,5·5 | 7·7 | 11·347,1
157,5·5 | 7·7 | 23·167,1
157,5·5 | 7·223 | 11·11,1
181,5·5 | 7·7 | 11·11,1
181,5·5 | 19·67 | 11·11,1
181,5·5 | 7·211 | 11·11,1
181,5·149 | 7·7 | 11·11,1
181,5·53 | 7·19 | 11·11,1
193,5·5 | 7·7 | 11·11,1
193,5·17 | 19·19 | 11·11,1
193,5·5 | 7·7 | 11·311,1
193,17·41 | 7·7 | 11·11,1
193,5·5 | 7·7 | 47·71,1
229,5·5 | 7·7 | 11·11,1
229,5·5 | 7·7 | 11·23,1
229,5·5 | 7·163 | 11·11,1
229,5·5 | 7·7 | 47·59,1
229,5·5 | 7·7 | 11·251,1
241,5·5 | 7·7 | 11·11,1
241,5·5 | 7·7 | 11·251,1
241,5·41 | 7·19 | 11·11,1
241,5·53 | 7·7 | 11·23,1
241,5·17 | 7·7 | 11·71,1
277,5·5 | 7·7 | 11·11,1
277,5·17 | 7·7 | 11·59,1
277,5·5 | 7·139 | 11·11,1
277,17·29 | 7·7 | 11·11,1
277,5·5 | 31·31 | 11·11,1
313,5·5 | 7·7 | 11·11,1
313,5·89 | 7·7 | 11·11,1
313,5·5 | 7·19 | 11·59,1
313,5·5 | 7·103 | 11·11,1
313,5·17 | 7·7 | 23·23,1
337,5·5 | 7·7 | 11·11,1
337,5·29 | 7·7 | 11·23,1
337,5·5 | 7·7 | 23·71,1
337,5·17 | 7·7 | 11·47,1
337,5·5 | 7·19 | 11·59,1
349,5·5 | 7·7 | 11·11,1
349,5·5 | 7·7 | 11·23,1
349,5·5 | 19·31 | 11·11,1
349,5·29 | 7·7 | 11·23,1
349,5·5 | 7·43 | 11·23,1
373,5·5 | 7·7 | 11·11,1
373,5·17 | 7·7 | 23·23,1
373,5·5 | 7·19 | 23·23,1
373,5·5 | 7·7 | 11·131,1
373,5·5 | 19·31 | 11·11,1
397,5·5 | 7·7 | 11·11,1
