family,prime,occurrences,first_n,first_shell,first_e,first_partner_in_family,first_partner_type,double_share_overall,top_shells (3),top_e (5),top_other_pairs (5)
A,269,27,103668565,S4,13,5,baseline,0.0,"S4×6, S8×6, S10×5","13×20, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×9, 7·7 | 11·23×3, 7·19 | 11·11×3, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,281,25,108293185,S4,13,5,baseline,0.0,"S4×6, S8×6, S9×5","13×18, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×9, 7·7 | 11·23×3, 7·19 | 11·11×3, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,293,23,112917805,S4,13,5,baseline,0.0,"S4×6, S8×5, S9×4","13×16, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×9, 7·7 | 11·23×3, 7·19 | 11·11×2, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,317,21,122167045,S5,13,5,baseline,0.0,"S5×5, S9×5, S7×3","13×15, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×7, 7·7 | 11·23×3, 7·19 | 11·11×2, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,353,17,136040905,S5,13,5,baseline,0.0,"S5×4, S8×4, S9×3","13×13, 37×2, 61×1, 73×1","7·7 | 11·11×6, 7·7 | 11·23×3, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,389,16,149914765,S5,13,5,baseline,0.0,"S5×4, S10×4, S7×3","13×12, 37×2, 61×1, 73×1","7·7 | 11·11×6, 7·7 | 11·23×2, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,401,16,154539385,S5,13,5,baseline,0.0,"S5×4, S9×4, S10×4","13×12, 37×2, 61×1, 73×1","7·7 | 11·11×6, 7·7 | 11·23×2, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,449,12,173037865,S5,13,5,baseline,0.0,"S5×4, S9×3, S8×2","13×9, 37×1, 61×1, 73×1","7·7 | 11·11×5, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,461,11,177662485,S5,13,5,baseline,0.0,"S5×4, S9×3, S8×2","13×8, 37×1, 61×1, 73×1","7·7 | 11·11×5, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,509,9,196160965,S6,13,5,baseline,0.0,"S6×3, S10×3, S7×1","13×7, 37×1, 61×1","7·7 | 11·11×4, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,521,9,200785585,S6,13,5,baseline,0.0,"S6×3, S10×3, S7×1","13×7, 37×1, 61×1","7·7 | 11·11×4, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,557,8,214659445,S6,13,5,baseline,0.0,"S10×3, S6×2, S7×1","13×7, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,569,8,219284065,S6,13,5,baseline,0.0,"S10×3, S6×2, S8×2","13×7, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,593,7,228533305,S6,13,5,baseline,0.0,"S6×2, S8×2, S10×2","13×6, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1"
A,617,5,237782545,S6,13,5,baseline,0.0,"S6×2, S8×2, S9×1","13×4, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,641,5,247031785,S6,13,5,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,653,5,251656405,S6,13,5,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,677,5,260905645,S6,13,5,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,701,5,270154885,S6,13,5,baseline,0.0,"S6×2, S8×1, S9×1","13×4, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,761,5,293277985,S7,13,5,baseline,0.0,"S7×2, S8×1, S9×1","13×4, 37×1","7·7 | 11·11×3, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,773,4,297902605,S7,13,5,baseline,0.0,"S7×2, S8×1, S9×1","13×3, 37×1","7·7 | 11·11×2, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,797,4,307151845,S7,13,5,baseline,0.0,"S7×2, S8×1, S10×1","13×3, 37×1","7·7 | 11·11×2, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,809,4,311776465,S7,13,5,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","7·7 | 11·11×2, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,821,4,316401085,S7,13,5,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","7·7 | 11·11×2, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,857,4,330274945,S7,13,5,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","7·7 | 11·11×2, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,881,4,339524185,S7,13,5,baseline,0.0,"S7×2, S9×1, S10×1","13×3, 37×1","7·7 | 11·11×2, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,929,3,358022665,S7,13,5,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"7·7 | 11·11×1, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,941,3,362647285,S7,13,5,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"7·7 | 11·11×1, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,953,3,367271905,S7,13,5,baseline,0.0,"S7×1, S9×1, S10×1",13×3,"7·7 | 11·11×1, 7·7 | 11·23×1, 7·19 | 11·11×1"
A,977,2,376521145,S7,13,5,baseline,0.0,"S7×1, S9×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1013,2,390395005,S7,13,5,baseline,0.0,"S7×1, S9×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1049,2,404268865,S7,13,5,baseline,0.0,"S7×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1061,2,408893485,S7,13,5,baseline,0.0,"S7×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1097,2,422767345,S7,13,5,baseline,0.0,"S7×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1109,2,427391965,S7,13,5,baseline,0.0,"S7×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1181,2,455139685,S8,13,5,baseline,0.0,"S8×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1193,2,459764305,S8,13,5,baseline,0.0,"S8×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1217,2,469013545,S8,13,5,baseline,0.0,"S8×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1229,2,473638165,S8,13,5,baseline,0.0,"S8×1, S10×1",13×2,"7·7 | 11·11×1, 7·7 | 11·23×1"
A,1277,1,492136645,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1289,1,496761265,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1301,1,501385885,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1361,1,524508985,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1373,1,529133605,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1409,1,543007465,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1433,1,552256705,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1481,1,570755185,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1493,1,575379805,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1553,1,598502905,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1601,1,617001385,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1613,1,621626005,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1637,1,630875245,S8,13,5,baseline,0.0,S8×1,13×1,7·7 | 11·11×1
A,1697,1,653998345,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1709,1,658622965,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1721,1,663247585,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1733,1,667872205,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1877,1,723367645,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1889,1,727992265,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1901,1,732616885,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1913,1,737241505,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1949,1,751115365,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1973,1,760364605,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,1997,1,769613845,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2069,1,797361565,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2081,1,801986185,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2129,1,820484665,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2141,1,825109285,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2153,1,829733905,S9,13,5,baseline,0.0,S9×1,13×1,7·7 | 11·11×1
A,2213,1,852857005,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2237,1,862106245,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2273,1,875980105,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2297,1,885229345,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2309,1,889853965,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2333,1,899103205,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2357,1,908352445,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2381,1,917601685,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2393,1,922226305,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2417,1,931475545,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2441,1,940724785,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2477,1,954598645,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
A,2549,1,982346365,S10,13,5,baseline,0.0,S10×1,13×1,7·7 | 11·11×1
