family,prime,cluster
A,233,1
A,257,1
A,269,1
A,281,1
A,293,1
A,317,1
A,353,1
A,389,1
A,401,1
A,449,1
A,461,1
A,509,1
A,521,1
A,557,1
A,569,1
A,593,1
A,617,1
A,641,1
A,653,1
A,677,1
A,701,1
A,761,1
A,773,1
A,797,1
A,809,1
A,821,1
A,857,1
A,881,1
A,929,1
A,941,1
A,953,1
A,977,1
A,1013,1
A,1049,1
A,1061,1
A,1097,1
A,1109,1
A,1181,1
A,1193,1
A,1217,1
A,1229,1
A,1277,1
A,1289,1
A,1301,1
A,1361,1
A,1373,1
A,1409,1
A,1433,1
A,1481,1
A,1493,1
A,1553,1
A,1601,1
A,1613,1
A,1637,1
A,1697,1
A,1709,1
A,1721,1
A,1733,1
A,1877,1
A,1889,1
A,1901,1
A,1913,1
A,1949,1
A,1973,1
A,1997,1
A,2069,1
A,2081,1
A,2129,1
A,2141,1
A,2153,1
A,2213,1
A,2237,1
A,2273,1
A,2297,1
A,2309,1
A,2333,1
A,2357,1
A,2381,1
A,2393,1
A,2417,1
A,2441,1
A,2477,1
A,2549,1
A,5,2
A,17,2
A,29,2
A,41,2
A,53,2
A,89,2
A,101,2
A,113,2
A,137,2
A,149,2
A,173,2
A,197,2
