family,prime,cluster
B,7,1
B,19,1
B,31,1
B,43,1
B,67,1
B,79,1
B,103,1
B,127,1
B,139,1
B,151,1
B,163,1
B,199,1
B,1747,1
B,1759,1
B,1783,1
B,1831,1
B,1867,1
B,1879,1
B,1951,1
B,1987,1
B,1999,1
B,2011,1
B,2083,1
B,2131,1
B,2143,1
B,2179,1
B,2203,1
B,2239,1
B,2251,1
B,2287,1
B,2311,1
B,2347,1
B,2371,1
B,2383,1
B,2467,1
B,2503,1
B,2539,1
B,2551,1
B,2647,1
B,2659,1
B,2671,1
B,2683,1
B,2707,1
B,2719,1
B,2731,1
B,2767,1
B,2791,1
B,2803,1
B,2851,1
B,2887,1
B,2971,1
B,3019,1
B,3067,1
B,3079,1
B,3163,1
B,3187,1
B,3259,1
B,3271,1
B,3307,1
B,3319,1
B,3331,1
B,3343,1
B,3391,1
B,3463,1
B,3499,1
B,3511,1
B,3547,1
B,3559,1
B,3571,1
B,3583,1
B,3607,1
B,3631,1
B,211,2
B,223,2
B,271,2
B,283,2
B,307,2
B,331,2
B,367,2
B,379,2
B,439,2
B,463,2
B,487,2
B,499,2
B,523,2
B,547,2
B,571,2
B,607,2
B,619,2
B,631,2
B,643,2
B,691,2
B,727,2
B,739,2
B,751,2
B,787,2
B,811,2
B,823,2
B,859,2
B,883,2
B,907,2
B,919,2
B,967,2
B,991,2
B,1039,2
B,1051,2
B,1063,2
B,1087,2
B,1123,2
B,1171,2
B,1231,2
B,1279,2
B,1291,2
B,1303,2
B,1327,2
B,1399,2
B,1423,2
B,1447,2
B,1459,2
B,1471,2
B,1483,2
B,1531,2
B,1543,2
B,1567,2
B,1579,2
B,1627,2
B,1663,2
B,1699,2
B,1723,2
