family,prime,cluster
C,311,1
C,347,1
C,359,1
C,383,1
C,419,1
C,431,1
C,443,1
C,467,1
C,479,1
C,491,1
C,503,1
C,563,1
C,587,1
C,599,1
C,647,1
C,659,1
C,683,1
C,719,1
C,743,1
C,827,1
C,839,1
C,863,1
C,887,1
C,911,1
C,947,1
C,971,1
C,983,1
C,1019,1
C,1031,1
C,1091,1
C,1103,1
C,1151,1
C,1163,1
C,1187,1
C,1223,1
C,1259,1
C,1283,1
C,1307,1
C,1319,1
C,1367,1
C,1427,1
C,1439,1
C,1451,1
C,1487,1
C,1499,1
C,1511,1
C,1523,1
C,1559,1
C,1571,1
C,1583,1
C,1607,1
C,1619,1
C,1667,1
C,1787,1
C,1811,1
C,1823,1
C,1847,1
C,1871,1
C,1907,1
C,1931,1
C,1979,1
C,2003,1
C,2027,1
C,2039,1
C,2063,1
C,2087,1
C,2099,1
C,11,2
C,23,2
C,47,2
C,59,2
C,71,2
C,83,2
C,107,2
C,131,2
C,167,2
C,179,2
C,191,2
C,227,2
C,239,2
C,251,2
C,263,2
