a,b,total,k,entropy,entropy_norm
353,7,60,5,0.8898889612393519,0.5529190994969737
5,487,62,5,0.8717223991772507,0.5416315798469449
5,499,62,5,0.8717223991772507,0.5416315798469449
5,523,60,5,0.8661932637937072,0.5381961348752397
5,547,60,5,0.8661932637937072,0.5381961348752397
173,7,168,8,1.1161046186821766,0.5367328661620147
5,307,122,7,1.0170132960686964,0.5226414470176995
281,7,84,6,0.9330583715884186,0.5207497923760989
197,7,144,8,1.0771693316394286,0.5180089509846276
317,7,70,6,0.9278504889893269,0.5178432177557144
269,7,88,6,0.9225711272342081,0.5148967498587743
137,7,248,11,1.233783591189492,0.5145277215337486
5,283,152,8,1.0665842338248412,0.5129185949431511
5,223,214,10,1.179433554573389,0.5122214845227606
5,271,156,8,1.0649451763348459,0.512130374905635
149,7,212,11,1.2220513342853316,0.5096349903802029
5,211,218,10,1.1711687645454856,0.5086321318195531
29,43,102,8,1.048528547817747,0.5042356453890567
5,379,94,6,0.8999100762957135,0.5022493765211814
101,7,398,15,1.3531046823554536,0.49966011774993063
257,7,100,7,0.9714528358485752,0.49922800203297635
5,463,74,6,0.8942630576224462,0.49909771539129755
113,7,334,14,1.3066197481789616,0.49510851223889496
5,367,104,7,0.9610583005535066,0.4938862675751367
5,163,334,13,1.2645511876880218,0.4930121462279142
5,199,246,11,1.1786716041085172,0.49154423776522743
5,439,76,6,0.8784182388148707,0.49025455363901066
5,139,420,15,1.325283365709663,0.4893865575941894
89,7,464,16,1.3553870937443464,0.4888525596574683
5,331,106,7,0.9490240071248175,0.4877018641305422
17,67,130,9,1.0710278483180835,0.48744578017442897
5,127,476,16,1.3497158409886862,0.4868070876009136
233,7,104,7,0.9464340885014038,0.48637090924309734
5,103,656,19,1.4190819241744363,0.48195324617532853
293,7,78,6,0.8631609467447316,0.48173929680226996
17,79,98,8,1.0014100223148885,0.48157642436339865
41,31,98,8,1.0014100223148885,0.48157642436339865
5,151,374,15,1.3038178521040011,0.4814600008424257
53,7,962,26,1.562090675219475,0.4794488613182939
5,79,934,26,1.553385751817544,0.4767770794050369
5,67,1186,28,1.5690089590811256,0.4708621437519838
41,7,1376,32,1.6218698399940465,0.4679727150253575
5,43,2138,39,1.695817776475891,0.4628877415690358
29,31,182,11,1.1090180192915666,0.46249643671774293
5,7,30684,188,2.4155064086227624,0.46128772662217027
5,31,3446,52,1.8199632788440068,0.46060516851575245
29,7,2208,42,1.7199898253784824,0.46017706245755263
53,19,162,11,1.0990861525261177,0.4583545265692408
17,7,4796,68,1.915104042793967,0.4538690711346947
5,19,6882,82,1.982178536819034,0.4498082191302737
17,31,440,18,1.2966815441608026,0.44862102621173805
41,43,62,7,0.867162565085114,0.44563340476234115
17,43,258,15,1.1997124629319371,0.44301706904976845
41,19,244,14,1.167957525233482,0.44256618154019245
29,19,422,18,1.2779824274179625,0.4421515758056592
17,103,66,7,0.8561199607769155,0.4399586287129129
53,31,66,7,0.8561199607769155,0.4399586287129129
17,19,936,29,1.4747301080622655,0.43795680050724534
89,19,68,7,0.8389662543335394,0.4311433674061646
