a,c,total,k,entropy,entropy_norm
317,11,64,4,0.6734031273095723,0.48575767614431964
5,599,86,4,0.669909289002433,0.4832374045446307
269,11,82,5,0.7650876506295557,0.4753756853362822
197,11,126,6,0.8503402992659219,0.4745839572050788
281,11,76,4,0.6476709397916752,0.46719582648267216
5,419,144,6,0.8317870655844534,0.4642292003305627
5,431,144,6,0.8317870655844534,0.4642292003305627
5,443,144,6,0.8317870655844534,0.4642292003305627
5,587,92,5,0.7402869099693231,0.45996611876112664
5,719,74,4,0.6356986961027334,0.4585596781834969
149,11,182,7,0.8918491689986756,0.45831980959225904
5,683,76,4,0.624407399168227,0.4504147291371883
293,11,72,4,0.6221894647285108,0.4488148276285906
257,11,90,5,0.7179737352393522,0.44610216380046297
173,11,142,7,0.8671113040471514,0.445607061799904
5,359,186,7,0.8603448658866129,0.44212980044545586
5,383,162,7,0.8541200967865328,0.43893090192329026
5,743,70,4,0.6068693039440619,0.4377636676339176
137,11,212,8,0.9074928537411804,0.43641181324485817
5,347,196,7,0.847661559257842,0.4356118701931632
5,647,80,4,0.6030809768498275,0.435030967277859
5,659,80,4,0.6030809768498275,0.435030967277859
5,563,100,5,0.6987202290284016,0.4341392877788389
5,491,110,6,0.7770039249034345,0.4336541473606341
233,11,94,5,0.6966883200275852,0.43287679173278554
5,263,302,10,0.9896763251054634,0.42981096686359144
5,311,232,8,0.8920096764070409,0.4289659788591357
113,11,290,10,0.9829916646404161,0.42690785571022455
89,11,404,12,1.0592801559070213,0.4262856940712013
5,503,106,6,0.760549798543216,0.4244709245883792
5,467,132,6,0.7601047280272715,0.4242225260038659
89,23,100,6,0.7558601046678332,0.4218535566012557
5,251,314,10,0.9690060703364507,0.4208339892778748
101,11,336,11,1.0087370344174345,0.4206760177813049
5,227,364,11,1.004459138195901,0.4188919964897741
5,239,340,11,1.0036198474551719,0.4185419850650676
5,191,454,12,1.0399521647946275,0.41850753825434484
29,71,86,6,0.7466747169647132,0.4167270941151513
5,131,786,16,1.1534651764725155,0.41602462248375277
41,11,1164,21,1.2571803573334652,0.41293187455486
5,479,118,6,0.7396108373733717,0.41278466785054513
29,59,128,7,0.8029163324068813,0.41261737228549605
53,11,804,18,1.1853042187505327,0.4100871161339082
5,83,1468,22,1.2618052753147626,0.4082135054288409
5,107,1020,19,1.2013869336695038,0.4080189612248687
5,179,512,14,1.0745076076608409,0.4071558414449036
5,167,566,14,1.0744441154298616,0.40713178276672835
17,107,116,7,0.7917637352086475,0.4068860710722062
29,11,1862,29,1.3629807199806934,0.4047701148925095
5,71,1782,26,1.3164904755220137,0.404067362694375
5,59,2328,31,1.3802696840329474,0.4019437469744124
5,11,24552,129,1.9505170744154479,0.4013564541431399
41,47,98,7,0.7775020879749628,0.39955703419935346
113,23,70,5,0.6424537774624469,0.3991789757772049
29,47,184,9,0.8766889458131404,0.3989983340146251
17,131,88,6,0.713458409428736,0.39818871990452814
5,47,3154,38,1.4388695531309224,0.39555614353864604
17,167,64,5,0.6364903205038976,0.3954736716381156
17,11,3950,47,1.5130965863929406,0.39299703359967103
5,23,8450,69,1.6639184179865492,0.39297982140503995
29,23,556,16,1.084351265882987,0.39109704846776383
17,83,174,9,0.8554160258703151,0.3893166109161991
17,23,1236,24,1.216120450823257,0.3826620050328447
29,83,68,6,0.6838112333279385,0.3816423158754369
41,59,68,6,0.6838112333279385,0.3816423158754369
53,47,64,6,0.6813467928166924,0.38026688543760706
17,59,296,12,0.944650087663668,0.38015516105776476
101,23,90,6,0.6795761643567751,0.3792786788784532
41,23,326,13,0.9726903349720023,0.37922399213941926
17,47,420,14,0.9872874129251377,0.37410608774803383
53,23,232,11,0.8903524766968617,0.37130582256739275
17,71,228,11,0.8874957387071594,0.3701144702918747
