b,c,total,k,entropy,entropy_norm
211,11,170,5,0.6276080605459856,0.3899548132284249
307,11,102,5,0.623393520286049,0.3873361721318183
7,491,104,5,0.6148741933039638,0.38204281665891243
7,467,124,5,0.5996327677498645,0.372572786509661
7,587,84,4,0.5070370492068906,0.3657499182188772
163,11,262,7,0.7084654106983235,0.36407920018417306
283,11,120,5,0.5858875715818641,0.3640324159481074
331,11,90,5,0.5858844302249261,0.3640304641132999
7,479,112,5,0.5831949803469416,0.3623594149493611
223,11,164,5,0.5811281684009488,0.36107523248415063
7,419,130,5,0.5794385542004247,0.360025416155437
7,431,130,5,0.5794385542004247,0.360025416155437
7,443,130,5,0.5794385542004247,0.360025416155437
271,11,122,5,0.5789232816207244,0.3597052593008485
367,11,86,4,0.49846859531338844,0.3595690852487566
199,11,194,6,0.6382926631247238,0.35623791813960376
7,251,284,8,0.7388648445079478,0.3553188823529371
7,311,208,6,0.6365603186972196,0.3552710783057669
7,227,326,8,0.7383825145031135,0.3550869306509217
139,11,322,8,0.7347220902897535,0.35332663869753356
127,11,368,9,0.7716556389478397,0.3511956160090598
7,383,146,5,0.5644194643350011,0.3506935309367591
7,239,304,8,0.7276612260189858,0.34993108074159135
151,11,292,8,0.7199124216224476,0.34620469351635663
7,347,174,5,0.5569334749264818,0.3460422241975028
7,359,164,5,0.5538802970781885,0.34414517813893464
7,167,510,10,0.7923191382937763,0.3440998296673265
7,11,20662,95,1.5669515385148831,0.3440917652835692
7,263,266,7,0.6692724413085895,0.3439379981822404
103,11,502,11,0.8216512666618139,0.34265519265273736
7,191,408,10,0.7885712432397167,0.34247213952659594
7,563,92,4,0.47456747602627386,0.34232807211514865
7,683,70,4,0.47420812719914446,0.34206885672972426
7,503,98,5,0.5502163467478804,0.341868637800223
7,599,78,4,0.47243796641239716,0.34079195563541603
379,11,78,4,0.47243796641239716,0.34079195563541603
7,107,898,14,0.8966489627280624,0.33976107781591186
7,131,690,12,0.8417243056761732,0.33873477933184526
139,23,88,5,0.5449170216241986,0.3385759819712901
7,83,1296,18,0.9781632074044955,0.3384212445102488
7,71,1566,21,1.0255966335794409,0.33686617673487823
43,11,1562,21,1.0255209590494643,0.33684132077420637
79,11,682,12,0.8362618393953762,0.336536521187515
7,179,456,10,0.7733925034191831,0.335880096580293
439,11,64,4,0.46322139812821145,0.33414360695661144
7,47,2734,28,1.110945909989339,0.333396676763674
67,11,876,15,0.9019129409670278,0.3330488262735816
31,11,2468,27,1.0937579474807868,0.33186046274395614
19,167,82,5,0.5328419707466864,0.331073331024507
7,59,2008,23,1.0378344527011254,0.3309954926494996
19,11,4890,43,1.2428147423166935,0.33043036905456424
7,23,7228,53,1.3099458604532854,0.3299369137019724
67,23,256,8,0.6856198483319642,0.32971345170785604
43,47,154,6,0.5886984733405457,0.3285588738058547
7,647,74,4,0.4549437534681774,0.3281725485059753
7,659,74,4,0.4549437534681774,0.3281725485059753
19,179,74,5,0.52312065565814,0.3250331383501317
19,131,122,5,0.5179917631734275,0.32184637827377954
103,23,132,5,0.5135577161175473,0.31909134993648
127,23,96,5,0.5111625767571085,0.3176031661787006
19,191,64,5,0.5109630170575021,0.3174791727658049
19,107,162,6,0.5673977966949139,0.31667073981719557
79,23,202,7,0.609182536770067,0.3130578958467371
67,47,82,5,0.5035873967076165,0.3128964421783722
19,71,300,9,0.6857038736443597,0.3120772818205343
31,107,72,5,0.5021099443211262,0.3119784493964973
19,23,1564,22,0.9640438236184663,0.31188307445310703
31,23,772,15,0.836040186941576,0.3087240356922842
31,71,136,6,0.5531099708648142,0.30869655239110355
43,83,60,5,0.494833747843067,0.3074574943339595
43,71,84,5,0.49465408368144714,0.3073458627138567
19,59,404,11,0.7345822114628017,0.3063445763440436
19,83,242,8,0.6369272048296986,0.3062972399383584
43,23,478,12,0.7573981122004062,0.3047994226523655
163,23,68,5,0.4885097155364518,0.30352815213457585
31,83,106,5,0.4870893920328344,0.3026456555234023
31,47,268,9,0.6630157857425548,0.30175148802784396
19,47,546,12,0.7495577037769336,0.3016442101923153
43,59,110,5,0.48522278293540577,0.30148586608200306
31,59,186,7,0.5829838837924329,0.29959445150921066
151,23,70,5,0.47807350726412795,0.2970437713506411
