u,v,weight,contexts
5,17,282.01044213602785,81
5,29,282.01044213602785,81
5,41,282.01044213602785,81
17,29,282.01044213602785,81
17,41,282.01044213602785,81
29,41,282.01044213602785,81
5,53,241.97657377424687,72
17,53,241.97657377424687,72
29,53,241.97657377424687,72
41,53,241.97657377424687,72
5,89,125.38865740251552,41
17,89,125.38865740251552,41
29,89,125.38865740251552,41
41,89,125.38865740251552,41
53,89,125.38865740251552,41
5,101,106.26279087262486,36
17,101,106.26279087262486,36
29,101,106.26279087262486,36
41,101,106.26279087262486,36
53,101,106.26279087262486,36
89,101,106.26279087262486,36
5,113,91.69905178183993,32
17,113,91.69905178183993,32
29,113,91.69905178183993,32
41,113,91.69905178183993,32
53,113,91.69905178183993,32
89,113,91.69905178183993,32
101,113,91.69905178183993,32
5,137,66.8261419819987,25
17,137,66.8261419819987,25
29,137,66.8261419819987,25
41,137,66.8261419819987,25
53,137,66.8261419819987,25
89,137,66.8261419819987,25
101,137,66.8261419819987,25
113,137,66.8261419819987,25
5,149,58.38912614786103,22
17,149,58.38912614786103,22
29,149,58.38912614786103,22
41,149,58.38912614786103,22
53,149,58.38912614786103,22
89,149,58.38912614786103,22
101,149,58.38912614786103,22
113,149,58.38912614786103,22
137,149,58.38912614786103,22
5,173,47.98066236790989,19
17,173,47.98066236790989,19
29,173,47.98066236790989,19
41,173,47.98066236790989,19
53,173,47.98066236790989,19
89,173,47.98066236790989,19
101,173,47.98066236790989,19
113,173,47.98066236790989,19
137,173,47.98066236790989,19
149,173,47.98066236790989,19
5,197,42.602914812370486,17
17,197,42.602914812370486,17
29,197,42.602914812370486,17
41,197,42.602914812370486,17
53,197,42.602914812370486,17
89,197,42.602914812370486,17
101,197,42.602914812370486,17
113,197,42.602914812370486,17
137,197,42.602914812370486,17
149,197,42.602914812370486,17
173,197,42.602914812370486,17
5,233,30.881145600526654,13
5,257,30.881145600526654,13
17,233,30.881145600526654,13
17,257,30.881145600526654,13
29,233,30.881145600526654,13
29,257,30.881145600526654,13
41,233,30.881145600526654,13
41,257,30.881145600526654,13
53,233,30.881145600526654,13
53,257,30.881145600526654,13
89,233,30.881145600526654,13
89,257,30.881145600526654,13
101,233,30.881145600526654,13
101,257,30.881145600526654,13
113,233,30.881145600526654,13
113,257,30.881145600526654,13
137,233,30.881145600526654,13
137,257,30.881145600526654,13
149,233,30.881145600526654,13
149,257,30.881145600526654,13
173,233,30.881145600526654,13
173,257,30.881145600526654,13
197,233,30.881145600526654,13
197,257,30.881145600526654,13
233,257,30.881145600526654,13
5,269,27.528338480980626,12
17,269,27.528338480980626,12
29,269,27.528338480980626,12
41,269,27.528338480980626,12
53,269,27.528338480980626,12
89,269,27.528338480980626,12
101,269,27.528338480980626,12
113,269,27.528338480980626,12
137,269,27.528338480980626,12
149,269,27.528338480980626,12
173,269,27.528338480980626,12
197,269,27.528338480980626,12
233,269,27.528338480980626,12
257,269,27.528338480980626,12
5,281,22.47990298221776,10
5,293,22.47990298221776,10
5,317,22.47990298221776,10
17,281,22.47990298221776,10
17,293,22.47990298221776,10
17,317,22.47990298221776,10
29,281,22.47990298221776,10
29,293,22.47990298221776,10
29,317,22.47990298221776,10
41,281,22.47990298221776,10
41,293,22.47990298221776,10
41,317,22.47990298221776,10
53,281,22.47990298221776,10
53,293,22.47990298221776,10
53,317,22.47990298221776,10
89,281,22.47990298221776,10
89,293,22.47990298221776,10
89,317,22.47990298221776,10
101,281,22.47990298221776,10
101,293,22.47990298221776,10
101,317,22.47990298221776,10
113,281,22.47990298221776,10
113,293,22.47990298221776,10
113,317,22.47990298221776,10
137,281,22.47990298221776,10
137,293,22.47990298221776,10
137,317,22.47990298221776,10
149,281,22.47990298221776,10
149,293,22.47990298221776,10
149,317,22.47990298221776,10
173,281,22.47990298221776,10
173,293,22.47990298221776,10
173,317,22.47990298221776,10
197,281,22.47990298221776,10
197,293,22.47990298221776,10
197,317,22.47990298221776,10
233,281,22.47990298221776,10
233,293,22.47990298221776,10
233,317,22.47990298221776,10
257,281,22.47990298221776,10
257,293,22.47990298221776,10
257,317,22.47990298221776,10
269,281,22.47990298221776,10
269,293,22.47990298221776,10
269,317,22.47990298221776,10
281,293,22.47990298221776,10
281,317,22.47990298221776,10
293,317,22.47990298221776,10
5,353,19.61327596989565,9
5,389,19.61327596989565,9
5,401,19.61327596989565,9
17,353,19.61327596989565,9
17,389,19.61327596989565,9
17,401,19.61327596989565,9
29,353,19.61327596989565,9
29,389,19.61327596989565,9
29,401,19.61327596989565,9
41,353,19.61327596989565,9
41,389,19.61327596989565,9
41,401,19.61327596989565,9
53,353,19.61327596989565,9
53,389,19.61327596989565,9
53,401,19.61327596989565,9
89,353,19.61327596989565,9
89,389,19.61327596989565,9
89,401,19.61327596989565,9
101,353,19.61327596989565,9
101,389,19.61327596989565,9
101,401,19.61327596989565,9
113,353,19.61327596989565,9
113,389,19.61327596989565,9
113,401,19.61327596989565,9
137,353,19.61327596989565,9
137,389,19.61327596989565,9
137,401,19.61327596989565,9
149,353,19.61327596989565,9
149,389,19.61327596989565,9
149,401,19.61327596989565,9
173,353,19.61327596989565,9
173,389,19.61327596989565,9
173,401,19.61327596989565,9
197,353,19.61327596989565,9
197,389,19.61327596989565,9
197,401,19.61327596989565,9
233,353,19.61327596989565,9
233,389,19.61327596989565,9
233,401,19.61327596989565,9
257,353,19.61327596989565,9
257,389,19.61327596989565,9
257,401,19.61327596989565,9
269,353,19.61327596989565,9
269,389,19.61327596989565,9
269,401,19.61327596989565,9
281,353,19.61327596989565,9
281,389,19.61327596989565,9
281,401,19.61327596989565,9
293,353,19.61327596989565,9
293,389,19.61327596989565,9
293,401,19.61327596989565,9
317,353,19.61327596989565,9
317,389,19.61327596989565,9
317,401,19.61327596989565,9
353,389,19.61327596989565,9
353,401,19.61327596989565,9
389,401,19.61327596989565,9
5,449,14.595758942199794,7
17,449,14.595758942199794,7
29,449,14.595758942199794,7
41,449,14.595758942199794,7
53,449,14.595758942199794,7
89,449,14.595758942199794,7
101,449,14.595758942199794,7
113,449,14.595758942199794,7
137,449,14.595758942199794,7
149,449,14.595758942199794,7
173,449,14.595758942199794,7
197,449,14.595758942199794,7
233,449,14.595758942199794,7
257,449,14.595758942199794,7
269,449,14.595758942199794,7
281,449,14.595758942199794,7
293,449,14.595758942199794,7
317,449,14.595758942199794,7
353,449,14.595758942199794,7
389,449,14.595758942199794,7
401,449,14.595758942199794,7
5,461,12.484135009538932,6
17,461,12.484135009538932,6
29,461,12.484135009538932,6
41,461,12.484135009538932,6
53,461,12.484135009538932,6
89,461,12.484135009538932,6
101,461,12.484135009538932,6
113,461,12.484135009538932,6
137,461,12.484135009538932,6
149,461,12.484135009538932,6
173,461,12.484135009538932,6
197,461,12.484135009538932,6
233,461,12.484135009538932,6
257,461,12.484135009538932,6
269,461,12.484135009538932,6
281,461,12.484135009538932,6
293,461,12.484135009538932,6
317,461,12.484135009538932,6
353,461,12.484135009538932,6
389,461,12.484135009538932,6
401,461,12.484135009538932,6
449,461,12.484135009538932,6
5,509,9.85710358961721,5
5,521,9.85710358961721,5
5,557,9.85710358961721,5
5,569,9.85710358961721,5
17,509,9.85710358961721,5
17,521,9.85710358961721,5
17,557,9.85710358961721,5
17,569,9.85710358961721,5
29,509,9.85710358961721,5
29,521,9.85710358961721,5
29,557,9.85710358961721,5
29,569,9.85710358961721,5
41,509,9.85710358961721,5
41,521,9.85710358961721,5
41,557,9.85710358961721,5
41,569,9.85710358961721,5
53,509,9.85710358961721,5
53,521,9.85710358961721,5
53,557,9.85710358961721,5
53,569,9.85710358961721,5
89,509,9.85710358961721,5
89,521,9.85710358961721,5
89,557,9.85710358961721,5
89,569,9.85710358961721,5
101,509,9.85710358961721,5
101,521,9.85710358961721,5
101,557,9.85710358961721,5
101,569,9.85710358961721,5
113,509,9.85710358961721,5
113,521,9.85710358961721,5
113,557,9.85710358961721,5
113,569,9.85710358961721,5
137,509,9.85710358961721,5
137,521,9.85710358961721,5
137,557,9.85710358961721,5
137,569,9.85710358961721,5
149,509,9.85710358961721,5
149,521,9.85710358961721,5
149,557,9.85710358961721,5
149,569,9.85710358961721,5
173,509,9.85710358961721,5
173,521,9.85710358961721,5
173,557,9.85710358961721,5
173,569,9.85710358961721,5
197,509,9.85710358961721,5
197,521,9.85710358961721,5
197,557,9.85710358961721,5
197,569,9.85710358961721,5
233,509,9.85710358961721,5
233,521,9.85710358961721,5
233,557,9.85710358961721,5
233,569,9.85710358961721,5
257,509,9.85710358961721,5
257,521,9.85710358961721,5
257,557,9.85710358961721,5
257,569,9.85710358961721,5
269,509,9.85710358961721,5
269,521,9.85710358961721,5
269,557,9.85710358961721,5
269,569,9.85710358961721,5
281,509,9.85710358961721,5
281,521,9.85710358961721,5
281,557,9.85710358961721,5
281,569,9.85710358961721,5
293,509,9.85710358961721,5
293,521,9.85710358961721,5
293,557,9.85710358961721,5
293,569,9.85710358961721,5
317,509,9.85710358961721,5
317,521,9.85710358961721,5
317,557,9.85710358961721,5
317,569,9.85710358961721,5
353,509,9.85710358961721,5
353,521,9.85710358961721,5
