u,v,weight,contexts
7,19,221.08942367374905,72
7,31,221.08942367374905,72
7,43,221.08942367374905,72
19,31,221.08942367374905,72
19,43,221.08942367374905,72
31,43,221.08942367374905,72
7,67,169.60912274627356,63
19,67,169.60912274627356,63
31,67,169.60912274627356,63
43,67,169.60912274627356,63
7,79,143.72871531070857,56
19,79,143.72871531070857,56
31,79,143.72871531070857,56
43,79,143.72871531070857,56
67,79,143.72871531070857,56
7,103,98.31628588155453,41
19,103,98.31628588155453,41
31,103,98.31628588155453,41
43,103,98.31628588155453,41
67,103,98.31628588155453,41
79,103,98.31628588155453,41
7,127,73.33611059954876,33
19,127,73.33611059954876,33
31,127,73.33611059954876,33
43,127,73.33611059954876,33
67,127,73.33611059954876,33
79,127,73.33611059954876,33
103,127,73.33611059954876,33
7,139,66.47756018871914,31
19,139,66.47756018871914,31
31,139,66.47756018871914,31
43,139,66.47756018871914,31
67,139,66.47756018871914,31
79,139,66.47756018871914,31
103,139,66.47756018871914,31
127,139,66.47756018871914,31
7,151,62.55653841766053,29
19,151,62.55653841766053,29
31,151,62.55653841766053,29
43,151,62.55653841766053,29
67,151,62.55653841766053,29
79,151,62.55653841766053,29
103,151,62.55653841766053,29
127,151,62.55653841766053,29
139,151,62.55653841766053,29
7,163,53.984359244726704,26
19,163,53.984359244726704,26
31,163,53.984359244726704,26
43,163,53.984359244726704,26
67,163,53.984359244726704,26
79,163,53.984359244726704,26
103,163,53.984359244726704,26
127,163,53.984359244726704,26
139,163,53.984359244726704,26
151,163,53.984359244726704,26
7,199,42.95422917779759,21
19,199,42.95422917779759,21
31,199,42.95422917779759,21
43,199,42.95422917779759,21
67,199,42.95422917779759,21
79,199,42.95422917779759,21
103,199,42.95422917779759,21
127,199,42.95422917779759,21
139,199,42.95422917779759,21
151,199,42.95422917779759,21
163,199,42.95422917779759,21
7,211,35.76108114074704,18
19,211,35.76108114074704,18
31,211,35.76108114074704,18
43,211,35.76108114074704,18
67,211,35.76108114074704,18
79,211,35.76108114074704,18
103,211,35.76108114074704,18
127,211,35.76108114074704,18
139,211,35.76108114074704,18
151,211,35.76108114074704,18
163,211,35.76108114074704,18
199,211,35.76108114074704,18
7,223,34.176119327446386,17
19,223,34.176119327446386,17
31,223,34.176119327446386,17
43,223,34.176119327446386,17
67,223,34.176119327446386,17
79,223,34.176119327446386,17
103,223,34.176119327446386,17
127,223,34.176119327446386,17
139,223,34.176119327446386,17
151,223,34.176119327446386,17
163,223,34.176119327446386,17
199,223,34.176119327446386,17
211,223,34.176119327446386,17
7,271,27.62639474810647,14
7,283,27.62639474810647,14
19,271,27.62639474810647,14
19,283,27.62639474810647,14
31,271,27.62639474810647,14
31,283,27.62639474810647,14
43,271,27.62639474810647,14
43,283,27.62639474810647,14
67,271,27.62639474810647,14
67,283,27.62639474810647,14
79,271,27.62639474810647,14
79,283,27.62639474810647,14
103,271,27.62639474810647,14
103,283,27.62639474810647,14
127,271,27.62639474810647,14
127,283,27.62639474810647,14
139,271,27.62639474810647,14
139,283,27.62639474810647,14
151,271,27.62639474810647,14
151,283,27.62639474810647,14
163,271,27.62639474810647,14
163,283,27.62639474810647,14
199,271,27.62639474810647,14
199,283,27.62639474810647,14
211,271,27.62639474810647,14
211,283,27.62639474810647,14
223,271,27.62639474810647,14
223,283,27.62639474810647,14
271,283,27.62639474810647,14
7,307,23.08935047960392,12
7,331,23.08935047960392,12
19,307,23.08935047960392,12
19,331,23.08935047960392,12
31,307,23.08935047960392,12
31,331,23.08935047960392,12
43,307,23.08935047960392,12
43,331,23.08935047960392,12
67,307,23.08935047960392,12
67,331,23.08935047960392,12
