a,b,total,distinct_c,entropy,top_c_list,entropy_norm
449,7,42,4,0.8127276396008325,11×31(0.738); 23×7(0.167); 47×2(0.048); 59×2(0.048),0.5862590676227569
5,631,46,4,0.8002853336058786,11×34(0.739); 23×8(0.174); 47×2(0.043); 59×2(0.043),0.5772838410446854
461,7,40,4,0.7999027794271169,11×30(0.750); 23×6(0.150); 47×2(0.050); 59×2(0.050),0.5770078865363999
5,607,52,4,0.7968838393163717,11×38(0.731); 23×10(0.192); 47×2(0.038); 59×2(0.038),0.5748301815731436
5,619,48,4,0.7792259517391736,11×36(0.750); 23×8(0.167); 47×2(0.042); 59×2(0.042),0.5620927081530442
5,643,42,4,0.7751292747786217,11×32(0.762); 23×6(0.143); 47×2(0.048); 59×2(0.048),0.5591375803854881
353,7,60,5,0.8898889612393519,11×43(0.717); 23×11(0.183); 47×2(0.033); 59×2(0.033); 71×2(0.033),0.5529190994969737
5,571,56,4,0.7614130546622616,11×42(0.750); 23×10(0.179); 47×2(0.036); 59×2(0.036),0.549243419014681
389,7,56,5,0.8790952797661802,11×41(0.732); 23×9(0.161); 47×2(0.036); 59×2(0.036); 71×2(0.036),0.5462126081251832
401,7,56,5,0.8790952797661802,11×41(0.732); 23×9(0.161); 47×2(0.036); 59×2(0.036); 71×2(0.036),0.5462126081251832
5,487,62,5,0.8717223991772507,11×45(0.726); 23×11(0.177); 47×2(0.032); 59×2(0.032); 71×2(0.032),0.5416315798469449
5,499,62,5,0.8717223991772507,11×45(0.726); 23×11(0.177); 47×2(0.032); 59×2(0.032); 71×2(0.032),0.5416315798469449
5,523,60,5,0.8661932637937072,11×44(0.733); 23×10(0.167); 47×2(0.033); 59×2(0.033); 71×2(0.033),0.5381961348752397
5,547,60,5,0.8661932637937072,11×44(0.733); 23×10(0.167); 47×2(0.033); 59×2(0.033); 71×2(0.033),0.5381961348752397
173,7,168,8,1.1161046186821766,11×109(0.649); 23×35(0.208); 47×9(0.054); 59×5(0.030); 71×4(0.024); 83×2(0.012); 107×2(0.012); 131×2(0.012),0.5367328661620147
5,307,122,7,1.0170132960686964,11×85(0.697); 23×21(0.172); 47×6(0.049); 59×4(0.033); 71×2(0.016); 83×2(0.016); 107×2(0.016),0.5226414470176995
281,7,84,6,0.9330583715884186,11×61(0.726); 23×13(0.155); 47×4(0.048); 59×2(0.024); 71×2(0.024); 83×2(0.024),0.5207497923760989
197,7,144,8,1.0771693316394286,11×96(0.667); 23×29(0.201); 47×7(0.049); 59×4(0.028); 71×2(0.014); 83×2(0.014); 107×2(0.014); 131×2(0.014),0.5180089509846276
317,7,70,6,0.9278504889893269,11×51(0.729); 23×11(0.157); 47×2(0.029); 59×2(0.029); 71×2(0.029); 83×2(0.029),0.5178432177557144
269,7,88,6,0.9225711272342081,11×64(0.727); 23×14(0.159); 47×4(0.045); 59×2(0.023); 71×2(0.023); 83×2(0.023),0.5148967498587743
137,7,248,11,1.233783591189492,11×160(0.645); 23×44(0.177); 47×14(0.056); 59×9(0.036); 71×7(0.028); 83×4(0.016); 107×2(0.008); 131×2(0.008); 167×2(0.008); 179×2(0.008),0.5145277215337486
5,283,152,8,1.0665842338248412,11×102(0.671); 23×30(0.197); 47×8(0.053); 59×4(0.026); 71×2(0.013); 83×2(0.013); 107×2(0.013); 131×2(0.013),0.5129185949431511
5,223,214,10,1.179433554573389,11×139(0.650); 23×42(0.196); 47×9(0.042); 59×8(0.037); 71×4(0.019); 83×4(0.019); 107×2(0.009); 131×2(0.009); 167×2(0.009); 179×2(0.009),0.5122214845227606
5,271,156,8,1.0649451763348459,11×104(0.667); 23×32(0.205); 47×8(0.051); 59×4(0.026); 71×2(0.013); 83×2(0.013); 107×2(0.013); 131×2(0.013),0.512130374905635
149,7,212,11,1.2220513342853316,11×136(0.642); 23×42(0.198); 47×9(0.042); 59×7(0.033); 71×4(0.019); 83×4(0.019); 107×2(0.009); 131×2(0.009); 167×2(0.009); 179×2(0.009),0.5096349903802029
5,211,218,10,1.1711687645454856,11×142(0.651); 23×43(0.197); 47×9(0.041); 59×8(0.037); 71×4(0.018); 83×4(0.018); 107×2(0.009); 131×2(0.009); 167×2(0.009); 179×2(0.009),0.5086321318195531
29,43,102,8,1.048528547817747,11×69(0.676); 23×20(0.196); 47×5(0.049); 59×3(0.029); 71×2(0.020); 83×1(0.010); 107×1(0.010); 131×1(0.010),0.5042356453890567
5,379,94,6,0.8999100762957135,11×69(0.734); 23×15(0.160); 47×4(0.043); 59×2(0.021); 71×2(0.021); 83×2(0.021),0.5022493765211814
101,7,398,15,1.3531046823554536,11×245(0.616); 23×74(0.186); 47×25(0.063); 59×14(0.035); 71×9(0.023); 83×9(0.023); 107×4(0.010); 131×4(0.010); 167×2(0.005); 179×2(0.005),0.49966011774993063
257,7,100,7,0.9714528358485752,11×72(0.720); 23×16(0.160); 47×4(0.040); 59×2(0.020); 71×2(0.020); 83×2(0.020); 107×2(0.020),0.49922800203297635
5,463,74,6,0.8942630576224462,11×55(0.743); 23×11(0.149); 47×2(0.027); 59×2(0.027); 71×2(0.027); 83×2(0.027),0.49909771539129755
113,7,334,14,1.3066197481789616,11×213(0.638); 23×58(0.174); 47×18(0.054); 59×11(0.033); 71×9(0.027); 83×7(0.021); 107×4(0.012); 131×2(0.006); 167×2(0.006); 179×2(0.006),0.49510851223889496
5,367,104,7,0.9610583005535066,11×75(0.721); 23×17(0.163); 47×4(0.038); 59×2(0.019); 71×2(0.019); 83×2(0.019); 107×2(0.019),0.4938862675751367
5,163,334,13,1.2645511876880218,11×215(0.644); 23×60(0.180); 47×17(0.051); 59×9(0.027); 71×9(0.027); 83×8(0.024); 107×4(0.012); 131×2(0.006); 167×2(0.006); 179×2(0.006),0.4930121462279142
5,199,246,11,1.1786716041085172,11×163(0.663); 23×45(0.183); 47×9(0.037); 59×9(0.037); 71×6(0.024); 83×4(0.016); 107×2(0.008); 131×2(0.008); 167×2(0.008); 179×2(0.008),0.49154423776522743
17,139,42,6,0.8787416567970179,11×31(0.738); 23×7(0.167); 47×1(0.024); 59×1(0.024); 71×1(0.024); 83×1(0.024),0.49043505665166476
5,439,76,6,0.8784182388148707,11×57(0.750); 23×11(0.145); 47×2(0.026); 59×2(0.026); 71×2(0.026); 83×2(0.026),0.49025455363901066
5,139,420,15,1.325283365709663,11×263(0.626); 23×76(0.181); 47×26(0.062); 59×15(0.036); 71×9(0.021); 83×9(0.021); 107×4(0.010); 131×4(0.010); 167×2(0.005); 179×2(0.005),0.4893865575941894
