a,c,total,distinct_b,entropy,top_b_list,entropy_norm
317,11,64,4,0.6734031273095723,7×51(0.797); 19×9(0.141); 31×2(0.031); 43×2(0.031),0.48575767614431964
5,599,86,4,0.669909289002433,7×69(0.802); 19×11(0.128); 31×4(0.047); 43×2(0.023),0.4832374045446307
269,11,82,5,0.7650876506295557,7×64(0.780); 19×11(0.134); 31×3(0.037); 43×2(0.024); 67×2(0.024),0.4753756853362822
197,11,126,6,0.8503402992659219,7×96(0.762); 19×16(0.127); 31×7(0.056); 43×3(0.024); 67×2(0.016); 79×2(0.016),0.4745839572050788
281,11,76,4,0.6476709397916752,7×61(0.803); 19×11(0.145); 31×2(0.026); 43×2(0.026),0.46719582648267216
5,419,144,6,0.8317870655844534,7×111(0.771); 19×17(0.118); 31×8(0.056); 43×4(0.028); 67×2(0.014); 79×2(0.014),0.4642292003305627
5,431,144,6,0.8317870655844534,7×111(0.771); 19×17(0.118); 31×8(0.056); 43×4(0.028); 67×2(0.014); 79×2(0.014),0.4642292003305627
5,443,144,6,0.8317870655844534,7×111(0.771); 19×17(0.118); 31×8(0.056); 43×4(0.028); 67×2(0.014); 79×2(0.014),0.4642292003305627
5,587,92,5,0.7402869099693231,7×73(0.793); 19×11(0.120); 31×4(0.043); 43×2(0.022); 67×2(0.022),0.45996611876112664
5,719,74,4,0.6356986961027334,7×60(0.811); 19×10(0.135); 31×2(0.027); 43×2(0.027),0.4585596781834969
149,11,182,7,0.8918491689986756,7×136(0.747); 19×26(0.143); 31×9(0.049); 43×5(0.027); 67×2(0.011); 79×2(0.011); 103×2(0.011),0.45831980959225904
17,179,54,4,0.6276505410659304,7×44(0.815); 19×7(0.130); 31×2(0.037); 43×1(0.019),0.45275416150354625
5,683,76,4,0.624407399168227,7×62(0.816); 19×10(0.132); 31×2(0.026); 43×2(0.026),0.4504147291371883
293,11,72,4,0.6221894647285108,7×59(0.819); 19×9(0.125); 31×2(0.028); 43×2(0.028),0.4488148276285906
257,11,90,5,0.7179737352393522,7×72(0.800); 19×11(0.122); 31×3(0.033); 43×2(0.022); 67×2(0.022),0.44610216380046297
173,11,142,7,0.8671113040471514,7×109(0.768); 19×17(0.120); 31×7(0.049); 43×3(0.021); 67×2(0.014); 79×2(0.014); 103×2(0.014),0.445607061799904
5,359,186,7,0.8603448658866129,7×141(0.758); 19×26(0.140); 31×9(0.048); 43×4(0.022); 67×2(0.011); 79×2(0.011); 103×2(0.011),0.44212980044545586
5,971,44,3,0.48510450039094044,7×38(0.864); 19×4(0.091); 31×2(0.045),0.44156114526904794
5,983,44,3,0.48510450039094044,7×38(0.864); 19×4(0.091); 31×2(0.045),0.44156114526904794
5,383,162,7,0.8541200967865328,7×125(0.772); 19×19(0.117); 31×8(0.049); 43×4(0.025); 67×2(0.012); 79×2(0.012); 103×2(0.012),0.43893090192329026
5,743,70,4,0.6068693039440619,7×58(0.829); 19×8(0.114); 31×2(0.029); 43×2(0.029),0.4377636676339176
137,11,212,8,0.9074928537411804,7×160(0.755); 19×27(0.127); 31×10(0.047); 43×7(0.033); 67×2(0.009); 79×2(0.009); 103×2(0.009); 127×2(0.009),0.43641181324485817
5,347,196,7,0.847661559257842,7×149(0.760); 19×28(0.143); 31×9(0.046); 43×4(0.020); 67×2(0.010); 79×2(0.010); 103×2(0.010),0.4356118701931632
5,647,80,4,0.6030809768498275,7×66(0.825); 19×10(0.125); 31×2(0.025); 43×2(0.025),0.435030967277859
5,659,80,4,0.6030809768498275,7×66(0.825); 19×10(0.125); 31×2(0.025); 43×2(0.025),0.435030967277859
5,563,100,5,0.6987202290284016,7×81(0.810); 19×11(0.110); 31×4(0.040); 43×2(0.020); 67×2(0.020),0.4341392877788389
5,491,110,6,0.7770039249034345,7×87(0.791); 19×13(0.118); 31×4(0.036); 43×2(0.018); 67×2(0.018); 79×2(0.018),0.4336541473606341
233,11,94,5,0.6966883200275852,7×76(0.809); 19×11(0.117); 31×3(0.032); 43×2(0.021); 67×2(0.021),0.43287679173278554
5,263,302,10,0.9896763251054634,7×221(0.732); 19×41(0.136); 31×17(0.056); 43×9(0.030); 67×4(0.013); 79×2(0.007); 103×2(0.007); 127×2(0.007); 139×2(0.007); 151×2(0.007),0.42981096686359144
5,311,232,8,0.8920096764070409,7×175(0.754); 19×32(0.138); 31×9(0.039); 43×8(0.034); 67×2(0.009); 79×2(0.009); 103×2(0.009); 127×2(0.009),0.4289659788591357
113,11,290,10,0.9829916646404161,7×213(0.734); 19×39(0.134); 31×16(0.055); 43×9(0.031); 67×3(0.010); 79×2(0.007); 103×2(0.007); 127×2(0.007); 139×2(0.007); 151×2(0.007),0.42690785571022455
89,11,404,12,1.0592801559070213,7×290(0.718); 19×52(0.129); 31×26(0.064); 43×14(0.035); 67×7(0.017); 79×3(0.007); 103×2(0.005); 127×2(0.005); 139×2(0.005); 151×2(0.005),0.4262856940712013
5,887,52,4,0.589280063598296,7×44(0.846); 19×4(0.077); 31×2(0.038); 43×2(0.038),0.4250757127239973
5,911,52,4,0.589280063598296,7×44(0.846); 19×4(0.077); 31×2(0.038); 43×2(0.038),0.4250757127239973
5,503,106,6,0.760549798543216,7×85(0.802); 19×11(0.104); 31×4(0.038); 43×2(0.019); 67×2(0.019); 79×2(0.019),0.4244709245883792
5,467,132,6,0.7601047280272715,7×105(0.795); 19×15(0.114); 31×6(0.045); 43×2(0.015); 67×2(0.015); 79×2(0.015),0.4242225260038659
89,23,100,6,0.7558601046678332,7×80(0.800); 19×10(0.100); 31×5(0.050); 43×3(0.030); 67×1(0.010); 79×1(0.010),0.4218535566012557
5,251,314,10,0.9690060703364507,7×232(0.739); 19×42(0.134); 31×17(0.054); 43×9(0.029); 67×4(0.013); 79×2(0.006); 103×2(0.006); 127×2(0.006); 139×2(0.006); 151×2(0.006),0.4208339892778748
101,11,336,11,1.0087370344174345,7×245(0.729); 19×44(0.131); 31×22(0.065); 43×9(0.027); 67×3(0.009); 79×3(0.009); 103×2(0.006); 127×2(0.006); 139×2(0.006); 151×2(0.006),0.4206760177813049
