b,c,total,distinct_a,entropy,top_a_list,entropy_norm
211,11,170,5,0.6276080605459856,5×142(0.835); 17×16(0.094); 29×7(0.041); 41×3(0.018); 53×2(0.012),0.3899548132284249
307,11,102,5,0.623393520286049,5×85(0.833); 17×11(0.108); 29×2(0.020); 41×2(0.020); 53×2(0.020),0.3873361721318183
7,491,104,5,0.6148741933039638,5×87(0.837); 17×11(0.106); 29×2(0.019); 41×2(0.019); 53×2(0.019),0.38204281665891243
7,467,124,5,0.5996327677498645,5×105(0.847); 17×11(0.089); 29×4(0.032); 41×2(0.016); 53×2(0.016),0.372572786509661
7,587,84,4,0.5070370492068906,5×73(0.869); 17×7(0.083); 29×2(0.024); 41×2(0.024),0.3657499182188772
163,11,262,7,0.7084654106983235,5×215(0.821); 17×26(0.099); 29×9(0.034); 41×5(0.019); 53×3(0.011); 89×2(0.008); 101×2(0.008),0.36407920018417306
283,11,120,5,0.5858875715818641,5×102(0.850); 17×11(0.092); 29×3(0.025); 41×2(0.017); 53×2(0.017),0.3640324159481074
331,11,90,5,0.5858844302249261,5×77(0.856); 17×7(0.078); 29×2(0.022); 41×2(0.022); 53×2(0.022),0.3640304641132999
7,479,112,5,0.5831949803469416,5×95(0.848); 17×11(0.098); 29×2(0.018); 41×2(0.018); 53×2(0.018),0.3623594149493611
223,11,164,5,0.5811281684009488,5×139(0.848); 17×16(0.098); 29×5(0.030); 41×2(0.012); 53×2(0.012),0.36107523248415063
7,419,130,5,0.5794385542004247,5×111(0.854); 17×11(0.085); 29×4(0.031); 41×2(0.015); 53×2(0.015),0.360025416155437
7,431,130,5,0.5794385542004247,5×111(0.854); 17×11(0.085); 29×4(0.031); 41×2(0.015); 53×2(0.015),0.360025416155437
7,443,130,5,0.5794385542004247,5×111(0.854); 17×11(0.085); 29×4(0.031); 41×2(0.015); 53×2(0.015),0.360025416155437
271,11,122,5,0.5789232816207244,5×104(0.852); 17×11(0.090); 29×3(0.025); 41×2(0.016); 53×2(0.016),0.3597052593008485
367,11,86,4,0.49846859531338844,5×75(0.872); 17×7(0.081); 29×2(0.023); 41×2(0.023),0.3595690852487566
619,11,40,3,0.39439769144744274,5×36(0.900); 17×2(0.050); 29×2(0.050),0.3589962496465303
487,11,50,3,0.3923841400923739,5×45(0.900); 17×3(0.060); 29×2(0.040),0.357163436218319
499,11,50,3,0.3923841400923739,5×45(0.900); 17×3(0.060); 29×2(0.040),0.357163436218319
199,11,194,6,0.6382926631247238,5×163(0.840); 17×17(0.088); 29×7(0.036); 41×3(0.015); 53×2(0.010); 89×2(0.010),0.35623791813960376
7,251,284,8,0.7388648445079478,5×232(0.817); 17×28(0.099); 29×9(0.032); 41×5(0.018); 53×4(0.014); 89×2(0.007); 101×2(0.007); 113×2(0.007),0.3553188823529371
7,311,208,6,0.6365603186972196,5×175(0.841); 17×18(0.087); 29×7(0.034); 41×4(0.019); 53×2(0.010); 89×2(0.010),0.3552710783057669
7,227,326,8,0.7383825145031135,5×266(0.816); 17×32(0.098); 29×11(0.034); 41×7(0.021); 53×4(0.012); 89×2(0.006); 101×2(0.006); 113×2(0.006),0.3550869306509217
139,11,322,8,0.7347220902897535,5×263(0.817); 17×31(0.096); 29×12(0.037); 41×7(0.022); 53×3(0.009); 89×2(0.006); 101×2(0.006); 113×2(0.006),0.35332663869753356
127,11,368,9,0.7716556389478397,5×297(0.807); 17×37(0.101); 29×14(0.038); 41×9(0.024); 53×3(0.008); 89×2(0.005); 101×2(0.005); 113×2(0.005); 137×2(0.005),0.3511956160090598
