node,type,degree_top50,strength_top50,deg_in_both,deg_only_1B,deg_only_100M,str_in_both,str_only_1B,str_only_100M,pairing_counts,status_counts,top_neighbors_by_score (5),hub_class
7·7,B_pair,15,44.995246429576824,12,0,3,44.995246429576824,0.0,0.0,A↔B:15,"in_both:12, only_100M:3",17·41(3.99); 5·101(3.95); 5·137(3.87); 29·41(3.80); 5·257(3.80),stable_hub
11·11,C_pair,12,9.433907902239312,3,0,9,9.433907902239312,0.0,0.0,"A↔C:8, B↔C:4","only_100M:9, in_both:3",5·257(3.14); 5·233(3.14); 29·41(3.14); 17·17(0.00); 17·41(0.00),stable_hub
29·41,A_pair,2,6.944680651991245,2,0,0,6.944680651991245,0.0,0.0,"A↔B:1, A↔C:1",in_both:2,7·7(3.80); 11·11(3.14),stable_hub
5·257,A_pair,2,6.944680651991245,2,0,0,6.944680651991245,0.0,0.0,"A↔B:1, A↔C:1",in_both:2,7·7(3.80); 11·11(3.14),stable_hub
5·233,A_pair,2,6.944680651991245,2,0,0,6.944680651991245,0.0,0.0,"A↔B:1, A↔C:1",in_both:2,7·7(3.80); 11·11(3.14),stable_hub
17·41,A_pair,2,3.9910237466417344,1,0,1,3.9910237466417344,0.0,0.0,"A↔B:1, A↔C:1","in_both:1, only_100M:1",7·7(3.99); 11·11(0.00),mixed/weak
5·101,A_pair,2,3.946577629005032,1,0,1,3.946577629005032,0.0,0.0,"A↔B:1, A↔C:1","in_both:1, only_100M:1",7·7(3.95); 11·23(0.00),mixed/weak
5·137,A_pair,2,3.874309107820944,1,0,1,3.874309107820944,0.0,0.0,"A↔B:1, A↔C:1","in_both:1, only_100M:1",7·7(3.87); 11·11(0.00),mixed/weak
5·149,A_pair,1,3.7865023038299257,1,0,0,3.7865023038299257,0.0,0.0,A↔B:1,in_both:1,7·7(3.79),mixed/weak
5·113,A_pair,2,3.7722105037627007,1,0,1,3.7722105037627007,0.0,0.0,"A↔B:1, A↔C:1","in_both:1, only_100M:1",7·7(3.77); 11·23(0.00),mixed/weak
17·53,A_pair,2,3.724455449173736,1,0,1,3.724455449173736,0.0,0.0,"A↔B:1, A↔C:1","in_both:1, only_100M:1",7·7(3.72); 11·11(0.00),mixed/weak
5·173,A_pair,1,3.549829131199323,1,0,0,3.549829131199323,0.0,0.0,A↔B:1,in_both:1,7·7(3.55),mixed/weak
29·29,A_pair,2,3.5405838183241096,1,0,1,3.5405838183241096,0.0,0.0,"A↔B:1, A↔C:1","in_both:1, only_100M:1",7·7(3.54); 11·11(0.00),mixed/weak
5·197,A_pair,1,3.409620686084893,1,0,0,3.409620686084893,0.0,0.0,A↔B:1,in_both:1,7·7(3.41),mixed/weak
17·17,A_pair,5,0.0,0,0,5,0.0,0.0,0.0,"A↔C:3, A↔B:2",only_100M:5,7·31(0.00); 7·7(0.00); 11·11(0.00); 11·47(0.00); 23·23(0.00),mixed/weak
11·23,C_pair,5,0.0,0,0,5,0.0,0.0,0.0,"A↔C:3, B↔C:2",only_100M:5,17·29(0.00); 5·101(0.00); 5·113(0.00); 19·43(0.00); 31·31(0.00),mixed/weak
5·17,A_pair,4,0.0,0,0,4,0.0,0.0,0.0,A↔B:4,only_100M:4,19·31(0.00); 7·103(0.00); 7·19(0.00); 7·79(0.00),mixed/weak
19·19,B_pair,4,0.0,0,0,4,0.0,0.0,0.0,"B↔C:3, A↔B:1",only_100M:4,5·29(0.00); 11·59(0.00); 11·71(0.00); 23·23(0.00),mixed/weak
17·29,A_pair,2,0.0,0,0,2,0.0,0.0,0.0,"A↔B:1, A↔C:1",only_100M:2,7·7(0.00); 11·23(0.00),mixed/weak
19·31,B_pair,2,0.0,0,0,2,0.0,0.0,0.0,"A↔B:1, B↔C:1",only_100M:2,5·17(0.00); 11·47(0.00),mixed/weak
7·103,B_pair,2,0.0,0,0,2,0.0,0.0,0.0,"A↔B:1, B↔C:1",only_100M:2,5·17(0.00); 11·11(0.00),mixed/weak
5·29,A_pair,2,0.0,0,0,2,0.0,0.0,0.0,A↔B:2,only_100M:2,19·19(0.00); 7·7(0.00),mixed/weak
11·47,C_pair,2,0.0,0,0,2,0.0,0.0,0.0,"A↔C:1, B↔C:1",only_100M:2,17·17(0.00); 19·31(0.00),mixed/weak
23·23,C_pair,2,0.0,0,0,2,0.0,0.0,0.0,"A↔C:1, B↔C:1",only_100M:2,17·17(0.00); 19·19(0.00),mixed/weak
19·43,B_pair,2,0.0,0,0,2,0.0,0.0,0.0,B↔C:2,only_100M:2,11·11(0.00); 11·23(0.00),mixed/weak
7·31,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,A↔B:1,only_100M:1,17·17(0.00),mixed/weak
7·19,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,A↔B:1,only_100M:1,5·17(0.00),mixed/weak
7·79,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,A↔B:1,only_100M:1,5·17(0.00),mixed/weak
5·41,A_pair,1,0.0,0,0,1,0.0,0.0,0.0,A↔B:1,only_100M:1,7·43(0.00),mixed/weak
7·43,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,A↔B:1,only_100M:1,5·41(0.00),mixed/weak
19·127,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,B↔C:1,only_100M:1,11·11(0.00),mixed/weak
11·59,C_pair,1,0.0,0,0,1,0.0,0.0,0.0,B↔C:1,only_100M:1,19·19(0.00),mixed/weak
11·71,C_pair,1,0.0,0,0,1,0.0,0.0,0.0,B↔C:1,only_100M:1,19·19(0.00),mixed/weak
31·31,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,B↔C:1,only_100M:1,11·23(0.00),mixed/weak
31·67,B_pair,1,0.0,0,0,1,0.0,0.0,0.0,B↔C:1,only_100M:1,11·11(0.00),mixed/weak
