A-Paar,B-Paar,count
5·5,7·7,1753
5·5,7·19,575
5·17,7·7,442
5·5,7·31,324
5·29,7·7,233
5·5,7·43,219
5·5,19·19,178
5·41,7·7,155
5·17,7·19,137
5·5,7·67,132
5·53,7·7,116
5·5,7·79,110
17·17,7·7,105
5·5,19·31,100
5·5,7·103,80
5·17,7·31,77
5·29,7·19,74
5·5,19·43,65
5·89,7·7,61
5·5,7·127,58
5·5,7·139,54
17·29,7·7,54
5·5,31·31,54
5·101,7·7,53
5·17,7·43,49
5·5,7·151,47
5·41,7·19,45
5·113,7·7,45
5·5,7·163,43
5·17,19·19,40
5·29,7·31,37
17·41,7·7,36
5·137,7·7,36
5·53,7·19,33
5·149,7·7,31
17·17,7·19,30
5·17,7·67,29
29·29,7·7,27
5·173,7·7,25
5·29,7·43,24
5·41,7·31,24
5·17,7·79,23
5·17,19·31,22
5·29,19·19,20
17·17,7·31,16
5·41,7·43,16
5·89,7·19,16
5·53,7·31,16
5·17,7·103,16
17·29,7·19,14
5·101,7·19,14
5·17,19·43,14
5·29,7·67,14
5·17,7·127,13
5·41,19·19,13
5·113,7·19,13
5·29,7·79,12
5·53,7·43,12
5·17,7·139,12
5·17,31·31,12
5·41,7·67,10
5·29,19·31,10
5·53,19·19,10
17·17,7·43,10
5·137,7·19,10
5·89,7·31,10
5·17,7·163,10
5·17,7·151,10
17·41,7·19,10
5·29,7·103,9
5·149,7·19,9
17·17,19·19,9
17·29,7·31,8
5·101,7·31,8
29·29,7·19,8
5·29,19·43,7
5·173,7·19,7
5·41,7·79,7
5·113,7·31,6
5·53,7·67,6
5·41,19·31,6
5·29,7·127,6
5·89,7·43,6
5·29,7·139,5
17·17,7·67,5
5·29,31·31,5
17·29,7·43,4
5·53,7·79,4
5·137,7·31,4
5·41,7·103,4
17·17,19·31,3
17·17,7·79,3
17·29,19·19,3
5·89,19·19,3
17·17,7·103,3
5·173,7·31,3
5·89,7·67,3
5·53,7·103,3
5·41,7·139,3
17·41,7·43,3
17·41,7·31,3
5·113,7·43,3
5·41,7·127,3
5·41,31·31,3
5·41,19·43,3
5·113,19·19,3
5·137,7·43,3
5·101,19·19,3
29·29,7·31,3
5·41,7·151,3
5·101,7·43,3
5·53,19·31,3
5·29,7·163,3
5·53,19·43,3
5·149,7·31,3
5·29,7·151,3
5·89,19·31,2
5·53,7·163,2
5·53,7·151,2
5·41,7·163,2
5·53,7·139,2
5·53,7·127,2
5·53,31·31,2
5·89,7·79,2
5·101,19·31,2
5·149,19·19,2
29·29,19·19,2
17·41,19·19,2
17·29,7·79,2
17·29,7·67,2
5·101,7·67,2
5·101,7·79,2
17·29,19·31,2
5·137,19·19,2
5·113,7·67,2
29·29,7·43,2
5·173,7·43,2
17·17,19·43,2
17·17,31·31,2
17·17,7·127,2
17·17,7·139,2
5·149,7·43,2
5·89,7·139,1
17·41,7·79,1
17·41,7·67,1
17·41,7·127,1
17·41,7·103,1
17·41,19·43,1
17·41,19·31,1
17·29,7·163,1
5·89,7·151,1
17·29,7·139,1
17·29,7·127,1
17·29,7·103,1
17·29,31·31,1
17·29,19·43,1
29·29,19·31,1
17·17,7·151,1
5·89,7·163,1
17·17,7·163,1
5·89,19·43,1
5·89,31·31,1
5·89,7·103,1
5·89,7·127,1
17·29,7·151,1
5·173,7·79,1
29·29,7·103,1
5·113,7·151,1
5·173,7·103,1
5·173,19·31,1
5·173,19·19,1
5·149,7·67,1
5·149,7·103,1
5·149,19·43,1
5·149,19·31,1
5·137,7·79,1
5·137,7·67,1
5·137,7·127,1
5·137,7·103,1
5·137,19·43,1
5·137,19·31,1
5·113,7·79,1
5·113,7·139,1
29·29,7·67,1
5·113,7·127,1
5·113,7·103,1
5·113,31·31,1
5·113,19·43,1
5·113,19·31,1
5·101,7·163,1
5·101,7·151,1
5·101,7·139,1
5·101,7·127,1
5·101,7·103,1
5·101,31·31,1
5·101,19·43,1
5·173,7·67,1
29·29,7·79,1
5·149,7·79,1
